inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness
0.9215372745528473,0.1767766952966369,0.9492376728741193,0.1767766952966369
0.9262097441713572,0.1889822365046136,0.9441962556092542,0.1889822365046136
0.9178198038540595,0.20851441405707477,0.922949015556733,0.20851441405707477
0.9160312213366063,0.21320071635561044,0.9296548426840231,0.21320071635561044
0.9199900848776188,0.22360679774997896,0.9133003377352051,0.22360679774997896
0.8952458666341901,0.22941573387056177,0.9105648334326395,0.22941573387056177
0.8956594622843019,0.23570226039551584,0.9104443628040227,0.23570226039551584
0.9045329980491595,0.24253562503633297,0.9037404522633311,0.24253562503633297
0.9043770278670228,0.25,0.8926440617005993,0.25
0.8902637979755395,0.2581988897471611,0.8994167106844965,0.2581988897471611
0.8819967530462932,0.2672612419124244,0.8864385899930383,0.2672612419124244
0.8590162533175634,0.2773500981126146,0.86297653613291,0.2773500981126146
0.8364628124330206,0.28867513459481287,0.8575204259220458,0.28867513459481287
0.8335937671354713,0.30151134457776363,0.8373456645966727,0.30151134457776363
0.8035191667886272,0.31622776601683794,0.8520765949310679,0.31622776601683794
0.8033062360582659,0.3333333333333333,0.8432505798627845,0.3333333333333333
0.7875583288508365,0.3535533905932738,0.8358396788409068,0.3535533905932738
0.7658960305365228,0.3779644730092272,0.8143695849846532,0.3779644730092272
0.7413579980837275,0.408248290463863,0.7885832605855992,0.408248290463863
0.7484452678740936,0.4472135954999579,0.8010166554952426,0.4472135954999579
0.6921592562293373,0.5,0.6914244271617507,0.5
0.6901909936415573,0.5773502691896257,0.6967690337028559,0.5773502691896257
0.6535182364120389,0.7071067811865476,0.617370952997889,0.7071067811865476
0.5,1.0,0.5,1.0
