0_ajcc_pathologic_tumor_stage_Stage IV,1_AKAP6.9472,1_ARHGAP31.57514,1_BARX1.56033,1_BAT2L1.84726,1_BTG4.54766,1_C19orf23.148046,1_C9orf25.203259,1_CLDN4.1364,1_COL11A2.1302,1_CRBN.51185,1_CRNKL1.51340,1_CYP3A7.1551,1_ECHDC3.79746,1_GH1.2688,1_GOLGA8C.729786,1_GPR44.11251,1_GZMH.2999,1_HIST1H1T.3010,1_HOXA3.3200,1_HRH2.3274,1_HYAL3.8372,1_IL1F5.26525,1_LCTL.197021,1_LILRB3.11025,1_LIMCH1.22998,1_LONRF3.79836,1_LYPD5.284348,1_MYBPC2.4606,1_NANOS1.340719,1_OR2H1.26716,1_OR52I1.390037,1_PEX6.5190,1_PIPSL.266971,1_PPAN.56342,1_PSMA2.5683,1_PTCD3.55037,1_PTGR1.22949,1_RFC5.5985,1_RLN3.117579,1_SHPRH.257218,1_SLC7A5P2.387254,1_STAP2.55620,1_STON1.GTF2A1L.286749,1_TBC1D8B.54885,1_TLR4.7099,1_TPSD1.23430,1_U2AF1.7307,1_USP18.11274,1_WBP5.51186,1_ZFP92.139735,1_ZNF391.346157,1_ZNF570.148268,1_ZNF572.137209,1_ZPBP.11055
1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
