0_ajcc_pathologic_tumor_stage_Stage IV,1_AGPAT6.137964,1_AKAP6.9472,1_BARX1.56033,1_BLOC1S3.388552,1_BPHL.670,1_C1orf204.284677,1_CAPNS1.826,1_CNN3.1266,1_COL5A3.50509,1_CTAGE1.64693,1_CYP26C1.340665,1_DEF6.50619,1_DHRS12.79758,1_DUSP23.54935,1_EPB41L5.57669,1_EYA3.2140,1_FAM161B.145483,1_FGF3.2248,1_FOXJ1.2302,1_FPGT.8790,1_GDF5.8200,1_GNPNAT1.64841,1_GPRC5D.55507,1_H3F3C.440093,1_HAO2.51179,1_HGS.9146,1_HMGN3.9324,1_HOXA3.3200,1_IGF2BP1.10642,1_IGFN1.91156,1_KIAA1191.57179,1_KRBA1.84626,1_LBP.3929,1_LCTL.197021,1_LOC283404.283404,1_LOC84856.84856,1_MAGEE1.57692,1_MAGEH1.28986,1_MEP1A.4224,1_MMP9.4318,1_MUM1L1.139221,1_NCDN.23154,1_NGRN.51335,1_NR1I2.8856,1_NUDT19.390916,1_OST4.100128731,1_OXCT2.64064,1_PCK2.5106,1_PEX6.5190,1_PLEKHG4B.153478,1_PRKAA1.5562,1_PRKCG.5582,1_RLN1.6013,1_RTEL1.51750,1_SLC45A2.51151,1_SLMAP.7871,1_SSTR1.6751,1_STON1.GTF2A1L.286749,1_UBA7.7318,1_UBE2Q1.55585,1_USP39.10713,1_VPS52.6293,1_VSTM2A.222008,1_ZNF134.7693,1_ZNF487.642819,1_ZNF518B.85460
1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
