gen,evals,gen_feats,explored,PanKidney naive Bayes balanced accuracy_min,PanKidney naive Bayes balanced accuracy_avg,PanKidney naive Bayes balanced accuracy_max,PanKidney naive Bayes balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,614,614,0.25,0.785983656662281,0.9306489821389952,0.1395420344097192,0.0196078431372549,0.08157335408645155,1.0,0.13221506558335705
1,362,1022,1059,0.25,0.7891099490956851,0.9319526518906351,0.14315442095012706,0.017543859649122806,0.08970777986937906,1.0,0.1003535639307931
2,341,1106,1482,0.25,0.8181481146028585,0.9319526518906351,0.1199309800399427,0.017543859649122806,0.08919554426714862,1.0,0.10033108899009376
3,338,1143,1892,0.25,0.829598806975885,0.9319526518906351,0.11246282469916268,0.01639344262295082,0.0904507105663258,1.0,0.10007105263226519
4,365,1187,2276,0.25,0.8382646756272079,0.9352091368682864,0.11089567725430727,0.01639344262295082,0.09168864965577662,1.0,0.10214508383028138
5,358,1192,2676,0.25,0.8452843161429421,0.9371622618682864,0.11111785003005271,0.015873015873015872,0.09207621598051582,1.0,0.10413533950806365
6,360,1157,3050,0.24806701030927833,0.8512003791633624,0.9371622618682864,0.11354908035280016,0.016129032258064516,0.091743905015635,1.0,0.10633221850749121
7,378,1144,3425,0.24806701030927833,0.8585174821232247,0.9456139664137408,0.11264682659315672,0.014705882352941176,0.08972625918125485,1.0,0.10647452915001153
8,387,1123,3807,0.24806701030927833,0.8662849358598875,0.9462384707753587,0.11058938665349348,0.014705882352941176,0.0859996041902807,1.0,0.10545902115638321
9,378,1098,4167,0.24806701030927833,0.8669112877135752,0.9468828006722658,0.1116424133092116,0.015873015873015872,0.08802371354141622,1.0,0.10668281333164471
10,359,1092,4520,0.24806701030927833,0.8697290907063298,0.9488308003208132,0.1114629763885191,0.015873015873015872,0.08799828761388721,1.0,0.10653888295752925
11,369,1058,4863,0.24806701030927833,0.8729601100655144,0.9488509356300916,0.11120730978914423,0.015873015873015872,0.0880399096159654,1.0,0.1064749624491938
12,368,1093,5223,0.25,0.8753266803830834,0.9514081199084421,0.11036679359553941,0.015873015873015872,0.08807721648534711,1.0,0.1062650964490111
13,362,1054,5533,0.25,0.8780668316541707,0.9527169150115349,0.10882326497142647,0.015625,0.08767640378858269,1.0,0.10652753403996779
14,350,1058,5851,0.25,0.8813353233026638,0.9527169150115349,0.10643320909981561,0.015873015873015872,0.08664356617729144,1.0,0.1063157421963379
15,371,1048,6146,0.25,0.8849234191951735,0.9527169150115349,0.10388048828679028,0.016129032258064516,0.08546079253940254,1.0,0.10555011425541612
16,367,1093,6467,0.25,0.8881372424933316,0.9527169150115349,0.1003671956241818,0.016666666666666666,0.0845208710929944,1.0,0.10390283001771579
17,355,1013,6753,0.25,0.8867262724389013,0.952752060278639,0.10126790525635841,0.016666666666666666,0.08739657518577254,1.0,0.10456961998787659
18,371,1062,7046,0.25,0.8876283185805818,0.952752060278639,0.10344406499324044,0.016666666666666666,0.08774180463530913,1.0,0.10638452066871532
19,353,1043,7341,0.25,0.8883317642811441,0.952752060278639,0.10297255802090984,0.01694915254237288,0.08840661028136917,1.0,0.10607814794833684
20,363,1022,7612,0.25,0.8895123750202761,0.9572425440217001,0.1027885241230981,0.017241379310344827,0.0887545083146161,1.0,0.1059285391040885
