
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for target column 0_PanKidney
Features before filter: 20227
Features after any na, zero variance, and anova filters: 18853
Features active in view: 18853

CREATING INNER FOLDS

RUNNING GENETIC ALGORITHM
Generations completed = 360
Generations completed = 651
Generations completed = 957
   	     	         	        	         PanKidney naive Bayes balanced accuracy         	                     leanness                    
   	     	         	        	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std         	min      	avg      	max	std      
51 	370  	935      	13787   	0.25    	0.913034	0.953327	0.0783203   	0.0138889	0.0721582	1  	0.10131  
52 	362  	902      	13905   	0.25    	0.913719	0.953842	0.0770185   	0.0136986	0.0722803	1  	0.10127  
53 	378  	925      	14014   	0.25    	0.915285	0.953842	0.0769789   	0.0133333	0.0701283	1  	0.101518 
54 	374  	934      	14145   	0.25    	0.914851	0.953842	0.0769613   	0.0133333	0.071674 	1  	0.101457 
55 	372  	928      	14247   	0.25    	0.917951	0.953842	0.0731888   	0.0133333	0.0680628	1  	0.098481 
56 	373  	947      	14365   	0.25    	0.918457	0.953842	0.0732085   	0.0133333	0.0678769	1  	0.0984073
57 	361  	923      	14487   	0.25    	0.919084	0.953842	0.0733071   	0.0133333	0.0675157	1  	0.0984584
58 	356  	904      	14588   	0.25    	0.917273	0.953842	0.0750401   	0.0131579	0.071201 	1  	0.0995951
59 	377  	909      	14701   	0.25    	0.917801	0.953842	0.0744756   	0.0131579	0.0711697	1  	0.0995898
60 	385  	907      	14805   	0.25    	0.918429	0.953842	0.074516    	0.0131579	0.0708451	1  	0.0997558
61 	367  	866      	14907   	0.25    	0.921146	0.953842	0.0734868   	0.0131579	0.0667395	1  	0.098979 
62 	376  	900      	15012   	0.25    	0.921727	0.953842	0.0723695   	0.0131579	0.0664805	1  	0.0991338
63 	358  	873      	15093   	0.25    	0.922116	0.953842	0.0724373   	0.0131579	0.0661534	1  	0.0992433
64 	377  	861      	15172   	0.25    	0.923094	0.953842	0.0725933   	0.0128205	0.064456 	1  	0.0995908
65 	372  	932      	15267   	0.25    	0.925562	0.953842	0.0690048   	0.0128205	0.0612092	1  	0.0962756
66 	369  	879      	15370   	0.25    	0.926008	0.953842	0.0689013   	0.0128205	0.0608006	1  	0.0964109
67 	385  	949      	15463   	0.25    	0.92907 	0.953842	0.065451    	0.0133333	0.0562482	1  	0.0930176
68 	370  	868      	15552   	0.25    	0.925435	0.953842	0.0736418   	0.0133333	0.0611793	1  	0.0962938
69 	369  	889      	15647   	0.25    	0.924502	0.954358	0.0792005   	0.0133333	0.06195  	1  	0.098317 
70 	386  	862      	15722   	0.25    	0.926507	0.955405	0.0782459   	0.0135135	0.058817 	1  	0.096982 
71 	378  	848      	15800   	0.25    	0.929518	0.955405	0.0655194   	0.0136986	0.0568563	1  	0.0929131
