0_age_at_initial_pathologic_diagnosis,1_hsa.let.7e.5p,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.16.2.3p,1_hsa.miR.3157.3p,1_hsa.miR.335.3p,1_hsa.miR.6892.5p,1_hsa.miR.9.5p,1_hsa.miR.520e,2_ANKRD32.84250,2_ARNTL2.56938,2_ARSE.415,2_ART3.419,2_AURKA.6790,2_BIRC3.330,2_C2orf27A.29798,2_CCDC18.343099,2_CCDC46.201134,2_CDC25C.995,2_CLSPN.63967,2_CRTAC1.55118,2_CUTC.51076,2_DAPL1.92196,2_DCDC2.51473,2_DGCR9.25787,2_DNAH11.8701,2_DNAJB12.54788,2_DNAJB5.25822,2_DNMT3A.1788,2_EFNB2.1948,2_ERCC6L.54821,2_FAM171A1.221061,2_FAM35B2.439965,2_GNAI1.2770,2_GPR1.2825,2_HMGN5.79366,2_IFNGR2.3460,2_IGFBP2.3485,2_IQGAP1.8826,2_ISL2.64843,2_ITGB3.3690,2_KIF4A.24137,2_KPNA2.3838,2_LATS2.26524,2_LOC254559.254559,2_LOXL1.4016,2_LRIT2.340745,2_LXN.56925,2_MACC1.346389,2_MAP3K1.4214,2_MCAM.4162,2_METTL7B.196410,2_MSRB2.22921,2_MUCL1.118430,2_MXI1.4601,2_NKIRAS2.28511,2_OCIAD2.132299,2_PARVB.29780,2_PON1.5444,2_PSTK.118672,2_PTGFRN.5738,2_PTPN9.5780,2_PUF60.22827,2_RAD18.56852,2_RGPD3.653489,2_RPS6KA3.6197,2_SEMA4G.57715,2_SLC13A4.26266,2_SLC4A3.6508,2_SLITRK5.26050,2_SMC4.10051,2_SMS.6611,2_SULF2.55959,2_TACC3.10460,2_TCF25.22980,2_TMPRSS3.64699,2_TMSB10.9168,2_TTC26.79989,2_UGCG.7357,2_UPF3A.65110,2_WEE1.7465,2_ZBTB38.253461,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
