0_age_at_initial_pathologic_diagnosis,1_hsa.let.7e.5p,1_hsa.let.7i.5p,1_hsa.miR.1228.3p,1_hsa.miR.146b.3p,1_hsa.miR.15b.3p,1_hsa.miR.15b.5p,1_hsa.miR.196a.5p,1_hsa.miR.381.5p,1_hsa.miR.382.3p,1_hsa.miR.4677.3p,1_hsa.miR.615.3p,1_hsa.miR.651.5p,1_hsa.miR.671.5p,1_hsa.miR.6892.5p,1_hsa.miR.9.5p,2_ADO.84890,2_ARAP3.64411,2_AURKA.6790,2_BMP2.650,2_C11orf82.220042,2_C2orf27A.29798,2_C9orf110.100128385,2_CD200R1.131450,2_CDKN2BAS.100048912,2_DUSP26.78986,2_ELK1.2002,2_ENDOD1.23052,2_ERI1.90459,2_FHDC1.85462,2_FNDC3B.64778,2_GPR157.80045,2_HDDC2.51020,2_HIST1H2BD.3017,2_HOXD10.3236,2_IGF2BP2.10644,2_IGF2BP3.10643,2_IGFBP2.3485,2_IGSF10.285313,2_KLHL25.64410,2_KLK15.55554,2_LATS2.26524,2_LOC100188949.100188949,2_LOC388387.388387,2_MAB21L1.4081,2_MAP1LC3C.440738,2_MELK.9833,2_MRPS2.51116,2_MTAP.4507,2_NCRNA00219.114915,2_NDST4.64579,2_PCTP.58488,2_PMP22.5376,2_PRLHR.2834,2_PRMT5.10419,2_PRSS27.83886,2_RAB36.9609,2_RAD18.56852,2_RASL10A.10633,2_RGPD5.84220,2_RGS14.10636,2_RPL15.6138,2_RPL23A.6147,2_RPL38.6169,2_RPP30.10556,2_SKI.6497,2_SLC25A30.253512,2_SMS.6611,2_SPRYD5.84767,2_STIL.6491,2_SULF2.55959,2_SUSD2.56241,2_TFRC.7037,2_TP63.8626,2_TRIM16L.147166,2_TUBGCP2.10844,2_WEE1.7465,2_WISP1.8840,2_ZAK.51776,2_ZFYVE27.118813,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
