gen,evals,gen_feats,explored,type naive Bayes adjusted balanced accuracy_min,type naive Bayes adjusted balanced accuracy_avg,type naive Bayes adjusted balanced accuracy_max,type naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
0,500,406,406,0.2,0.8356618000427248,0.9422955915960729,0.149651298344692,0.14002800840280097,0.24784448073877377,1.0,0.1570009948186726
1,510,621,626,0.2,0.8304952272575785,0.9526377621811036,0.14510300267956097,0.13736056394868904,0.26768438317524695,1.0,0.13468163980557643
2,500,679,863,0.2,0.8364948708328298,0.9526377621811036,0.1382323355602865,0.13736056394868904,0.27730425130085906,1.0,0.13608427670533124
3,500,691,1068,0.2,0.8480679688311468,0.9526377621811036,0.1300853964010413,0.13130643285972254,0.2755058534399674,1.0,0.13628126102274768
4,500,720,1255,0.2,0.8548892374705501,0.9526377621811036,0.12412630699237745,0.12598815766974242,0.277545892003122,1.0,0.13522380870732564
5,500,746,1444,0.2,0.8605124108260984,0.9539503134526377,0.12074111408948793,0.12598815766974242,0.2768641841175639,1.0,0.13555938331503223
6,500,760,1627,0.2,0.8659312400062462,0.9539503134526377,0.11509644516290607,0.12598815766974242,0.27893522553869793,1.0,0.13485921244402388
7,500,802,1810,0.2,0.8695555057413519,0.9539503134526377,0.1138408547014089,0.1270001270001905,0.2793322799108993,1.0,0.1346874784148072
8,500,767,1971,0.2,0.8727525136388463,0.9539503134526377,0.11105995862046086,0.12598815766974242,0.2808888189821234,1.0,0.13474599322504066
9,500,790,2131,0.2,0.8745988212993758,0.9539503134526377,0.11128491435112017,0.12598815766974242,0.2833308165193763,1.0,0.13450923113569974
10,500,825,2293,0.2,0.8742978950849278,0.9542293200985356,0.1110513470338934,0.13736056394868904,0.28882641830099387,1.0,0.13405123511703246
11,500,797,2455,0.2,0.8818880533998842,0.9542293200985356,0.10692592098376298,0.13736056394868904,0.28194073187434426,1.0,0.13286549382373805
12,500,776,2597,0.2,0.8815133219667448,0.9544815118646127,0.10821820818328753,0.13736056394868904,0.28668151111107326,1.0,0.13478747726475437
13,500,805,2748,0.2,0.8829500973791135,0.9544815118646127,0.10770622993331552,0.14002800840280097,0.288041241645829,1.0,0.13402713336455024
14,500,804,2882,0.2,0.8856215121519571,0.9544815118646127,0.10512903400238655,0.1414213562373095,0.28857711953009507,1.0,0.1336893130276009
15,500,792,2998,0.2,0.8877672996485685,0.9544815118646127,0.10334258677044214,0.14285714285714285,0.28876852536874514,1.0,0.13372180508940965
16,500,832,3121,0.2,0.889338560692189,0.9556461985638907,0.10207132114066421,0.14285714285714285,0.2907197184068275,1.0,0.1326496149151216
17,500,780,3224,0.2,0.8917617246972698,0.956368304317443,0.10179465115994264,0.14285714285714285,0.2904345245700849,1.0,0.13268584481656923
