gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std,survival SKSurv Cox model concordance index_min,survival SKSurv Cox model concordance index_avg,survival SKSurv Cox model concordance index_max,survival SKSurv Cox model concordance index_std
0,500,402,402,0.25,0.7901901561194402,0.9314056718063073,0.1395827534677428,0.14002800840280097,0.26288266744416405,1.0,0.15575714191769524,0.4866872774188764,0.6805774387539765,0.8084755377762534,0.0645561400050805
1,597,635,643,0.25,0.770574508491709,0.9314056718063073,0.14910166838490213,0.14002800840280097,0.3075837691227526,1.0,0.14719243716899943,0.451165035389332,0.6958108790137555,0.8084755377762534,0.06108865938237261
2,649,629,842,0.25,0.7678864051384554,0.9314056718063073,0.14224823196682226,0.1414213562373095,0.32755091063661496,1.0,0.15330848068114103,0.4372302060695738,0.7030091554728645,0.8084755377762534,0.06305051536530845
3,654,708,1062,0.25,0.764944525787518,0.9345549821327435,0.14119309794787174,0.14002800840280097,0.34166918736667934,1.0,0.15265942929175846,0.4372302060695738,0.7031561354999908,0.8084755377762534,0.06118409604588955
4,670,713,1281,0.24922600619195046,0.7697191031068962,0.9345549821327435,0.14101942967826497,0.14002800840280097,0.3410463949273801,1.0,0.1529125051540097,0.4641528720390103,0.7098613211741913,0.8084755377762534,0.0611136548339507
5,660,722,1490,0.25,0.7603206797938726,0.9368572803673518,0.13952927008082294,0.14002800840280097,0.3616573894955484,1.0,0.1556124949976857,0.4641528720390103,0.7068664708794249,0.8106904504258593,0.06447041971181833
6,642,738,1673,0.2476780185758514,0.7717039070496295,0.9368572803673518,0.13381113767005548,0.14002800840280097,0.35704468653513005,1.0,0.15307037450019373,0.4641528720390103,0.7072759734941505,0.8107379970062251,0.0629894447334965
7,646,750,1867,0.25,0.7674242946433787,0.9368572803673518,0.13306662781805575,0.14002800840280097,0.3660194310465553,1.0,0.1500396791824986,0.4641528720390103,0.7094658425241068,0.8156969553133235,0.06142252462523348
8,646,789,2057,0.25,0.7641402478050069,0.9369134726987811,0.13763747499963752,0.1386750490563073,0.37419400078395243,1.0,0.15443440152564994,0.4641528720390103,0.7101115092793541,0.8156969553133235,0.06329842122096109
9,650,736,2213,0.25,0.7629880567485402,0.9369134726987811,0.13922504891708612,0.13736056394868904,0.3758806937322884,1.0,0.15779252514822464,0.4868183979638352,0.7117132374796374,0.8204965562808888,0.061292064147339724
