gen,evals,gen_feats,explored,PanKidney naive Bayes balanced accuracy_min,PanKidney naive Bayes balanced accuracy_avg,PanKidney naive Bayes balanced accuracy_max,PanKidney naive Bayes balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,597,597,0.2429123711340206,0.7930166202595729,0.9328516200294552,0.13966756430269142,0.0196078431372549,0.08441548910687138,1.0,0.13747164943516402
1,505,843,862,0.2429123711340206,0.8002636229749632,0.9328516200294552,0.1391665015568498,0.018518518518518517,0.09887486590964051,1.0,0.1153582411751603
2,500,921,1133,0.25,0.8299928088181149,0.9334959499263623,0.11322447886149425,0.017241379310344827,0.09484658725120707,1.0,0.11295101249947749
3,500,952,1383,0.25,0.8431691365979381,0.9366715758468335,0.10415550406668038,0.015625,0.09403711538725935,1.0,0.112591005725295
4,500,945,1606,0.25,0.8524079931424889,0.9373159057437408,0.09963262896358843,0.015625,0.09249915849960148,1.0,0.11131216270614773
5,500,963,1827,0.25,0.8585448096925625,0.939289166053019,0.09495410158963438,0.016129032258064516,0.09405437732383644,1.0,0.11105588082493258
6,500,970,2076,0.25,0.8663084844440352,0.9425769744108985,0.09103797315278364,0.015384615384615385,0.09133913048273111,1.0,0.10863632738660496
7,500,978,2290,0.25,0.8705439064801178,0.9425769744108985,0.08993860133111634,0.015384615384615385,0.09195165189790981,1.0,0.10866792460062312
8,500,971,2513,0.25,0.8748286427650958,0.9425769744108985,0.08803773332789266,0.015384615384615385,0.09181526551908187,1.0,0.10873507273576428
9,500,984,2731,0.25,0.8781180504418263,0.9425769744108985,0.08759329761932154,0.015384615384615385,0.09147623414936511,1.0,0.10890507538061397
10,500,956,2929,0.25,0.8799521469992636,0.9446163935935199,0.0850061298256684,0.015384615384615385,0.09311639407046406,1.0,0.10834296069001785
11,500,1017,3174,0.25,0.8829364299521355,0.9483960787923418,0.08501783077846005,0.015384615384615385,0.09248009646917482,1.0,0.10855579875719576
12,500,1014,3386,0.25,0.8861644479473492,0.9529265233799706,0.0844807298601124,0.017857142857142856,0.09134787471956665,1.0,0.10863736517237797
13,500,1007,3594,0.25,0.8878021792157585,0.9529265233799706,0.08433898679816586,0.017857142857142856,0.09154933645115991,1.0,0.10849579706826716
14,500,968,3778,0.25,0.8918953078976435,0.9529265233799706,0.0813852323973803,0.017543859649122806,0.08895114841355688,1.0,0.10792701858428819
15,500,1010,3974,0.25,0.893391666283137,0.9529265233799706,0.08150195173760666,0.017543859649122806,0.08869814896228988,1.0,0.1080442778448733
16,500,1010,4176,0.25,0.895388018915685,0.9529265233799706,0.07920089910984685,0.017241379310344827,0.08834470906746403,1.0,0.10635586749261186
17,500,982,4345,0.25,0.8964014175257732,0.9529265233799706,0.0795074458349016,0.01694915254237288,0.08854551352849072,1.0,0.10638876528056042
18,500,1023,4546,0.25,0.8981269560014727,0.9535248297128129,0.07760339960872037,0.016129032258064516,0.08855208376687675,1.0,0.10634153716807518
19,500,998,4750,0.25,0.9005735226435936,0.9535708532768779,0.07770538649642414,0.016129032258064516,0.08726280044821524,1.0,0.10688312863220871
20,500,990,4925,0.25,0.9042718324282032,0.9535909885861562,0.07491580981216535,0.01639344262295082,0.08412426261851969,1.0,0.10444876113576121
21,500,992,5098,0.25,0.906029765740059,0.9535909885861562,0.07519852366392661,0.01639344262295082,0.08345617091513893,1.0,0.10474573171589165
