1_ALAD.210,1_ALDH1A1.216,1_AP2B1.163,1_APOBEC3D.140564,1_AQP1.358,1_B3GALT4.8705,1_C11orf46.120534,1_C19orf66.55337,1_C20orf152.140894,1_C21orf63.59271,1_C2orf74.339804,1_C9orf140.89958,1_CAB39L.81617,1_CCDC69.26112,1_CCDC99.54908,1_CCNDBP1.23582,1_CCT5.22948,1_CD59.966,1_CDC42.998,1_CENPO.79172,1_CENPQ.55166,1_COQ10B.80219,1_DFNB59.494513,1_DHH.50846,1_DHRS12.79758,1_DUSP3.1845,1_EDARADD.128178,1_EID1.23741,1_ESPL1.9700,1_EXOSC10.5394,1_FAM120AOS.158293,1_FUBP1.8880,1_FZD2.2535,1_GALNT12.79695,1_GMEB1.10691,1_HDAC2.3066,1_HNRNPR.10236,1_HSP90AB1.3326,1_HSPB2.3316,1_IDO2.169355,1_IGFBP7.3490,1_KCNK7.10089,1_KDM2B.84678,1_KIF11.3832,1_KIF15.56992,1_KIF20A.10112,1_LIN7C.55327,1_LRFN5.145581,1_LRGUK.136332,1_LYL1.4066,1_LYPLA2P1.653639,1_MAD2L2.10459,1_MAGEA6.4105,1_MARCKSL1.65108,1_MEA1.4201,1_METTL9.51108,1_MLLT11.10962,1_MMP10.4319,1_MSH2.4436,1_MTF2.22823,1_MYBL2.4605,1_NAALADL1.10004,1_NFKBIL2.4796,1_NFYA.4800,1_NKX3.2.579,1_NUDT7.283927,1_OAZ2.4947,1_OR2A9P.441295,1_ORC1L.4998,1_PDIK1L.149420,1_PIK3IP1.113791,1_PITX2.5308,1_PLCG1.5335,1_PNPLA2.57104,1_PPP1R11.6992,1_PRKCDBP.112464,1_PRPF38A.84950,1_RAD54L.8438,1_RDH5.5959,1_RELB.5971,1_SDR42E1.93517,1_SERP2.387923,1_SERPING1.710,1_SFRS4.6429,1_SLC12A2.6558,1_SLC35B2.347734,1_SOX4.6659,1_STMN1.3925,1_TACR1.6869,1_TARDBP.23435,1_TH1L.51497,1_TINAGL1.64129,1_TMEM201.199953,1_TRIM21.6737,1_TUBB.203068,1_VEGFB.7423,1_VPS18.57617,1_WDR67.93594,1_ZNF280C.55609
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
