gen,0_ABCC10,0_ABCD1,0_ABCD3,0_ABCE1,0_ABHD14B,0_ACADL,0_ACADS,0_ACAP1,0_ACBD5,0_ACE2,0_ACIN1,0_ACTN3,0_ACTR2,0_ADAM23,0_ADAM33,0_ADAM8,0_ADH5,0_ADRM1,0_AFAP1,0_AFTPH,0_AGTRAP,0_AIFM1,0_AK2,0_AK7,0_AKAP8L,0_AKR1C1,0_AKTIP,0_ALAS1,0_ALDH1A1,0_ALDH1L2,0_ALG6,0_AMBRA1,0_AMFR,0_AMPD2,0_ANK3,0_ANKRA2,0_ANKRD13D,0_ANKS6,0_ANP32E,0_ANXA11,0_ANXA3,0_ANXA9,0_AP1G1,0_AP4B1,0_APCS,0_APLP2,0_APTX,0_AQP1,0_ARFGAP2,0_ARHGEF10L,0_ARID5A,0_ARL6IP5,0_ARMC9,0_ARNT2,0_ARPC3,0_ARSD,0_ATAD3B,0_ATE1,0_ATG16L1,0_ATG4B,0_ATIC,0_ATP10D,0_ATP6V1A,0_ATP6V1G1,0_ATXN2L,0_AUH,0_AUP1,0_AURKB,0_AUTS2,0_B3GALNT2,0_B3GNTL1,0_B4GALNT1,0_B4GALNT2,0_B9D2,0_BAK1,0_BAZ1A,0_BCAR3,0_BCL2,0_BCL2L1,0_BCL2L10,0_BCL2L12,0_BDKRB1,0_BEX2,0_BICD1,0_BIK,0_BIRC3,0_BLK,0_BRDT,0_BRIP1,0_BST2,0_BZW2,0_C1orf116,0_C1orf159,0_C1orf174,0_C2orf49,0_C4BPA,0_C5orf24,0_CA13,0_CAB39L,0_CACYBP,0_CAMSAP1,0_CAPN1,0_CAPZB,0_CASP9,0_CBLB,0_CBX3,0_CBX4,0_CCDC127,0_CCNB2,0_CDC16,0_CDC20,0_CDC25C,0_CDC42SE2,0_CDC45,0_CDCA5,0_CDCA8,0_CDH1,0_CDHR2,0_CDK11A,0_CDK19,0_CDK7,0_CDKN1A,0_CDKN2C,0_CENPA,0_CEP350,0_CEP55,0_CFHR1,0_CHCHD10,0_CHCHD3,0_CHI3L2,0_CHM,0_CLDN4,0_CLDN8,0_CLIC1,0_CLK1,0_CLK4,0_CLYBL,0_CMAS,0_CMPK2,0_CMTM1,0_CMTM3,0_CMTM4,0_CNDP2,0_CNOT1,0_CNOT2,0_CNTNAP1,0_COBL,0_COBLL1,0_COL1A1,0_COL6A2,0_COMT,0_COPS3,0_COQ4,0_COQ7,0_CORO1C,0_COX8C,0_CPE,0_CPT2,0_CRAT,0_CREBBP,0_CRHBP,0_CRISPLD2,0_CRTC2,0_CRYZ,0_CS,0_CSF1R,0_CSGALNACT2,0_CSNK1G3,0_CSNK2B,0_CSRNP2,0_CTAGE1,0_CTDSPL,0_CTTNBP2,0_CUTC,0_CX3CL1,0_CXCR5,0_CYFIP2,0_CYGB,0_CYP2S1,0_DAAM2,0_DAGLA,0_DBNDD2,0_DCBLD2,0_DCP2,0_DDX19B,0_DDX43,0_DDX47,0_DDX55,0_DEDD,0_DEK,0_DENND4C,0_DEPDC1,0_DERL3,0_DGKD,0_DKC1,0_DLD,0_DLG2,0_DMP1,0_DMTF1,0_DNAJB1,0_DNAJB11,0_DNAJC1,0_DNAJC12,0_DNAL1,0_DNASE1L3,0_DNMT3B,0_DPAGT1,0_DPP9,0_DPYSL3,0_DPYSL4,0_DSC1,0_DSG2,0_DTNA,0_DTX4,0_DUSP14,0_DUSP23,0_DUSP7,0_DZIP3,0_EAPP,0_EBNA1BP2,0_ECSIT,0_EDAR,0_EEA1,0_EEF1G,0_EFNA5,0_EFTUD2,0_EIF3E,0_EIF4E,0_EIF4EBP2,0_EIF4ENIF1,0_ELK1,0_ELMO3,0_ELMOD2,0_EMCN,0_EME1,0_ENPP5,0_EP400,0_EPSTI1,0_ERBB3,0_ERCC1,0_ERCC5,0_ERGIC3,0_ERLIN2,0_ERN2,0_ESPL1,0_ESRRA,0_ETFDH,0_EVI5L,0_EXOC6B,0_F2,0_F2RL1,0_FAAH,0_FABP7,0_FAF1,0_FAM120A,0_FAM126A,0_FAM156A,0_FAM171A1,0_FAM20A,0_FAM47E,0_FAM53A,0_FANCI,0_FBLL1,0_FBP1,0_FBXL14,0_FBXO33,0_FBXO5,0_FBXW7,0_FCHSD1,0_FEN1,0_FGD4,0_FGF9,0_FGG,0_FIGN,0_FKBP10,0_FKBP5,0_FKTN,0_FLOT1,0_FNTA,0_FPR2,0_FTSJ1,0_FUBP3,0_FUT8,0_FXN,0_FXR1,0_FXYD2,0_GAB2,0_GALNT7,0_GANAB,0_GART,0_GATAD2B,0_GBA2,0_GCDH,0_GCNT2,0_GDA,0_GDI1,0_GEM,0_GGA3,0_GGCT,0_GIT2,0_GLB1,0_GLI3,0_GLMN,0_GLRX5,0_GMPR2,0_GNB4,0_GNE,0_GNRH1,0_GOLGA3,0_GORASP2,0_GPD2,0_GPR107,0_GREM2,0_GRHL1,0_GRIN2D,0_GRK5,0_GRPEL1,0_GSR,0_GSTA1,0_GTF2E2,0_GTF2I,0_GUSB,0_HAL,0_HAPLN3,0_HAUS1,0_HAUS3,0_HCRTR1,0_HDAC1,0_HDAC10,0_HDGF,0_HELQ,0_HEPH,0_HERPUD1,0_HEYL,0_HIPK2,0_HMGA2,0_HMGCR,0_HMGN1,0_HMGN3,0_HNRNPA2B1,0_HNRNPA3,0_HNRNPH1,0_HNRNPL,0_HOXA4,0_HOXC13,0_HP1BP3,0_HPN,0_HSD17B12,0_HSD17B6,0_HSDL2,0_HSPA12A,0_HTATIP2,0_HTATSF1,0_HTN1,0_HTRA3,0_HTT,0_HYI,0_ICA1,0_ICAM1,0_IDO1,0_IDUA,0_IER3,0_IFNGR2,0_IFRD1,0_IFT20,0_IKBIP,0_IKBKB,0_IL23A,0_IL7,0_ILF2,0_INPP5B,0_INTS8,0_ISG15,0_ISL1,0_ITGB5,0_ITIH3,0_ITM2B,0_ITSN1,0_IVD,0_IWS1,0_JPH2,0_KCMF1,0_KCNA5,0_KCND1,0_KCTD16,0_KDSR,0_KHDRBS1,0_KIAA1328,0_KIAA1614,0_KIAA1841,0_KIF11,0_KIF18A,0_KIF1B,0_KIF4A,0_KIF7,0_KISS1R,0_KNTC1,0_KRT4,0_LAMP1,0_LARS2,0_LAYN,0_LBP,0_LEMD2,0_LGALS1,0_LGI4,0_LIG1,0_LIG3,0_LMBR1,0_LMNB1,0_LMO7,0_LPAR2,0_LPIN3,0_LRBA,0_LRCH2,0_LRFN3,0_LRG1,0_LRPAP1,0_LRPPRC,0_LRRC40,0_LRRC59,0_LSM12,0_LZTS1,0_MACROD2,0_MAGEA4,0_MAP1LC3B,0_MAP1LC3B2,0_MAP2K5,0_MAP7,0_MAPK12,0_MAPKAP1,0_MAPT,0_MCAT,0_MCL1,0_MCM3AP,0_MCM6,0_MCM7,0_MDFIC,0_MECP2,0_MED15,0_MEP1A,0_MERTK,0_MFGE8,0_MFSD1,0_MFSD9,0_MGAM,0_MIA2,0_MIER2,0_MLPH,0_MMGT1,0_MMP14,0_MORF4L2,0_MPND,0_MPV17L,0_MRPL1,0_MRPL11,0_MRPL16,0_MRPL24,0_MRPL46,0_MRPL49,0_MRPL9,0_MRPS18B,0_MRPS28,0_MRPS9,0_MRRF,0_MSN,0_MSTO1,0_MT1E,0_MTAP,0_MTG1,0_MTM1,0_MX1,0_MYC,0_MYO1B,0_NAF1,0_NASP,0_NAT10,0_NBEA,0_NCAPH,0_NCL,0_NCSTN,0_NDRG2,0_NDUFA10,0_NDUFA4,0_NDUFA4L2,0_NDUFAF1,0_NDUFB2,0_NDUFS2,0_NEK7,0_NFE2L2,0_NFKBIE,0_NFX1,0_NFYA,0_NKX3-2,0_NLN,0_NMB,0_NME2,0_NME5,0_NNT,0_NOLC1,0_NOP56,0_NOP58,0_NOTCH3,0_NPEPL1,0_NPM1,0_NPM3,0_NR1D2,0_NR3C2,0_NR5A2,0_NRF1,0_NRG2,0_NSL1,0_NSUN6,0_NTRK3,0_NUBP1,0_NUDT8,0_NUMA1,0_NUP35,0_ODF2,0_OGDH,0_OGFOD2,0_OLA1,0_ONECUT2,0_OSBPL1A,0_OTP,0_OXER1,0_OXSM,0_P2RX6,0_P2RY11,0_P4HB,0_PA2G4,0_PABPN1,0_PADI1,0_PANK2,0_PARP1,0_PARP12,0_PARP14,0_PARP16,0_PARP3,0_PARP6,0_PAX9,0_PAXIP1,0_PCCA,0_PCDHGA1,0_PCDHGC4,0_PCYT2,0_PDCD10,0_PDCD2L,0_PDCD5,0_PDCL2,0_PDCL3,0_PDE10A,0_PDHA1,0_PDIA3,0_PDIA6,0_PDLIM2,0_PDZRN3,0_PELI1,0_PEX12,0_PEX26,0_PEX6,0_PFDN2,0_PGK2,0_PGLYRP2,0_PGPEP1,0_PGS1,0_PHLDB2,0_PHLDB3,0_PICALM,0_PIF1,0_PIGR,0_PILRB,0_PINK1,0_PIP5K1A,0_PIR,0_PIWIL4,0_PKIB,0_PLA2G5,0_PLCE1,0_PLEC,0_PLEKHA6,0_PLEKHA7,0_PLK1,0_PLS1,0_PLXDC1,0_PMPCA,0_PMPCB,0_POC5,0_POLR2C,0_POLR2H,0_POLR3B,0_PON2,0_POTEE,0_POU2F1,0_POU2F2,0_PPAN-P2RY11,0_PPAT,0_PPIB,0_PPIL3,0_PPIL4,0_PPM1A,0_PPM1G,0_PPP1R12A,0_PPP1R3B,0_PPP2CB,0_PPP2R1B,0_PPP2R5A,0_PRC1,0_PRCC,0_PRCP,0_PRDM11,0_PRDX2,0_PRDX4,0_PRKAA2,0_PRKACB,0_PRR15L,0_PRTFDC1,0_PSENEN,0_PSMA1,0_PSMA6,0_PSMB3,0_PSMD13,0_PSMD3,0_PTGFRN,0_PTGIS,0_PTGR2,0_PTPN21,0_PTPN22,0_PTPN9,0_PTRH2,0_PUS1,0_PYCARD,0_PYCR1,0_PYGL,0_R3HDM2,0_RAB11FIP1,0_RAB13,0_RAB14,0_RAB1B,0_RAB23,0_RABEP1,0_RABGAP1,0_RAD50,0_RAD54L2,0_RALBP1,0_RANGAP1,0_RASD2,0_RASGRF1,0_RASL11A,0_RASSF4,0_RBL2,0_RBM25,0_RBM34,0_RCOR3,0_RDX,0_REST,0_RFFL,0_RGMA,0_RGP1,0_RIC3,0_RIN2,0_RNASET2,0_RNF111,0_RNF13,0_RNF139,0_RNF14,0_RNF180,0_RNF181,0_RNF19A,0_RNPEP,0_RPAP2,0_RPGR,0_RPL23,0_RPL24,0_RPL27A,0_RPLP0,0_RPLP2,0_RPP38,0_RPRD1A,0_RPS23,0_RPS6KB1,0_RRAGD,0_RRP15,0_RRP8,0_RSL1D1,0_RSPRY1,0_RUFY1,0_RUNX1,0_RUVBL2,0_S100A11,0_SAAL1,0_SAE1,0_SAMM50,0_SARDH,0_SARNP,0_SART3,0_SCARA5,0_SCARF2,0_SCD,0_SCGB1D2,0_SDC4,0_SDCCAG8,0_SDHD,0_SEC24B,0_SEMA3A,0_SEMA4B,0_SEMA5A,0_SENP8,0_SERPINA3,0_SERPINA4,0_SERPINB5,0_SFPQ,0_SGK3,0_SH3BGRL2,0_SH3GLB1,0_SHARPIN,0_SHC1,0_SHISA5,0_SHROOM2,0_SHROOM3,0_SIK2,0_SIPA1L1,0_SIRT7,0_SKA1,0_SLC12A9,0_SLC13A1,0_SLC15A4,0_SLC25A11,0_SLC25A12,0_SLC25A38,0_SLC25A5,0_SLC29A1,0_SLC29A2,0_SLC2A5,0_SLC2A9,0_SLC30A9,0_SLC36A1,0_SLC38A10,0_SLC38A7,0_SLC39A9,0_SLC43A1,0_SLC43A2,0_SLC44A3,0_SLC46A2,0_SLC47A1,0_SLC48A1,0_SLC7A5,0_SLC9A9,0_SMARCA2,0_SMARCA5,0_SMARCE1,0_SMG6,0_SMTN,0_SNAI1,0_SNRNP40,0_SNRNP70,0_SNRPA,0_SNRPA1,0_SNRPB2,0_SNRPC,0_SNX10,0_SP100,0_SP2,0_SP3,0_SPAG5,0_SPG11,0_SPINT2,0_SQLE,0_SRPX2,0_SRR,0_SS18L2,0_SSR1,0_SSR3,0_STAB1,0_STAT3,0_STC1,0_STRADB,0_STRN,0_STX17,0_SUDS3,0_SULT1C2,0_SUMO2,0_SYNGR3,0_SYNJ2,0_SYPL1,0_SYTL2,0_TACC1,0_TADA2B,0_TANK,0_TAP1,0_TAPBP,0_TBC1D1,0_TBC1D13,0_TBC1D22A,0_TBCD,0_TBCE,0_TC2N,0_TCERG1,0_TCF3,0_TCIRG1,0_TCTA,0_TECPR2,0_TFAP4,0_TFB1M,0_TGFBI,0_THAP8,0_THOC2,0_THUMPD2,0_TLE2,0_TM2D1,0_TMBIM1,0_TMEM106C,0_TMEM132E,0_TMEM165,0_TMEM25,0_TMEM33,0_TMEM87B,0_TNC,0_TNKS1BP1,0_TNPO2,0_TOE1,0_TOLLIP,0_TOM1,0_TOP2A,0_TOR3A,0_TPM2,0_TPPP,0_TRABD,0_TRAF6,0_TRAPPC6A,0_TREM1,0_TRIM17,0_TRIM35,0_TRIM52,0_TRMT1,0_TRMT61B,0_TSEN15,0_TSEN34,0_TSG101,0_TSPYL1,0_TSPYL2,0_TST,0_TTC9C,0_TTLL3,0_TUBD1,0_TUSC1,0_TXN2,0_TXNRD2,0_U2AF1L4,0_UBA2,0_UBAP2,0_UBE2D2,0_UBE2D4,0_UBE2G2,0_UBE3B,0_UBQLN4,0_UBR7,0_UBXN8,0_UPK3B,0_URB1,0_UROC1,0_USE1,0_USF1,0_USP15,0_USP2,0_USP48,0_VASP,0_VGLL4,0_VIPR1,0_VPS16,0_VPS35,0_VTI1A,0_WDFY3,0_WDR48,0_WDR53,0_WDR61,0_WSB1,0_WT1,0_WTAP,0_XPA,0_XPC,0_XPO1,0_YBX1,0_ZBTB2,0_ZBTB20,0_ZBTB4,0_ZBTB8OS,0_ZC3HC1,0_ZCCHC8,0_ZFC3H1,0_ZFP91,0_ZFYVE1,0_ZHX2,0_ZIC1,0_ZNF131,0_ZNF267,0_ZNF280C,0_ZNF354B,0_ZNF436,0_ZNF549,0_ZNF768,0_ZNF84,0_ZNF853,0_ZNHIT3,0_ZRANB2
0,0,0,0,0,0,249,0,0,0,133,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,123,0,0,0,0,0,0,0,0,0,59,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,51,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,315,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,153,0,0,0,270,0,0,0,0,0,0,0,0,0,94,0,0,18,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,8,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,354,0,0,0,0,0,0,201,0,0,0,13,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,253,294,0,0,0,0,0,0,0,245,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,126,0,0,68,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,256,0,0,354,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,107,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,90,146,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0
100,1,0,0,1,0,140,0,0,1,15,0,2,4,0,71,0,2,0,0,0,9,0,1,0,86,0,0,0,0,0,0,0,2,0,165,0,0,0,0,0,3,1,0,0,0,20,0,16,0,6,51,1,2,2,1,0,10,0,0,0,1,0,5,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,3,6,2,16,0,0,0,1,1,4,36,0,1,0,0,0,5,12,0,1,9,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,17,0,1,0,4,2,0,1,0,0,0,4,0,4,0,26,0,1,0,0,0,0,1,0,1,0,5,1,0,1,4,0,0,3,0,0,1,0,1,290,0,0,62,2,0,1,1,0,1,0,8,2,0,0,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,4,1,0,1,0,5,0,2,0,0,1,11,0,0,0,0,308,0,1,0,0,2,0,9,1,0,1,0,1,0,1,0,0,0,0,0,5,3,2,0,0,1,74,36,1,284,295,1,0,1,2,0,3,0,1,2,1,0,1,6,1,1,8,0,0,1,0,0,1,6,20,0,1,0,156,0,1,0,1,0,0,0,0,2,13,0,0,34,0,2,2,0,1,0,0,1,1,21,0,0,0,4,0,0,0,1,1,0,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,9,0,0,0,8,0,47,0,3,0,1,2,1,1,0,1,12,0,0,0,0,2,0,165,2,2,2,4,0,2,1,0,3,0,4,0,81,0,16,1,0,0,0,0,1,0,0,0,6,2,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,1,2,2,0,2,39,0,373,0,7,1,0,5,1,15,1,0,1,4,0,0,0,0,0,0,2,13,331,0,1,1,0,0,3,2,6,394,289,0,0,1,9,1,1,0,5,125,0,0,0,0,0,0,1,2,0,0,5,2,1,1,4,316,5,1,1,1,1,0,0,0,2,1,0,0,139,1,0,0,0,0,3,0,7,0,6,5,0,1,0,2,0,1,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,5,1,1,0,9,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,197,0,0,0,0,11,1,2,0,20,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,7,110,0,1,175,0,1,0,2,8,0,3,111,0,0,1,0,1,0,1,0,0,2,0,63,0,0,2,4,0,0,0,0,1,0,0,1,0,0,1,2,1,1,0,13,2,0,17,0,2,0,1,1,5,0,0,0,3,0,3,0,1,1,0,3,0,1,0,7,0,6,0,0,0,1,1,0,47,0,0,2,0,0,5,1,2,0,2,0,9,1,2,1,39,0,1,0,44,0,0,1,6,0,7,4,0,3,3,4,7,0,0,0,11,0,8,1,0,0,0,19,2,45,10,0,1,1,1,0,0,1,0,3,1,0,1,1,0,0,0,0,0,8,0,1,0,18,0,0,0,0,2,9,1,1,9,0,0,0,0,0,0,1,1,1,97,2,0,1,0,91,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,259,31,1,3,0,1,0,0,1,1,3,92,0,0,0,7,0,2,0,0,0,0,15,1,2,1,1,0,10,0,0,12,0,0,0,0,0,1,0,1,4,0,0,0,0,3,4,1,2,36,2,1,0,2,7,0,0,0,1,5,0,0,11,1,2,0,3,0,1,9,5,1,0,1,0,42,0,3,10,30,0,0,0,0,1,2,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,8,7,0,2,1,1,0,1,9,1,2,4,0,0,0,0,0,0,1,0,1,0,13,68,0,0,1,0,0,1,0,0,2,2,1,0,4,0,0,0,2,0,22,1,4,1,1,0,0,4,3,6,0,0,3,2,0,0,121,0,0,0,6,1,2,0,0,0,0,0
200,0,0,0,0,0,17,1,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,0,0,148,0,1,3,0,0,2,0,0,0,25,1,0,1,0,4,0,0,2,0,0,1,0,1,0,0,107,0,0,0,0,0,15,1,0,5,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,2,0,173,1,0,64,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,319,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,180,248,1,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,0,38,1,0,8,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,10,5,0,0,0,0,0,0,0,2,1,0,165,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,1,0,0,1,0,1,23,0,0,0,0,0,2,0,3,0,0,0,0,214,0,0,0,1,1,1,0,11,384,182,0,1,1,0,0,1,0,0,9,1,10,1,1,0,1,0,0,1,0,0,0,0,0,0,183,0,0,1,0,1,0,1,0,0,0,18,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,21,0,0,0,0,0,0,0,2,0,21,2,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,138,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,192,1,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,3,0,1,1,2,0,2,1,0,3,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,2,0,0,1,2,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,5,1,0,2,5,3,0,0,0,0,52,0,3,5,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,1,0,0,1,0,0,2,19,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,92,0,2,0,0,19,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,177,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,3,1,9,0,4,1,6,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,1,11,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,0,12,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,1,0,2,0,0,1,0,0,0,0,0,3,109,0,0,0,0,0,0,33,0,2,1,0,0,0,0,0,0,2,0
