gen,0_ACAD8,0_ACADL,0_ACADM,0_ACAT2,0_ACBD3,0_ACOT2,0_ACTR3,0_ACY1,0_ADA,0_ADAM17,0_ADAM33,0_ADAM8,0_ADAMTS9,0_ADCY2,0_ADH5,0_ADPRH,0_AFAP1,0_AFG3L2,0_AHI1,0_AK7,0_AKT1,0_ALB,0_ALDH6A1,0_ALG2,0_ALKBH1,0_ALKBH2,0_AMFR,0_AMPD2,0_ANAPC5,0_ANKRD39,0_ANKZF1,0_ANLN,0_ANO10,0_ANXA3,0_ANXA4,0_ANXA6,0_ANXA9,0_AP1G1,0_AP4S1,0_APBB3,0_APCS,0_APOOL,0_AQP1,0_ARFGEF2,0_ARGLU1,0_ARHGAP23,0_ARHGAP24,0_ARHGAP5,0_ARHGAP6,0_ARHGEF16,0_ARHGEF2,0_ARMC9,0_ARPC2,0_ARRDC4,0_ASRGL1,0_ATF4,0_ATIC,0_ATP1A1,0_ATP1B3,0_ATP2B1,0_ATP6AP1,0_ATP6V1B1,0_ATP6V1E1,0_ATP6V1G1,0_ATXN1,0_ATXN2L,0_AURKAIP1,0_AURKB,0_B4GALNT1,0_BAG1,0_BAHCC1,0_BATF2,0_BBS4,0_BCL2L10,0_BCL7A,0_BCL7B,0_BDH2,0_BIRC2,0_BIRC5,0_BLK,0_BLM,0_BNIP3L,0_BPNT1,0_BYSL,0_C11orf45,0_C11orf80,0_C17orf97,0_C1orf116,0_C1orf198,0_C1orf43,0_C2orf49,0_C4BPA,0_C4orf19,0_C5orf46,0_C6orf118,0_CAMK4,0_CAPN1,0_CAPN2,0_CAPZA1,0_CASP9,0_CCDC102B,0_CCNA2,0_CCR4,0_CCR6,0_CCT3,0_CCT5,0_CD44,0_CD74,0_CD9,0_CDCA8,0_CDH2,0_CDK4,0_CDKN1A,0_CDKN2C,0_CENPA,0_CEP350,0_CEP55,0_CES2,0_CFHR1,0_CHCHD6,0_CHD1L,0_CHDH,0_CHEK2,0_CHI3L2,0_CHMP1B,0_CHRDL1,0_CIR1,0_CISH,0_CKS1B,0_CLCC1,0_CLDN4,0_CLDN8,0_CLEC4D,0_CLK3,0_CMPK2,0_CNOT1,0_CNTNAP1,0_COBLL1,0_COG8,0_COL1A1,0_COL4A3,0_COL6A2,0_COMT,0_COQ4,0_CPNE5,0_CPSF7,0_CPT1A,0_CPT2,0_CRAT,0_CREB3L4,0_CRISPLD2,0_CRY2,0_CRYL1,0_CS,0_CSAD,0_CSGALNACT2,0_CSNK1E,0_CSPG5,0_CSTF3,0_CTSS,0_CUTC,0_CX3CL1,0_CYB5D2,0_DAB2,0_DAXX,0_DBI,0_DCAF11,0_DCAF12L1,0_DCTN3,0_DDAH1,0_DDB1,0_DDRGK1,0_DDX41,0_DDX47,0_DDX55,0_DERL1,0_DERL3,0_DGCR8,0_DGKG,0_DHCR7,0_DHRS7,0_DIAPH1,0_DLAT,0_DLST,0_DLX5,0_DNA2,0_DNAJA1,0_DNAJB7,0_DNAJC1,0_DNAJC12,0_DNAJC18,0_DNAJC2,0_DNAJC28,0_DNAJC5,0_DNAL1,0_DNASE1L3,0_DPP9,0_DPYSL3,0_DUSP8,0_DVL3,0_DYRK1A,0_DZIP1L,0_EDAR,0_EFHC2,0_EIF2B1,0_EIF2S2,0_EIF2S3,0_EIF3E,0_EIF4EBP1,0_EME1,0_ENO2,0_ENPP3,0_ENPP5,0_EPHA7,0_EPHX2,0_EPS8,0_EPSTI1,0_ERCC5,0_ERCC6L,0_ERGIC2,0_ERLIN1,0_ESPL1,0_ETFA,0_EVI5L,0_EVPL,0_EXOSC1,0_EXOSC9,0_F2,0_F2RL1,0_FAAH,0_FABP7,0_FADS1,0_FAHD1,0_FAM104A,0_FAM122C,0_FAM156A,0_FAM171B,0_FAM172A,0_FAM199X,0_FAM20A,0_FAM32A,0_FBXO5,0_FBXW5,0_FGB,0_FGF9,0_FGR,0_FIGNL1,0_FKBP10,0_FLOT1,0_FSTL3,0_FTSJ1,0_FUCA1,0_FXR1,0_FXR2,0_FXYD3,0_FZD3,0_GALNT2,0_GBP5,0_GCHFR,0_GCK,0_GEN1,0_GGT6,0_GJA4,0_GLI2,0_GLI3,0_GLMN,0_GLOD5,0_GMDS,0_GMFG,0_GORAB,0_GPR132,0_GPR143,0_GPR63,0_GPX4,0_GRAMD1B,0_GRAMD1C,0_GREM2,0_GRHL1,0_GRSF1,0_GRTP1,0_GSR,0_GSTA1,0_GSTK1,0_GTPBP10,0_GTPBP2,0_GTPBP8,0_HADH,0_HAL,0_HDAC2,0_HDHD3,0_HECTD2,0_HELZ,0_HERPUD1,0_HEYL,0_HIBCH,0_HINT1,0_HINT2,0_HINT3,0_HIRA,0_HLA-DQB1,0_HLA-DRB1,0_HM13,0_HMGA2,0_HMGCR,0_HMGN3,0_HMGXB4,0_HNRNPA3,0_HNRNPL,0_HPS3,0_HS2ST1,0_HSD17B6,0_HSPA12A,0_ICAM1,0_IDO1,0_IER3,0_IFIT3,0_IFNGR2,0_IKBIP,0_IL15RA,0_IL7,0_ILF3,0_IMPA2,0_ING5,0_INPP5B,0_INTS8,0_IRF3,0_ISG15,0_ITIH3,0_KCNE3,0_KCNG1,0_KCNJ15,0_KCTD16,0_KDM6B,0_KIAA1328,0_KIAA1671,0_KIAA1755,0_KIF11,0_KIF13B,0_KIF18A,0_KIF1B,0_KIF20A,0_KIF4A,0_KIF4B,0_KISS1R,0_KLC4,0_KNTC1,0_LAGE3,0_LARS2,0_LBP,0_LDHD,0_LENG8,0_LETM1,0_LGI4,0_LIG1,0_LIMK2,0_LMCD1,0_LMNB1,0_LRBA,0_LRCH2,0_LRRC59,0_LSM12,0_LSM14A,0_LSM2,0_LTV1,0_LUZP1,0_MACC1,0_MANEA,0_MAP1LC3B2,0_MAP7,0_MAPK6,0_MAPK8IP3,0_MAPKAPK2,0_MARK2,0_MCCC1,0_MCM5,0_MCM6,0_MCM9,0_MED15,0_MEPCE,0_MGAT1,0_MGLL,0_MGST1,0_MID1,0_MINPP1,0_MIPEP,0_MKI67,0_MKKS,0_MKNK1,0_MLLT3,0_MLPH,0_MMP2,0_MON1B,0_MORC2,0_MORC3,0_MPHOSPH10,0_MPND,0_MPPE1,0_MPV17L,0_MRPL24,0_MRPS18C,0_MRPS22,0_MRPS35,0_MS4A6A,0_MSN,0_MSRB3,0_MSTO1,0_MTA3,0_MTHFD1,0_MTMR11,0_MTMR12,0_MTR,0_MYC,0_MYO3A,0_MYO5B,0_N4BP1,0_NAA25,0_NAP1L1,0_NASP,0_NAT10,0_NBEA,0_NCAPH,0_NCSTN,0_NDUFA10,0_NDUFB2,0_NDUFB6,0_NDUFS2,0_NF2,0_NFKB2,0_NGLY1,0_NIPAL3,0_NIT1,0_NKIRAS1,0_NKX2-2,0_NME4,0_NNT,0_NOMO3,0_NOP16,0_NOP56,0_NOP58,0_NOTCH1,0_NPEPL1,0_NR2C1,0_NR3C1,0_NRG2,0_NRSN2,0_NSUN6,0_NTRK3,0_NUBP1,0_NUDT10,0_NUDT11,0_NUDT22,0_NUDT5,0_NUP50,0_NUP85,0_OCLN,0_OFD1,0_OGDH,0_OGDHL,0_OGG1,0_OLFML1,0_ONECUT2,0_OSBP,0_OSMR,0_OTP,0_OXER1,0_OXSM,0_P2RX6,0_P4HA3,0_P4HB,0_PA2G4,0_PABPC1,0_PADI1,0_PAFAH1B1,0_PAFAH2,0_PAK1IP1,0_PATZ1,0_PCCA,0_PCDHB7,0_PCDHGA1,0_PCDHGA12,0_PCDHGA8,0_PCDHGB5,0_PCDHGC3,0_PCK1,0_PDCD5,0_PDGFB,0_PDIA3,0_PDIA6,0_PDK1,0_PDK2,0_PDZRN3,0_PELI2,0_PELO,0_PFDN4,0_PFKM,0_PGLYRP2,0_PHB,0_PHF10,0_PHIP,0_PHLDA3,0_PHLPP1,0_PI4KA,0_PIBF1,0_PIF1,0_PIGQ,0_PINK1,0_PIWIL4,0_PKD2L2,0_PKP4,0_PLA2G15,0_PLA2G5,0_PLCD1,0_PLCG1,0_PLCL1,0_PLCXD1,0_PLEC,0_PLEKHA2,0_PLEKHA7,0_PLEKHB2,0_PLEKHG3,0_PLIN2,0_PLK1,0_PLK2,0_PLOD2,0_PLOD3,0_PLXDC1,0_PML,0_PNPLA4,0_PODNL1,0_POGZ,0_PON2,0_POU2F1,0_POU2F2,0_PPA2,0_PPAT,0_PPIL3,0_PPIL4,0_PPIP5K2,0_PPM1H,0_PPME1,0_PPP1R11,0_PPP1R13B,0_PPP2CB,0_PPP2R2C,0_PRAF2,0_PRC1,0_PRCC,0_PRCP,0_PRDM1,0_PRDX2,0_PRDX4,0_PRICKLE4,0_PRKAR1B,0_PRKCD,0_PRKCI,0_PRODH2,0_PRTFDC1,0_PSAPL1,0_PSMA5,0_PSMA6,0_PSMB1,0_PSMC5,0_PSMD12,0_PSMD3,0_PTGS1,0_PTPN12,0_PTPN21,0_PTPN22,0_PTPN23,0_PTPRJ,0_PWWP2B,0_PXMP4,0_PYCR1,0_PZP,0_R3HDM2,0_RAB11FIP1,0_RAB21,0_RAB23,0_RAB3D,0_RAB9A,0_RAB9B,0_RABIF,0_RAD1,0_RAD54L,0_RALGAPB,0_RALGDS,0_RANBP3L,0_RANBP6,0_RASAL1,0_RASSF1,0_RBL1,0_RBM22,0_RBM25,0_RBM34,0_RBM47,0_RBM4B,0_RBMX,0_REM1,0_REN,0_RENBP,0_RFC3,0_RFC4,0_RGP1,0_RHOT1,0_RIOK1,0_RNASET2,0_RNF149,0_RNF17,0_RNF180,0_RNF7,0_RPL12,0_RPL23,0_RPL37A,0_RPL5,0_RPN2,0_RPS16,0_RPS18,0_RPS25,0_RPS6KB1,0_RPS7,0_RPUSD2,0_RRP1B,0_RSL1D1,0_RUFY3,0_S100A1,0_S100A10,0_SAMD9,0_SCAMP2,0_SCAP,0_SCARF2,0_SDCBP,0_SDCBP2,0_SELL,0_SEMA3A,0_SENP8,0_SERPINA3,0_SERPINF2,0_SERPINH1,0_SERTAD2,0_SETD2,0_SEZ6L2,0_SF3A3,0_SFT2D2,0_SH2B3,0_SH3BP5L,0_SH3PXD2B,0_SHC1,0_SHROOM3,0_SKA1,0_SLC12A7,0_SLC15A4,0_SLC16A1,0_SLC16A3,0_SLC20A1,0_SLC23A2,0_SLC25A12,0_SLC25A38,0_SLC26A6,0_SLC27A2,0_SLC29A1,0_SLC29A2,0_SLC36A1,0_SLC39A9,0_SLC41A3,0_SLC46A3,0_SLC7A1,0_SLC7A5,0_SLC9A2,0_SLMAP,0_SMAGP,0_SMC4,0_SNRPA,0_SNRPA1,0_SNRPC,0_SNX10,0_SNX15,0_SNX16,0_SOCS5,0_SOCS6,0_SOX30,0_SPAG5,0_SPATA18,0_SPG11,0_SPRYD3,0_SPTBN2,0_SQLE,0_SRM,0_SRPX2,0_SRRM1,0_SSR1,0_SSR3,0_STAP2,0_STARD7,0_STAT3,0_STBD1,0_STC1,0_STC2,0_STEAP3,0_STK36,0_STRBP,0_STT3A,0_STX18,0_STXBP4,0_SUCLA2,0_SUDS3,0_SUMO2,0_SUMO3,0_SURF6,0_SYNCRIP,0_SYNGR3,0_SYNJ2BP,0_TACC3,0_TAF7,0_TAP1,0_TAPBP,0_TBC1D13,0_TBC1D4,0_TBCA,0_TBCE,0_TBL3,0_TCEA1,0_TCIRG1,0_TCTA,0_TCTN1,0_TDG,0_TECPR2,0_TF,0_TFAP4,0_TFE3,0_TGFB1,0_TGFBI,0_TGM2,0_THOC2,0_THTPA,0_THUMPD2,0_TJP2,0_TMED2,0_TMED4,0_TMEM132E,0_TMEM139,0_TMEM141,0_TMEM176B,0_TMEM181,0_TMEM184C,0_TMEM192,0_TMEM25,0_TMEM39A,0_TMEM53,0_TMEM8B,0_TNFSF4,0_TOLLIP,0_TOP2A,0_TOPBP1,0_TOR3A,0_TPD52,0_TPM3,0_TPM4,0_TPT1,0_TPX2,0_TRA2B,0_TRAFD1,0_TREM1,0_TRIB3,0_TRIM4,0_TRIM52,0_TRPC1,0_TSPAN1,0_TSR1,0_TST,0_TTC17,0_TTC30A,0_TTC30B,0_TTLL1,0_TTLL11,0_TUBA1C,0_TUBA8,0_TUBB,0_TXN2,0_TXNDC5,0_U2AF1L4,0_UACA,0_UBA2,0_UBAC1,0_UBAP2,0_UBE2C,0_UBE2H,0_UBXN4,0_UFM1,0_UFSP2,0_UGGT1,0_ULK2,0_UPB1,0_UPK3B,0_USF1,0_USP2,0_USP22,0_USP4,0_UTP6,0_VAMP1,0_VEGFA,0_VEZT,0_VIM,0_VKORC1,0_VPS35,0_VPS37B,0_VPS37C,0_WASL,0_WDR19,0_WDR26,0_WDR48,0_WDR6,0_WSB1,0_WT1,0_WWC1,0_XK,0_XKR9,0_XPNPEP1,0_XPO1,0_XRCC1,0_ZC3HC1,0_ZFAND2A,0_ZIC1,0_ZNF207,0_ZNF251,0_ZNF280C,0_ZNF318,0_ZNF343,0_ZNF354B,0_ZNF37A,0_ZNF383,0_ZNF503,0_ZNF532,0_ZNF608,0_ZNF7,0_ZNF777,0_ZNF853,0_ZNRF2,0_ZRANB2
0,0,169,0,0,0,0,0,0,0,0,268,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,109,0,0,0,0,0,0,28,0,0,0,0,0,0,0,235,0,0,333,0,0,0,0,146,0,0,0,0,217,0,78,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,214,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,390,0,0,0,0,0,0,144,0,0,0,0,181,0,0,0,0,92,0,267,0,0,0,0,0,0,0,269,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,390,251,0,44,0,26,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,154,58,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,404,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,236,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,47,3,0,3,0,2,0,1,7,63,0,3,67,0,2,0,1,1,0,0,2,2,5,0,0,8,0,1,0,1,1,8,25,0,0,1,1,2,0,0,0,0,0,7,1,1,0,4,0,0,6,0,0,1,2,3,1,4,1,0,0,0,0,0,1,0,0,0,0,3,0,1,25,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,29,1,11,0,1,2,1,1,0,11,0,1,0,1,1,1,1,48,1,1,321,0,0,0,0,22,1,0,0,5,67,0,23,9,2,0,0,2,0,1,6,0,2,8,1,12,0,0,3,0,1,1,2,1,0,0,1,0,0,0,1,6,0,0,0,0,1,0,2,0,1,1,0,0,41,0,0,0,1,0,0,0,1,2,0,7,0,0,3,0,0,3,0,2,0,1,36,0,0,2,0,0,74,0,0,0,15,2,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,1,0,2,0,0,1,43,3,1,11,10,1,4,2,0,0,0,0,1,29,0,0,0,0,0,0,1,0,0,0,1,11,0,2,0,1,4,0,1,0,4,4,2,0,0,0,1,19,2,1,0,0,49,0,1,1,0,32,1,2,10,2,1,0,0,1,0,0,0,0,1,7,1,0,1,3,1,0,28,1,1,0,2,3,1,1,23,1,1,0,2,0,1,2,1,0,6,4,1,0,0,1,0,42,1,0,0,142,0,0,3,1,1,0,45,1,2,0,4,33,0,6,1,0,5,8,56,1,1,1,2,0,0,0,89,1,5,1,0,0,2,29,0,2,2,2,0,1,0,1,0,1,0,0,0,1,2,2,1,1,1,1,1,1,0,46,1,0,1,0,0,2,1,36,3,0,0,1,1,0,0,0,1,0,1,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,1,0,0,1,1,0,1,4,1,0,41,1,1,0,0,0,1,2,0,0,0,1,0,0,208,2,0,0,1,0,2,0,7,1,0,54,1,3,2,1,0,1,230,49,0,3,0,4,0,1,2,0,1,0,0,1,3,3,0,38,1,0,1,0,1,0,1,1,6,0,0,0,0,4,2,2,0,0,0,1,1,1,1,1,2,3,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,1,1,0,2,12,3,0,0,1,1,0,1,1,0,1,1,1,0,0,3,0,0,11,1,1,1,2,2,1,2,0,0,1,107,0,2,3,2,1,2,0,0,0,1,0,1,0,33,0,0,0,2,0,1,0,0,5,1,1,52,1,2,0,0,0,0,5,1,0,0,3,0,1,0,1,0,0,0,2,15,2,3,1,1,0,1,1,1,0,1,1,2,0,2,84,2,25,9,0,0,0,1,0,1,2,0,1,0,137,0,1,0,0,1,0,1,0,1,1,2,0,12,0,1,0,1,0,0,23,0,1,3,0,1,5,0,1,1,0,0,1,180,0,1,0,3,0,2,0,0,0,1,0,5,0,0,2,0,33,1,6,1,1,3,0,0,0,5,1,1,0,0,0,1,1,2,0,1,1,0,1,0,4,0,3,1,3,0,0,0,3,1,2,2,1,0,0,0,0,45,0,0,5,0,1,0,100,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,0,2,57,0,0,1,1,0,0,0,1,0,1,1,0,1,3,0,2,0,0,0,0,0,0,1,0,71,104,0,123,1,0,5,1,0,0,0,2,0,0,0,0,0,0,1,0,14,20,0,43,69,0,2,0,1,0,0,2,0,0,1,0,1,0,3,0,1,0,1,4,2,2,0
200,0,5,0,0,0,0,0,0,1,3,14,0,0,7,1,0,1,1,1,0,0,0,5,4,0,0,2,0,0,1,0,0,4,2,1,0,1,0,0,3,1,0,2,0,6,0,0,0,0,5,1,0,1,0,9,0,0,3,0,0,1,2,0,1,1,0,0,2,0,4,0,1,1,1,0,0,1,0,2,1,1,2,1,1,1,0,1,0,2,0,0,1,1,2,0,0,3,0,1,0,0,1,0,1,0,3,4,0,0,1,10,0,0,319,0,0,0,1,1,0,1,4,8,8,0,0,6,1,1,3,0,0,0,1,0,0,32,0,5,1,0,1,0,0,0,2,0,0,0,2,1,0,0,0,9,0,1,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,1,6,6,1,0,1,0,1,0,0,0,6,0,0,0,0,0,3,1,9,1,0,1,18,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,1,1,3,0,0,1,1,0,0,1,7,0,35,7,0,0,0,1,0,0,1,0,2,2,1,0,3,1,0,0,0,2,0,0,7,1,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,2,2,0,0,1,1,0,4,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,2,0,8,3,4,1,4,0,1,2,0,0,2,39,0,1,0,0,1,0,2,0,1,3,1,0,0,17,1,0,1,2,7,0,0,0,4,0,0,2,11,0,6,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,3,2,0,0,0,1,0,1,2,1,0,0,2,0,0,0,0,0,2,0,0,2,0,1,2,0,0,1,0,65,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,1,2,0,4,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,100,0,0,0,0,1,0,0,3,0,0,4,0,1,0,0,1,0,124,6,1,0,1,0,0,0,1,0,0,2,0,0,1,3,1,1,0,3,0,2,0,0,0,5,3,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,4,0,0,8,0,0,0,4,0,0,0,0,1,0,75,1,0,5,3,0,0,1,0,1,1,0,0,2,3,0,1,0,0,0,5,0,1,3,0,0,4,0,1,0,0,0,1,4,2,1,2,1,1,0,0,0,0,0,1,4,40,0,1,1,0,1,0,1,0,0,0,0,1,1,0,19,1,0,0,0,0,1,0,0,1,0,1,0,19,79,0,0,0,0,2,2,0,0,0,2,6,0,0,2,0,2,0,0,5,0,2,0,5,0,1,0,1,0,1,1,0,1,43,0,0,0,0,0,0,1,0,2,0,0,0,1,1,2,0,25,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,1,0,2,0,0,0,0,3,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,45,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,9,0,1,4,1,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,7,0,20,0,1,13,0,0,0,1,1,0,0,0,1,1,1,1,0,9,0,0,0,10,0,0,0,1,0,1,0,4,0,4,0,0,2,1,0,0,0,0,1,0,7,3
300,1,0,0,1,0,1,0,1,2,0,4,0,0,5,0,0,1,0,1,1,1,0,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,10,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,278,0,0,1,0,0,0,1,6,4,0,1,0,5,0,0,2,0,0,0,0,3,0,38,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,10,1,1,1,0,0,0,0,0,0,0,1,1,0,3,0,2,0,0,0,0,0,1,5,6,0,0,1,1,0,0,1,0,1,0,0,0,0,0,3,0,5,0,1,1,8,0,0,1,0,0,0,0,3,1,5,1,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,14,0,51,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,1,3,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,13,0,1,1,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,2,1,2,5,3,1,9,0,1,0,0,0,0,5,1,0,0,0,1,0,4,0,1,3,1,0,1,20,1,1,1,1,4,0,0,0,1,0,0,1,4,0,4,0,3,1,0,0,0,1,0,1,2,0,1,0,0,1,22,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,132,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,1,0,1,1,0,0,0,4,0,1,1,0,6,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,42,0,0,1,0,1,0,1,2,0,2,0,0,3,0,0,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,4,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,74,1,2,0,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,3,0,2,0,3,1,1,0,0,0,0,0,2,0,39,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,18,26,0,0,1,1,0,0,0,1,0,0,1,3,0,2,0,0,0,0,11,0,1,0,0,0,2,0,0,0,0,0,1,1,5,1,0,1,0,0,0,1,0,3,0,0,0,2,0,1,1,7,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,5,4,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22,0,0,1,1,2,1,0,0,1,0,1,0,0,3,0,0,4,12,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,1,1,4,1,0,12,0,1,0,0,2,0,0,1,0,0,0,0,1,6,0,0,0,1,0,0,1,0,1,0,2,5,0,1,1,0,1,0,1,0,0,0,0,0,1,4
