0_ABCA3,0_ACD,0_ADAM8,0_ADRB2,0_AK7,0_C10orf99,0_C8orf84,0_CCDC109B,0_CD109,0_CLEC2B,0_CMTM3,0_COMMD7,0_COMTD1,0_CORO1C,0_CTNNBIP1,0_EVL,0_FAM107B,0_FBXW12,0_FHOD1,0_FTHL3,0_GAS2L2,0_GBP6,0_GPR18,0_GPRC5C,0_HLA-DMA,0_HLF,0_HNF1B,0_JAK1,0_KDM4D,0_KIAA1524,0_KRT6C,0_LOC100287227,0_LY6D,0_MAP6,0_MDFIC,0_SAP18,0_SH3PXD2A,0_SLC38A8,0_SLC39A6,0_SLC41A2,0_SLC6A15,0_SPRR2C,0_STAMBPL1,0_TCEA1,0_TRPM6,0_TSPAN4,0_TTC22,0_TXNRD1,0_UGDH,0_UGT1A7,0_ZFP36L2,0_ZNF697
1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0
1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0
1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0
0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
