0_FKBP10,0_HP,0_INTS8,0_MRPL18,0_PCDHGA1,0_PYCR1,0_SHROOM3,0_SPAG5,0_STAP2,0_UPK3B,0_ZFAND2A
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0
0,0,0,1,0,0,0,1,1,1,0
0,1,0,0,0,0,0,1,1,1,1
