0_AP2A1,0_CLK1,0_DSN1,0_EIF5,0_FUCA1,0_HP,0_INTS8,0_KLHL36,0_LRCH2,0_PDCD6IP,0_PGS1,0_PSMD3,0_RUNX1,0_SHISA5,0_SLC7A5,0_SYNGR2,0_UPK3B,0_ZNF549
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0
