0_ABCA3,0_ALDH5A1,0_CBX7,0_DNAJC10,0_ENTPD2,0_EYA4,0_FAM47E,0_FBL,0_FGF9,0_KCNJ15,0_KIF18A,0_LRRN4CL,0_MAGEA4,0_MPV17L,0_NIPAL3,0_PABPN1,0_SCARB1,0_SKA1,0_STRADA,0_SV2C,0_THRSP,0_TRMT1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1
1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1
1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
