inner_cv_RF_bal_acc,inner_cv_leanness,train_RF_bal_acc,train_leanness,test_RF_bal_acc,test_leanness
0.9436161213142529,0.047619047619047616,0.988306510660731,0.047619047619047616,0.8512173232695139,0.047619047619047616
0.9435560251604067,0.05263157894736842,0.9967582152061856,0.05263157894736842,0.8054583946980854,0.05263157894736842
0.9430066269104607,0.06666666666666667,0.9896153057638238,0.06666666666666667,0.8233155375552282,0.06666666666666667
0.938426336871891,0.07142857142857142,0.9928519652061856,0.07142857142857142,0.8489851804123711,0.07142857142857142
0.9370827062756831,0.09090909090909091,0.9909241008669166,0.09090909090909091,0.8333601804123711,0.09090909090909091
0.9280215073264365,0.1,0.9863735209700094,0.1,0.8233155375552282,0.1
0.9234559174717036,0.1111111111111111,0.9805192713214621,0.1111111111111111,0.8155030375552282,0.1111111111111111
0.9228665583771899,0.125,0.9772573512183693,0.125,0.7998780375552282,0.125
0.9176218031324346,0.14285714285714285,0.9740206917760075,0.14285714285714285,0.8021101804123711,0.14285714285714285
0.9028162961394276,0.16666666666666666,0.9824672709700094,0.16666666666666666,0.8252025036818851,0.16666666666666666
0.8891549816163218,0.2,0.9707990422914714,0.2,0.8252025036818851,0.2
0.880098908018528,0.25,0.9565531842513157,0.25,0.8021101804123711,0.25
0.8297492576688776,0.3333333333333333,0.932127505226732,0.3333333333333333,0.7786726804123711,0.3333333333333333
0.7102940431025161,0.5,0.8929717350948021,0.5,0.6910898379970544,0.5
0.25,1.0,0.25,1.0,0.25,1.0
