1_hsa.miR.15b.3p,2_ACAP3.116983,2_ADPRH.141,2_C11orf80.79703,2_C20orf123.128506,2_CA5BP.340591,2_CENPBD1.92806,2_CLEC18A.348174,2_COCH.1690,2_CRYBB1.1414,2_EFHB.151651,2_ERBB2.2064,2_EVX2.344191,2_FAM66C.440078,2_GPR108.56927,2_GPR156.165829,2_HGSNAT.138050,2_HILS1.373861,2_HIST1H4A.8359,2_HIST2H3D.653604,2_HMGB1.3146,2_JUP.3728,2_KLHL9.55958,2_LOC100132215.100132215,2_LOC100132288.100132288,2_LOC388387.388387,2_LOC401052.401052,2_LRRC46.90506,2_MAFB.9935,2_MARCH5.54708,2_MECOM.2122,2_NAAA.27163,2_PDE7B.27115,2_RAD18.56852,2_REEP4.80346,2_RNF113B.140432,2_SAMD1.90378,2_SLC7A3.84889,2_SNTG2.54221,2_SON.6651,2_SPESP1.246777,2_TMED6.146456,2_TMEM43.79188,2_TNRC6A.27327,2_UNG.7374,2_WISP1.8840,2_YIPF4.84272,2_ZNF311.282890,2_ZNF443.10224,2_ZNF630.57232,2_ZNF648.127665
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1
0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
