1_hsa.miR.222.5p,2_AZU1.566,2_BTBD17.388419,2_C14orf48.256369,2_C17orf77.146723,2_C1orf53.388722,2_C9orf21.195827,2_CATSPER1.117144,2_CDC20B.166979,2_CDKN2BAS.100048912,2_CTHRC1.115908,2_DERL2.51009,2_DNASE1L2.1775,2_DPY19L3.147991,2_DSC2.1824,2_EFHB.151651,2_EGF.1950,2_ELK1.2002,2_ERICH1.157697,2_EVX2.344191,2_FAM66C.440078,2_FLJ36000.284124,2_FRG1.2483,2_GAL3ST4.79690,2_GALNTL4.374378,2_GCET2.257144,2_GIMAP2.26157,2_GLOD4.51031,2_GOLGA2P3.401634,2_HERC4.26091,2_HILS1.373861,2_HMMR.3161,2_IQGAP2.10788,2_IQGAP3.128239,2_KCNK17.89822,2_LCE5A.254910,2_LOC388387.388387,2_LOC401431.401431,2_LYZL1.84569,2_MFAP4.4239,2_MPDU1.9526,2_MUTYH.4595,2_NCOA4.8031,2_NPTXR.23467,2_PBXIP1.57326,2_PCK1.5105,2_PCMTD1.115294,2_PGM2.55276,2_PIGS.94005,2_PRDM7.11105,2_PRPF31.26121,2_RPAIN.84268,2_RPL7A.6130,2_SCD5.79966,2_SESN1.27244,2_SLC7A14.57709,2_SNAI2.6591,2_SYNC.81493,2_TANK.10010,2_TC2N.123036,2_TELO2.9894,2_TMEM60.85025,2_TOMM34.10953,2_TRIM56.81844,2_WEE1.7465,2_WNT7B.7477,2_ZDHHC23.254887,2_ZNF630.57232,2_ZNF648.127665,2_ZSCAN2.54993
0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0
0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
