0_age_at_initial_pathologic_diagnosis,1_hsa.miR.28.5p,1_hsa.miR.552.5p,1_hsa.miR.877.5p,2_ALS2CR4.65062,2_ARL13A.392509,2_BSPRY.54836,2_C12orf53.196500,2_C21orf71.282566,2_C7orf36.57002,2_CDKN2BAS.100048912,2_CLCA1.1179,2_CYTH3.9265,2_DLGAP1.9229,2_DOCK3.1795,2_EFHB.151651,2_ELK1.2002,2_FLJ36000.284124,2_GFRA3.2676,2_GPR139.124274,2_GPR18.2841,2_GTF2A1L.11036,2_GTF3C5.9328,2_GXYLT1.283464,2_HILS1.373861,2_HLA.DQA2.3118,2_INO80E.283899,2_IQGAP2.10788,2_KCND2.3751,2_KLRC3.3823,2_LOC100128842.100128842,2_LOC650368.650368,2_LRRIQ4.344657,2_MARK3.4140,2_MGC45800.90768,2_MTDH.92140,2_PDHB.5162,2_PGM1.5236,2_RBM23.55147,2_SAMD11.148398,2_SAMD9.54809,2_SEPT4.5414,2_SMS.6611,2_SWAP70.23075,2_TCEAL2.140597,2_TSPAN6.7105,2_TTF2.8458,2_UBTF.7343,2_VANGL1.81839,2_WDR86.349136,2_WEE1.7465,2_ZNF311.282890,2_ZNF630.57232,2_ZNF705D.728957,2_ZNF841.284371
1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0
1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0
1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
