gen,evals,gen_feats,explored,Pam50 svm adjusted balanced accuracy_min,Pam50 svm adjusted balanced accuracy_avg,Pam50 svm adjusted balanced accuracy_max,Pam50 svm adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
0,500,1061,1061,0.05808650531335767,0.4461684185741648,0.596655246190303,0.10532826805285735,0.14002800840280097,0.24385936879315634,1.0,0.14003175635958767
1,504,1284,1328,0.05808650531335767,0.4620174179147863,0.596655246190303,0.10673229982656605,0.12909944487358055,0.265124813423515,1.0,0.1373153498555105
2,500,1289,1557,0.09984912458607036,0.476294099203751,0.6171363097963307,0.10338344256714856,0.12909944487358055,0.27703970569310765,1.0,0.14622783014061522
3,500,1313,1775,0.09984912458607036,0.4935066910378513,0.6171363097963307,0.09658608384783011,0.1270001270001905,0.27345467858174793,1.0,0.14504381828453128
4,500,1353,2030,0.09984912458607036,0.5068676262570568,0.6171363097963307,0.09469950121211224,0.12598815766974242,0.27263110002183727,1.0,0.14559600594453695
5,500,1363,2268,0.09984912458607036,0.5198963096162069,0.6404245622781244,0.09286353730228955,0.12216944435630522,0.26827878133844163,1.0,0.14673634275601385
6,500,1383,2478,0.09984912458607036,0.529063755447975,0.6404245622781244,0.09007354795621081,0.12216944435630522,0.2677075082211604,1.0,0.14684746307987095
7,500,1390,2691,0.09984912458607036,0.5386807443739787,0.6404245622781244,0.08660010325297862,0.12216944435630522,0.2660333236660324,1.0,0.14648948118075553
8,500,1398,2932,0.09984912458607036,0.5475198434283453,0.6523109341323048,0.08287689060716691,0.11704114719613055,0.26351367274203313,1.0,0.14661366361601605
9,500,1388,3132,0.09984912458607036,0.5557960339950039,0.6539075175458064,0.0788297624521353,0.11704114719613055,0.261073817101685,1.0,0.1470508526085161
10,500,1400,3324,0.09984912458607036,0.5609265742640106,0.6539075175458064,0.07975560498785855,0.11624763874381928,0.2652107514966772,1.0,0.15032244008024312
