1_hsa.miR.148b.5p,1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.3605.3p,1_hsa.miR.3648,2_ARL8A.127829,2_B3GALT4.8705,2_BCL2L14.79370,2_BNIP3.664,2_C1S.716,2_C5orf20.140947,2_C8G.733,2_CCDC69.26112,2_CTAGE9.643854,2_DHH.50846,2_DHRS12.79758,2_DHRS7B.25979,2_DNASE1L3.1776,2_FUBP1.8880,2_GALNT12.79695,2_GGPS1.9453,2_GPR18.2841,2_HNMT.3176,2_HNRNPR.10236,2_LRRC17.10234,2_MAP4K1.11184,2_MARCH2.51257,2_NASP.4678,2_NUDT13.25961,2_NUDT7.283927,2_ORC1L.4998,2_PEX11G.92960,2_PFKFB2.5208,2_PPP2R5D.5528,2_PRPS1L1.221823,2_RAD54L.8438,2_RARRES3.5920,2_RASGRP2.10235,2_RBMX.27316,2_RELB.5971,2_RELL1.768211,2_SERPING1.710,2_SLC25A28.81894,2_SRPK1.6732,2_SYNCRIP.10492,2_TLR1.7096,2_TPSD1.23430,2_VPS18.57617,2_YWHAQ.10971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
