inner_cv_logit100_bal_acc,inner_cv_leanness,train_logit100_bal_acc,train_leanness,test_logit100_bal_acc,test_leanness
0.9929365273527019,0.02,1.0,0.02,0.7321428571428571,0.02
0.9921474793391302,0.021739130434782608,1.0,0.021739130434782608,0.7063492063492064,0.021739130434782608
0.9901354069045226,0.022222222222222223,1.0,0.022222222222222223,0.7321428571428571,0.022222222222222223
0.9901354069045226,0.022222222222222223,1.0,0.022222222222222223,0.7162698412698413,0.022222222222222223
0.9885628196688104,0.023255813953488372,1.0,0.023255813953488372,0.7251221001221001,0.023255813953488372
0.9863161599872186,0.024390243902439025,1.0,0.024390243902439025,0.7181013431013431,0.024390243902439025
0.9835150395390393,0.025,1.0,0.025,0.6973443223443223,0.025
0.979721861833889,0.02564102564102564,1.0,0.02564102564102564,0.691468253968254,0.02564102564102564
0.9773012864321627,0.02631578947368421,1.0,0.02631578947368421,0.7152014652014651,0.02631578947368421
0.9771292594205404,0.027777777777777776,1.0,0.027777777777777776,0.7132173382173381,0.027777777777777776
0.9750596992020867,0.02857142857142857,1.0,0.02857142857142857,0.7063492063492064,0.02857142857142857
0.9699544312884697,0.029411764705882353,1.0,0.029411764705882353,0.6894841269841271,0.029411764705882353
0.967207178541217,0.030303030303030304,1.0,0.030303030303030304,0.6746031746031746,0.030303030303030304
0.9644599257939641,0.03125,1.0,0.03125,0.6705586080586079,0.03125
0.9626547372172929,0.03333333333333333,1.0,0.03333333333333333,0.6944444444444444,0.03333333333333333
0.9619893573058483,0.034482758620689655,1.0,0.034482758620689655,0.6357600732600732,0.034482758620689655
0.9567917447620715,0.03571428571428571,1.0,0.03571428571428571,0.6040140415140415,0.03571428571428571
0.9508974288348828,0.037037037037037035,1.0,0.037037037037037035,0.6099664224664225,0.037037037037037035
0.9316672015326944,0.038461538461538464,1.0,0.038461538461538464,0.6636141636141636,0.038461538461538464
0.9230347617326036,0.04,1.0,0.04,0.6863553113553112,0.04
0.9223934651272874,0.041666666666666664,1.0,0.041666666666666664,0.617979242979243,0.041666666666666664
0.9151912748463591,0.043478260869565216,1.0,0.043478260869565216,0.617979242979243,0.043478260869565216
0.9049807390191249,0.045454545454545456,1.0,0.045454545454545456,0.6338522588522588,0.045454545454545456
0.8963296191156713,0.047619047619047616,0.9867592652690336,0.047619047619047616,0.6495726495726496,0.047619047619047616
0.8930982234574184,0.05,1.0,0.05,0.6764346764346765,0.05
0.8857835644655234,0.05263157894736842,0.9776298524862013,0.05263157894736842,0.6863553113553114,0.05263157894736842
0.8677713618561743,0.05555555555555555,1.0,0.05555555555555555,0.6198870573870574,0.05555555555555555
0.842402688541953,0.058823529411764705,0.9654072442243595,0.058823529411764705,0.6903235653235653,0.058823529411764705
0.8356337858947445,0.07142857142857142,0.9061607559879927,0.07142857142857142,0.694368131868132,0.07142857142857142
0.828831064806309,0.07692307692307693,0.9061607559879927,0.07692307692307693,0.6854395604395604,0.07692307692307693
0.8181532431936182,0.09090909090909091,0.8791060610453247,0.09090909090909091,0.672542735042735,0.09090909090909091
0.7999081742227523,0.1,0.8719189202958993,0.1,0.5633394383394383,0.1
0.7901459112285742,0.1111111111111111,0.8153557428283583,0.1111111111111111,0.6982600732600732,0.1111111111111111
0.7680143122848692,0.125,0.8068033350410726,0.125,0.6427045177045176,0.125
0.755394887133898,0.14285714285714285,0.7877014986611846,0.14285714285714285,0.651633089133089,0.14285714285714285
0.7362989007856314,0.16666666666666666,0.7364099150302136,0.16666666666666666,0.6537698412698413,0.16666666666666666
0.7175911199065304,0.2,0.7348041156140225,0.2,0.6506410256410255,0.2
0.6269986567303677,0.25,0.660549202730755,0.25,0.5603632478632479,0.25
0.5567344464784132,0.3333333333333333,0.5618434295746748,0.3333333333333333,0.49778693528693524,0.3333333333333333
0.4706207726861059,0.5,0.4531287054366709,0.5,0.3737789987789988,0.5
0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0
