0_age_at_initial_pathologic_diagnosis,1_AOX1.316,1_ASF1B.55723,1_ASPM.259266,1_CCDC46.201134,1_CCNA2.890,1_CEP135.9662,1_CLSPN.63967,1_CUL7.9820,1_CUTC.51076,1_DGCR6.8214,1_EFNB1.1947,1_EIF2AK4.440275,1_FAM110B.90362,1_FMOD.2331,1_GATA5.140628,1_GPR156.165829,1_GPRASP1.9737,1_GPX8.493869,1_HILS1.373861,1_HIST1H2BH.8345,1_HOXA3.3200,1_HOXA5.3202,1_HTR1D.3352,1_IQGAP2.10788,1_KLHL25.64410,1_MEST.4232,1_NDST4.64579,1_PDGFA.5154,1_PHTF1.10745,1_PHYHIPL.84457,1_PLD3.23646,1_PTK2B.2185,1_RAD18.56852,1_RPA3.6119,1_SARDH.1757,1_SLC27A3.11000,1_TMPRSS3.64699,1_TRIM16L.147166,1_TRMT2B.79979,1_TSTD1.100131187,1_ULBP3.79465,1_WEE1.7465,1_ZDHHC22.283576,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
