0_age_at_initial_pathologic_diagnosis,1_ABI1.10006,1_ARHGAP11A.9824,1_BRCA1.672,1_BRIP1.83990,1_CALU.813,1_CBARA1.10367,1_CCNA2.890,1_CDK2.1017,1_CMYA5.202333,1_COL5A2.1290,1_COL8A1.1295,1_EEPD1.80820,1_EVC2.132884,1_GALNT5.11227,1_IQGAP2.10788,1_KCNIP3.30818,1_KIF4A.24137,1_KLHL25.64410,1_LAMA2.3908,1_LDHB.3945,1_LOC284276.284276,1_MAP1LC3C.440738,1_MYBL1.4603,1_NDST4.64579,1_NGFRAP1.27018,1_NOG.9241,1_NR2E1.7101,1_PEX5.5830,1_PSRC1.84722,1_PTGFRN.5738,1_PTRF.284119,1_RAB27A.5873,1_RAB42.115273,1_RAD18.56852,1_RPL3.6122,1_SARDH.1757,1_SLC25A24.29957,1_SMOC1.64093,1_SOX8.30812,1_SSTR5.6755,1_TBC1D10A.83874,1_TDH.157739,1_WEE1.7465,1_YY2.404281,1_ZNF32.7580,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
