gen,0_ABCA1,0_ABCA4,0_ABCB6,0_ABCC10,0_ABCC3,0_ABHD11,0_ABHD3,0_ACAA2,0_ACAD8,0_ACADL,0_ACADS,0_ACAT1,0_ACLY,0_ACOX1,0_ACTR2,0_ACVRL1,0_ADAL,0_ADAM23,0_ADAM8,0_ADAMTSL4,0_ADCY3,0_ADH5,0_AEBP1,0_AFF3,0_AFG3L2,0_AFTPH,0_AGL,0_AHI1,0_AHNAK2,0_AKAP8L,0_AKAP9,0_ALAS1,0_ALDH1L2,0_ALKBH2,0_ALKBH5,0_ANAPC4,0_ANAPC7,0_ANKS6,0_ANLN,0_ANP32B,0_ANXA2,0_ANXA7,0_AP1G1,0_AP1G2,0_AP2A1,0_AP4S1,0_APBB1IP,0_APCS,0_API5,0_APLP2,0_AQP1,0_ARFIP1,0_ARGLU1,0_ARHGEF10L,0_ARHGEF12,0_ARSB,0_ARSD,0_ATF7IP2,0_ATP1B1,0_ATP1B3,0_ATP2B3,0_ATP2B4,0_ATP6AP2,0_ATP6V1B1,0_ATP6V1D,0_ATRIP,0_ATRN,0_AUH,0_AURKB,0_B4GALT3,0_BCAS3,0_BCL2L2,0_BDH2,0_BEX2,0_BIRC5,0_BPHL,0_BRD3,0_BRDT,0_BYSL,0_C11orf45,0_C12orf57,0_C18orf32,0_C1orf162,0_C1orf54,0_C2orf88,0_C3orf14,0_C5orf24,0_C6orf62,0_CALU,0_CAMK4,0_CAMLG,0_CAND2,0_CAPG,0_CAPN2,0_CAPZA1,0_CAPZB,0_CARD11,0_CASP2,0_CAV1,0_CBLB,0_CBR4,0_CBWD5,0_CC2D2B,0_CCDC102B,0_CCDC25,0_CCDC51,0_CCDC88B,0_CCNB2,0_CCNDBP1,0_CCNL2,0_CCNT2,0_CCR6,0_CCT3,0_CCT5,0_CCT6B,0_CD300C,0_CD53,0_CDC123,0_CDC14A,0_CDC25C,0_CDC27,0_CDC45,0_CDH16,0_CDH23,0_CDK11B,0_CDK2AP1,0_CDK4,0_CDKN1A,0_CDKN2C,0_CENPA,0_CEP55,0_CES3,0_CHDH,0_CHI3L2,0_CHRD,0_CHRDL1,0_CHST11,0_CIDEB,0_CIR1,0_CKS1B,0_CLDN2,0_CLDN8,0_CLEC11A,0_CLEC4C,0_CLIC1,0_CLIC3,0_CLK2,0_CLMN,0_CLN5,0_CLPB,0_CMTM1,0_CNOT1,0_CNPY2,0_CNTN2,0_CNTNAP1,0_COBLL1,0_COL13A1,0_COL1A1,0_COL6A2,0_COMT,0_COPS4,0_COQ4,0_COX4I1,0_COX7C,0_CPNE1,0_CPNE5,0_CPT2,0_CRHBP,0_CRISP3,0_CRISPLD2,0_CROT,0_CRTC2,0_CRYL1,0_CTDSPL,0_CTSH,0_CTTNBP2,0_CUL5,0_CUL7,0_CUTC,0_CYFIP2,0_CYP2S1,0_CYTH4,0_DCAF4,0_DCLK1,0_DCTN3,0_DCUN1D3,0_DDB1,0_DDR1,0_DDX55,0_DEDD,0_DEF8,0_DGCR8,0_DGKA,0_DHX29,0_DIRAS3,0_DLST,0_DNAJA3,0_DNAJB12,0_DNAJB7,0_DNAJC28,0_DOK4,0_DPAGT1,0_DPYSL3,0_DSC2,0_DSG2,0_DTNBP1,0_DTX4,0_DTYMK,0_DYRK4,0_EAPP,0_ECD,0_EDAR,0_EEF1D,0_EFHC2,0_EFS,0_EIF2B4,0_EIF2B5,0_EIF2S2,0_EIF3E,0_EIF3H,0_EIF4EBP2,0_ELF4,0_ELMOD2,0_ELOVL1,0_EME1,0_EMX1,0_ENO1,0_ENY2,0_EPHA7,0_EPHB2,0_EPSTI1,0_ERN2,0_ESPL1,0_EVI5L,0_EWSR1,0_EXOSC1,0_EYA4,0_FABP3,0_FABP7,0_FAF2,0_FAM104A,0_FAM120A,0_FAM136A,0_FAM160A1,0_FAM189A2,0_FAM193B,0_FAM53A,0_FBXO33,0_FCAR,0_FCN3,0_FGB,0_FGD4,0_FGF2,0_FGF9,0_FGR,0_FHOD1,0_FLRT3,0_FLVCR1,0_FMR1,0_FNBP1L,0_FOXP2,0_FPR2,0_FRAT1,0_FRRS1,0_FTSJ1,0_GAB3,0_GALK1,0_GALNT2,0_GAPDH,0_GAS1,0_GAS8,0_GBP1,0_GBP5,0_GCC1,0_GDI1,0_GGA3,0_GGCX,0_GGTLC1,0_GLOD5,0_GLRX2,0_GLRX5,0_GLUD2,0_GMIP,0_GMPR,0_GOLGA3,0_GORAB,0_GPC4,0_GPR143,0_GPX3,0_GRAMD1B,0_GREM2,0_GRHL1,0_GRIN2D,0_GSTA1,0_GSTO2,0_GTSF1,0_HAAO,0_HAPLN3,0_HCCS,0_HDHD2,0_HHAT,0_HKDC1,0_HMGA2,0_HMGN2,0_HMOX2,0_HNRNPL,0_HNRNPU,0_HNRNPUL1,0_HOXA4,0_HPCAL1,0_HPS5,0_HSD17B11,0_HSD17B6,0_HSP90B1,0_HSPA12A,0_HUS1,0_ICAM1,0_IDO1,0_IDUA,0_IFFO2,0_IFNG,0_IFRD2,0_IKBKB,0_IL15RA,0_IL17RD,0_IL4I1,0_IMPACT,0_INPP5A,0_INPP5B,0_INTS8,0_IRAK3,0_IRF1,0_IRGQ,0_ISCA2,0_ISG15,0_ISG20L2,0_JMJD6,0_KCNG1,0_KCNJ15,0_KCNK1,0_KCTD16,0_KDELR2,0_KHSRP,0_KIAA0232,0_KIAA1217,0_KIAA1522,0_KIAA1614,0_KIAA1671,0_KIAA1755,0_KIF13B,0_KIF18A,0_KIF20A,0_KIF4B,0_KIF7,0_KIF9,0_KPNA3,0_KRBA1,0_KRT19,0_KRT4,0_KRT7,0_LBP,0_LBR,0_LENG8,0_LETM1,0_LFNG,0_LGI4,0_LGMN,0_LIMA1,0_LIMD1,0_LINS1,0_LMAN2L,0_LMCD1,0_LMNA,0_LMNB1,0_LPAR5,0_LRBA,0_LRCH2,0_LRRC25,0_LRRN4CL,0_LSM12,0_LSM6,0_LTV1,0_LUC7L3,0_LZTS2,0_MACC1,0_MAF,0_MAGEA4,0_MAP1LC3B,0_MAP1LC3B2,0_MAP2K5,0_MAP3K1,0_MAP3K14,0_MAP7D3,0_MAPK11,0_MAPK12,0_MAPK8IP3,0_MARCKS,0_MAX,0_MAZ,0_MBNL1,0_MCCC1,0_MCM7,0_MCM9,0_MCPH1,0_MED12,0_MEP1A,0_MEPCE,0_MERTK,0_MFSD9,0_MGST1,0_MGST2,0_MKRN2,0_MLX,0_MLYCD,0_MMP2,0_MN1,0_MOAP1,0_MON1B,0_MORF4L2,0_MOSPD1,0_MPV17L,0_MRPL24,0_MRPL9,0_MRPS2,0_MRPS35,0_MSI2,0_MSRB3,0_MSTO1,0_MT1E,0_MTRR,0_MYO10,0_MYO6,0_N4BP2L1,0_N4BP2L2,0_NAA35,0_NAALADL1,0_NAP1L4,0_NCAM2,0_NCAPH,0_NCKAP1L,0_NCSTN,0_NDUFA4L2,0_NDUFA9,0_NDUFS3,0_NEURL1B,0_NF2,0_NFIX,0_NGEF,0_NGLY1,0_NKIRAS1,0_NKTR,0_NLN,0_NLRP12,0_NLRX1,0_NME1,0_NME7,0_NMNAT3,0_NNMT,0_NNT,0_NOP56,0_NOP58,0_NOS1AP,0_NOTCH3,0_NPM1,0_NR3C1,0_NR3C2,0_NR5A2,0_NRG2,0_NTRK3,0_NUDT11,0_NUP62,0_NXPH2,0_OCLN,0_ODF2,0_OGDH,0_OGFOD1,0_OLFML1,0_ONECUT2,0_OSBP,0_OSMR,0_OTUD1,0_P4HB,0_PABPC1,0_PADI1,0_PAFAH1B1,0_PAG1,0_PAPOLG,0_PAPSS2,0_PAQR7,0_PARK7,0_PARP1,0_PARP6,0_PAX9,0_PBX2,0_PCBP3,0_PCCA,0_PCDHGA1,0_PCDHGC4,0_PCGF1,0_PCGF3,0_PDCD2L,0_PDCD5,0_PDCL3,0_PDIA6,0_PDP2,0_PDPK1,0_PDZRN3,0_PEG3,0_PELI1,0_PEX12,0_PEX3,0_PFN1,0_PGAM1,0_PGLYRP2,0_PHF5A,0_PHIP,0_PHLDB3,0_PIF1,0_PIGR,0_PINK1,0_PIP4K2A,0_PKP4,0_PLA2G5,0_PLEKHG3,0_PLEKHM2,0_PLK1,0_PLOD2,0_PLOD3,0_PLS1,0_PLSCR3,0_PLTP,0_PLXDC1,0_PMPCB,0_POU2F1,0_POU3F3,0_POU5F1,0_PPAN,0_PPFIBP2,0_PPIB,0_PPIE,0_PPM1A,0_PPM1H,0_PPME1,0_PPP2R2C,0_PPP2R5A,0_PQBP1,0_PRC1,0_PREX2,0_PRKCI,0_PRODH2,0_PRPF40A,0_PRR16,0_PRTN3,0_PSENEN,0_PSMB2,0_PSMB4,0_PSMC5,0_PSMD3,0_PSMF1,0_PTER,0_PTGIS,0_PTGR2,0_PTGS1,0_PTPN12,0_PTPN23,0_PTPN3,0_PUS1,0_PUS7,0_PWWP2B,0_PXMP4,0_PYCARD,0_PYCR1,0_PYGO2,0_RAB11FIP1,0_RAB11FIP2,0_RAB11FIP5,0_RABEP1,0_RAD51,0_RAP1GAP2,0_RAP1GDS1,0_RASEF,0_RASSF5,0_RBL2,0_RBM34,0_RBM8A,0_RBMX,0_RCC2,0_RCOR3,0_RECQL4,0_RENBP,0_RER1,0_RFC3,0_RFK,0_RGS1,0_RHOT1,0_RIC3,0_RIN2,0_RIPK1,0_RIT1,0_RNASE3,0_RNASEH2B,0_RNASET2,0_RNF123,0_RNF13,0_RNF130,0_RNF17,0_RNF180,0_RNF19A,0_RNF20,0_RNF220,0_RPA4,0_RPIA,0_RPL13,0_RPL23,0_RPL5,0_RPL7,0_RPL8,0_RPLP0,0_RPLP2,0_RPN2,0_RPP38,0_RPS16,0_RPS17,0_RPS20,0_RPS4X,0_RPS5,0_RPS6KA2,0_RRP1B,0_RSAD2,0_RSL1D1,0_RUFY1,0_S100PBP,0_S1PR2,0_SAMM50,0_SARDH,0_SCAP,0_SCARB1,0_SCFD2,0_SCIN,0_SCO1,0_SCYL3,0_SDC3,0_SDC4,0_SDF2L1,0_SDHA,0_SDHD,0_SDR39U1,0_SEC14L2,0_SECISBP2,0_SELL,0_SEMA3A,0_SEMA4D,0_SERPINA1,0_SERPINH1,0_SETD3,0_SETDB2,0_SF3B2,0_SFXN2,0_SFXN3,0_SGMS1,0_SGSM1,0_SH2B1,0_SH3BP5L,0_SHARPIN,0_SHPK,0_SHROOM3,0_SIPA1L1,0_SKA1,0_SLC16A3,0_SLC1A5,0_SLC25A12,0_SLC26A6,0_SLC27A2,0_SLC36A1,0_SLC38A6,0_SLC46A2,0_SLC7A5,0_SLMAP,0_SMAGP,0_SMAP1,0_SMARCE1,0_SMPD3,0_SNAPIN,0_SNRNP48,0_SNRNP70,0_SNRPD3,0_SNX15,0_SOX30,0_SP3,0_SPAG5,0_SPATA18,0_SPTA1,0_SPTBN4,0_SRP19,0_SRPX2,0_SS18,0_SSBP2,0_SSR3,0_ST8SIA5,0_STARD7,0_STEAP3,0_STK36,0_STK38,0_STT3A,0_STX4,0_SULT1C2,0_SUMO4,0_SYNE2,0_SYNGR1,0_SYNGR3,0_SYNJ2BP,0_SYTL1,0_TACC3,0_TAF1A,0_TAF5,0_TAP1,0_TAP2,0_TBC1D13,0_TBC1D19,0_TBC1D4,0_TCEA1,0_TCIRG1,0_TCOF1,0_TCTN1,0_TECPR2,0_TF,0_TFE3,0_TGFA,0_TGFBI,0_THOC7,0_THTPA,0_TIGD1,0_TIMM8A,0_TJP2,0_TMED9,0_TMEM106C,0_TMEM132E,0_TMEM165,0_TMEM176A,0_TMEM25,0_TMEM39A,0_TMEM72,0_TMPRSS2,0_TNC,0_TNFRSF18,0_TNFRSF6B,0_TNFSF4,0_TNPO2,0_TOP2A,0_TOP2B,0_TPD52L2,0_TPM2,0_TPPP,0_TPRN,0_TRABD,0_TRAFD1,0_TRAK1,0_TRAM1,0_TRDMT1,0_TREM1,0_TRIB2,0_TRIB3,0_TRIM11,0_TRIM21,0_TRIM27,0_TRIP10,0_TRPC1,0_TSEN34,0_TSKU,0_TSR1,0_TTC17,0_TTC32,0_TTLL1,0_TTLL3,0_TUBA8,0_TUBB,0_TUFM,0_TXNRD2,0_UBA2,0_UBE2C,0_UBE2D1,0_UBE2D2,0_UBE2D3,0_UBE3C,0_UFM1,0_UGT1A6,0_UGT8,0_UPB1,0_UPK3B,0_URGCP,0_UROC1,0_USP15,0_USP2,0_USP48,0_VAC14,0_VAMP1,0_VPS16,0_VPS41,0_VPS4A,0_VPS53,0_VRK3,0_WDR17,0_WDR24,0_WDR33,0_WSCD2,0_XPA,0_YBX1,0_YIPF1,0_YWHAG,0_YWHAZ,0_ZBTB10,0_ZBTB12,0_ZBTB33,0_ZBTB44,0_ZCCHC8,0_ZDHHC17,0_ZDHHC3,0_ZIC1,0_ZNF134,0_ZNF143,0_ZNF19,0_ZNF207,0_ZNF304,0_ZNF317,0_ZNF511,0_ZNF514,0_ZNF580,0_ZNF7,0_ZNF763,0_ZNF83,0_ZNF853,0_ZNHIT6,0_ZRANB2
0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,1,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,105,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,16,0,0,0,0,0,0,168,0,0,0,0,174,96,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,79,193,35,145,78,0,0,0,0,88,0,0,0,0,11,0,0,0,0,0,0,0,0,93,0,206,0,0,0,0,0,0,0,0,132,0,99,0,91,0,0,0,0,0,78,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,228,0,0,0,55,0,49,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,0,11,0,45,0,86,0,0,0,106,0,0,0,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,78,0,0,0,0,81,0,0,0,171,101,89,76,0,0,46,69,122,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,231,196,0,0,0,21,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,151,0,0,0,0,0,0,0,0,0,117,0,0,211,0,0,64,57,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,182,0,52,0,0,0,0,0,160,0,352,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,139,0,0,0,113,0,0,0,0,130,0,0,0,0,0,181,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,81,0,0,0,13,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,113,0,0,19,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,88,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,79,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,221,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,78,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,47,0,148,113,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,40,0,82,0,0,53,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,77,202,0,0,0,185,0,0,0,0,0,0,0,0,210,0,0,121,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,2,0,3,1,2,0,0,14,1,0,0,1,1,0,1,1,0,73,0,2,1,0,1,0,0,2,1,1,0,4,39,0,9,4,1,1,1,8,0,1,0,6,1,0,3,29,1,0,10,1,0,2,1,0,0,1,1,5,2,4,5,19,1,0,3,2,6,1,0,0,0,35,0,1,1,0,0,0,2,0,0,0,0,61,1,0,0,0,0,3,0,1,3,0,22,1,0,0,1,37,33,0,1,1,4,0,1,0,1,2,0,1,190,0,1,0,1,0,0,1,0,4,0,0,0,59,1,1,1,8,54,9,56,20,0,0,4,1,22,0,0,0,1,1,1,2,0,0,0,0,1,0,203,1,71,1,2,1,0,2,0,0,0,40,0,51,3,20,3,0,9,1,1,14,0,0,0,3,0,2,0,4,0,0,0,1,10,1,0,3,0,0,2,1,1,7,63,0,0,3,27,0,23,1,0,2,0,0,1,0,1,3,36,0,1,3,2,0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,1,24,21,1,0,5,2,2,1,2,0,0,1,0,2,1,7,0,23,0,1,4,24,0,0,0,52,1,0,2,0,0,0,0,4,0,2,0,0,0,1,2,0,0,51,0,4,0,2,30,5,0,4,69,20,62,16,0,1,36,39,25,1,1,3,0,0,1,1,0,0,0,0,3,2,0,1,102,60,1,0,0,14,0,3,1,22,0,1,0,0,1,2,0,0,0,0,0,1,5,0,0,0,0,70,0,47,1,2,1,0,4,2,0,1,0,202,9,2,68,0,1,15,22,0,4,1,1,1,0,8,29,0,1,2,1,1,2,2,4,1,8,49,1,7,6,0,0,2,2,69,0,101,0,9,0,4,1,0,1,48,0,1,1,0,1,0,3,3,1,2,34,1,0,0,34,0,0,1,1,44,1,0,3,2,1,49,1,19,3,1,0,0,4,0,2,3,0,0,1,4,1,2,24,0,0,0,0,1,2,0,0,0,9,2,2,1,0,2,0,3,2,0,0,1,3,1,1,1,2,7,0,0,43,20,0,9,3,1,1,0,1,5,37,0,1,0,1,6,3,1,0,2,0,0,0,5,0,0,0,0,0,103,0,2,2,4,24,1,0,0,0,0,0,1,0,1,2,0,103,3,0,0,0,17,1,2,0,25,0,2,0,3,1,0,0,4,0,1,0,1,10,1,0,0,5,7,1,1,12,0,0,0,1,2,19,0,4,0,1,0,3,1,1,0,0,31,1,0,0,2,0,1,0,2,6,1,270,0,26,1,0,0,2,0,2,3,0,0,0,1,1,1,1,0,4,1,1,0,1,1,4,0,0,0,3,3,126,0,2,0,0,43,0,1,1,0,1,0,1,3,4,1,6,21,2,10,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,11,0,1,0,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,14,9,3,14,0,1,0,2,0,4,15,0,0,0,12,0,3,0,1,0,5,0,0,1,53,0,0,1,0,5,1,2,0,1,0,0,1,2,0,1,64,17,0,33,52,1,37,0,0,1,1,0,0,0,0,0,0,0,11,1,2,0,1,25,1,3,0,1,0,0,1,9,0,18,5,1,10,1,4,45,1,0,0,0,3,0,0,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,1,1,0,1,67,5,0,0,2,0,0,0,1,0,0,4,2,0,22,2,10,213,0,4,2,142,1,0,1,0,1,1,0,0,51,1,1,34,1,4,0,2,0,0,21,2,3,2,1,0,1,0,2,0,0,0,0,3,0,0,2,3,0,1,0,0
200,0,0,0,1,3,1,0,0,0,18,1,0,1,0,1,0,2,0,2,83,0,0,1,0,0,1,1,3,0,1,0,4,45,1,3,4,1,0,1,4,0,1,1,8,1,1,1,24,0,0,6,1,0,2,1,0,1,2,1,4,0,1,2,17,0,0,5,0,7,0,1,0,0,41,0,0,3,0,2,1,3,1,1,3,1,72,0,0,1,0,0,2,3,1,1,1,36,2,2,1,0,39,44,1,2,1,4,0,2,1,1,3,1,1,198,0,1,0,0,0,0,1,1,1,1,0,0,62,1,1,1,14,48,8,50,21,0,0,1,1,26,1,0,0,2,1,4,3,0,2,0,0,3,0,195,1,67,0,2,1,1,3,0,0,1,35,0,61,2,20,4,0,12,0,1,15,0,0,1,1,0,1,0,5,0,0,0,1,5,0,1,4,0,2,1,0,3,9,75,1,0,2,27,1,20,0,0,1,0,1,1,0,0,9,43,0,2,0,1,2,3,0,0,0,1,1,1,1,0,2,1,1,2,0,0,15,20,1,1,5,1,2,0,2,0,1,1,1,1,0,5,0,24,0,1,5,20,0,0,1,59,1,2,2,2,1,2,0,6,0,2,1,1,0,3,1,1,0,37,1,2,0,1,31,4,0,3,57,26,52,15,1,1,33,37,27,1,0,3,0,0,3,1,1,0,1,0,1,3,1,0,96,68,2,1,1,14,0,8,0,19,0,0,1,0,0,1,1,2,0,0,1,2,2,0,0,1,0,74,5,52,0,3,2,0,0,3,1,0,1,230,11,2,85,0,0,18,28,0,2,2,0,1,0,10,19,0,1,2,1,1,2,0,1,0,10,69,0,14,10,0,0,3,2,53,1,112,0,6,0,1,1,0,0,62,2,1,1,3,1,0,1,6,0,1,40,1,0,1,38,0,1,1,3,47,1,1,0,7,1,52,1,22,2,0,0,0,4,0,1,2,1,0,0,9,1,2,23,0,0,1,2,1,3,0,0,0,13,2,1,1,0,2,2,3,0,1,0,0,4,0,0,3,1,5,0,1,36,20,0,7,4,0,0,0,0,6,40,0,1,0,1,7,2,0,1,0,0,4,1,8,0,1,0,2,1,92,0,4,1,5,20,1,1,0,0,0,1,5,1,1,0,0,104,1,1,0,0,21,1,1,1,25,1,0,1,2,1,0,2,4,1,2,0,0,5,0,1,0,6,4,0,4,16,0,0,0,0,0,24,0,4,0,1,0,2,1,1,0,3,37,0,1,0,0,1,0,6,4,13,7,256,0,20,0,0,2,0,1,0,4,0,3,1,0,0,1,0,0,1,0,0,1,0,1,5,1,0,1,1,3,138,1,2,1,1,49,0,1,0,1,0,1,1,2,0,2,11,21,1,12,0,2,1,0,1,0,1,0,0,0,0,0,1,3,2,13,1,2,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,2,4,0,0,0,0,1,0,0,1,16,9,4,13,1,1,0,0,0,6,25,1,2,0,7,0,2,2,0,1,6,0,0,0,55,0,0,3,0,4,0,0,1,1,1,0,0,0,0,1,67,18,0,34,63,0,38,2,0,1,0,0,0,1,1,0,1,0,10,2,7,1,0,24,2,2,0,1,0,0,2,16,2,26,5,0,7,0,1,48,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,4,3,0,1,0,1,1,1,0,0,80,4,3,1,1,0,1,0,1,0,2,3,2,0,22,0,15,213,1,2,4,125,0,1,0,1,1,0,0,2,64,0,0,43,1,2,1,1,0,1,27,5,3,3,0,0,1,1,2,0,0,0,0,4,0,1,2,3,0,2,0,0
300,0,2,0,3,2,1,0,0,1,13,2,0,0,0,1,0,3,0,1,74,0,0,3,1,0,0,1,1,0,0,2,2,49,4,1,5,0,0,1,3,1,0,1,8,1,0,2,27,0,1,7,3,0,2,2,5,2,2,0,0,0,1,2,19,0,0,3,0,11,0,1,0,1,38,1,0,2,0,0,3,1,2,0,4,1,66,0,0,0,0,3,3,3,1,1,1,27,5,2,0,0,30,39,0,1,0,3,0,0,0,1,3,1,0,180,0,0,0,0,0,0,1,0,1,0,1,1,68,3,1,1,13,50,7,54,19,0,0,0,2,22,1,0,1,2,1,4,3,0,1,1,1,4,1,190,1,62,0,2,0,1,2,0,1,0,27,0,56,3,20,0,1,8,0,1,19,1,1,0,1,0,0,1,6,0,2,1,1,4,3,0,2,1,4,2,0,1,13,74,0,1,0,28,0,26,0,1,3,1,2,1,0,0,6,45,0,3,0,3,2,1,0,0,0,1,2,0,0,0,1,1,2,2,0,0,20,16,1,1,4,2,2,0,3,1,1,1,0,1,0,4,0,19,1,1,3,13,0,1,1,61,1,0,3,1,0,1,1,8,0,3,1,1,0,14,0,0,2,41,1,1,0,0,32,3,1,3,63,24,49,10,1,2,40,30,22,1,0,1,1,0,4,1,1,0,1,0,1,1,0,0,82,59,1,0,0,14,0,8,0,21,0,0,1,0,0,1,1,2,3,1,2,5,1,0,1,0,3,79,6,48,0,4,2,1,0,0,1,0,1,236,14,1,77,0,0,22,24,0,2,2,0,1,1,11,22,1,0,2,1,0,3,0,1,0,9,77,0,10,12,0,1,3,0,43,1,102,1,3,1,1,0,1,0,59,1,3,2,3,1,1,1,5,0,3,42,1,0,1,38,0,1,2,5,48,1,1,0,3,3,48,0,24,1,0,0,1,3,0,0,1,1,0,0,13,1,3,18,0,0,4,2,2,1,1,1,0,10,3,1,2,0,2,5,4,0,1,4,0,2,0,0,1,2,5,1,1,30,20,0,5,2,0,0,0,0,6,42,1,0,0,1,7,1,0,1,0,0,3,1,5,0,0,2,1,0,90,0,6,1,5,18,1,2,3,0,0,0,7,1,1,0,1,104,1,2,0,0,25,1,1,1,24,1,0,1,0,0,1,2,6,1,3,1,0,7,0,1,1,8,3,0,3,19,0,1,1,1,0,25,1,4,0,1,0,1,2,2,0,3,27,0,0,0,0,2,0,5,6,18,8,259,0,22,0,0,2,0,2,0,0,2,1,2,0,0,0,0,0,3,0,0,1,0,0,3,1,0,2,1,3,151,1,1,0,0,47,0,0,0,3,0,1,3,3,0,3,9,19,1,8,0,1,1,1,1,1,1,0,0,0,0,2,5,6,3,8,2,2,1,0,1,1,0,0,1,0,1,1,3,0,1,0,1,0,3,2,1,1,1,0,0,0,0,1,14,12,3,14,0,1,0,0,1,3,25,0,1,1,10,1,1,1,0,1,7,0,1,0,42,1,2,1,0,3,0,0,1,0,1,1,0,0,1,1,64,17,0,33,51,0,41,1,0,1,0,0,0,0,0,0,1,0,6,0,7,1,0,16,0,1,1,0,1,1,3,14,1,24,4,0,8,0,2,54,0,1,2,1,1,0,0,0,0,2,0,0,0,1,1,0,6,4,0,1,0,4,1,0,0,0,80,3,0,2,2,2,0,1,0,1,1,4,1,1,19,2,13,213,2,1,5,127,0,1,0,0,1,0,0,1,53,0,0,44,0,3,0,0,1,1,27,7,3,0,0,0,1,3,1,0,0,0,1,4,1,1,1,2,0,3,0,0
