gen,0_ABCA3,0_ABCA4,0_ABCB7,0_ABCE1,0_ABHD14B,0_ACAA2,0_ACADL,0_ACE2,0_ACOT9,0_ACTL6A,0_ADAM17,0_ADAM33,0_ADD1,0_ADH5,0_ADSL,0_AEBP1,0_AGPAT4,0_AHI1,0_AK3,0_AKAP8L,0_AKR1C3,0_ALAD,0_ALDH1L1,0_ALDH1L2,0_ALG13,0_ALKBH1,0_AMBRA1,0_AMZ2,0_ANGPTL4,0_ANK2,0_ANK3,0_ANKRA2,0_ANP32E,0_ANXA11,0_ANXA5,0_ANXA9,0_AP1B1,0_AP2A1,0_AP3M2,0_APCS,0_APEH,0_APP,0_AQP1,0_ARFGAP2,0_ARHGAP23,0_ARHGAP24,0_ARHGAP30,0_ARHGAP5,0_ARHGEF5,0_ARID5A,0_ARL6IP5,0_ARPC5,0_ASF1B,0_ATAD2,0_ATF4,0_ATG16L1,0_ATM,0_ATP1A1,0_ATP1B1,0_ATP2B3,0_ATP6AP1,0_ATP6V1F,0_ATP6V1H,0_ATXN2L,0_AUTS2,0_B4GALNT1,0_B4GALT2,0_B9D2,0_BACH1,0_BAG1,0_BAP1,0_BATF2,0_BCKDK,0_BCL2L1,0_BCL2L2,0_BDH2,0_BEX2,0_BICD2,0_BIRC5,0_BLM,0_BNIP3L,0_BRD7,0_BST2,0_BYSL,0_C12orf57,0_C15orf40,0_C1orf116,0_C1orf198,0_C21orf91,0_C2orf49,0_C2orf88,0_C4BPA,0_C5orf46,0_C6orf118,0_C6orf62,0_CAB39,0_CACNA1H,0_CAD,0_CALHM2,0_CAMK2G,0_CAMLG,0_CAPN1,0_CAPZA1,0_CARM1,0_CASP4,0_CAV1,0_CBLB,0_CBLC,0_CBR1,0_CBX3,0_CBX7,0_CCDC127,0_CCDC59,0_CCDC88B,0_CCDC89,0_CCL4,0_CCNA2,0_CCNB1,0_CCR6,0_CD276,0_CD9,0_CDC20,0_CDC25C,0_CDC45,0_CDCA8,0_CDH1,0_CDH11,0_CDH16,0_CDH2,0_CDK18,0_CDK2AP1,0_CDK4,0_CDKN2AIPNL,0_CDKN2C,0_CENPV,0_CEP55,0_CEP72,0_CFHR1,0_CHCHD3,0_CHDH,0_CHI3L2,0_CHM,0_CHPF2,0_CHRD,0_CHRDL1,0_CHRM2,0_CHST11,0_CHST12,0_CHST15,0_CIDEB,0_CLCC1,0_CLDN4,0_CLDN7,0_CLDN8,0_CLEC11A,0_CLK3,0_CLMN,0_CLPB,0_CLVS1,0_CMC1,0_CMTM1,0_CNIH4,0_CNOT1,0_CNTN2,0_CNTNAP1,0_COBL,0_COG1,0_COG8,0_COL4A1,0_COMT,0_COQ7,0_COQ9,0_COX19,0_COX5A,0_CP,0_CPE,0_CPT2,0_CREBBP,0_CRISP3,0_CRTC1,0_CRTC2,0_CRYL1,0_CRYZ,0_CSAD,0_CSPG4,0_CSTF3,0_CTCF,0_CTDSPL,0_CTNNA1,0_CTNND1,0_CUL4B,0_CUL5,0_CYFIP2,0_CYP1B1,0_CYP2R1,0_DBI,0_DCBLD2,0_DDAH1,0_DDB1,0_DDIT4,0_DDR1,0_DDX11,0_DDX19B,0_DDX27,0_DDX42,0_DECR1,0_DEF8,0_DEPDC1B,0_DFFB,0_DHRS7,0_DHTKD1,0_DHX16,0_DKK3,0_DLD,0_DLG2,0_DLST,0_DMXL1,0_DNAJA3,0_DNAJB1,0_DNAJB14,0_DNAJC10,0_DNAJC2,0_DNASE1L3,0_DNMT3A,0_DPYSL2,0_DPYSL4,0_DR1,0_DSC2,0_DSN1,0_DUSP8,0_EBPL,0_EDAR,0_EEF1B2,0_EEF1G,0_EIF3D,0_EIF3E,0_EIF4EBP1,0_EIF4EBP2,0_ELMO3,0_ELMOD3,0_EMCN,0_EME1,0_ENGASE,0_ENO2,0_ENTPD1,0_ENTPD2,0_ENY2,0_EPHB2,0_ERCC3,0_ERCC5,0_ERGIC2,0_ERLIN2,0_ESPL1,0_ETFDH,0_ETV5,0_EZH2,0_FABP7,0_FAM104A,0_FAM122B,0_FAM171B,0_FAM20A,0_FAM47E,0_FAM53B,0_FAM89B,0_FANCL,0_FBLL1,0_FBP1,0_FBXL14,0_FBXL5,0_FBXO21,0_FBXO33,0_FBXO44,0_FBXO5,0_FCHO1,0_FCHSD1,0_FEN1,0_FGB,0_FGF9,0_FGG,0_FH,0_FIGNL1,0_FKBP5,0_FLNB,0_FNIP2,0_FNTA,0_FOXS1,0_FPR2,0_FUBP3,0_FUCA1,0_FXR1,0_FXYD2,0_FZD4,0_GABPB1,0_GALNT2,0_GALT,0_GCDH,0_GCSH,0_GEM,0_GFM1,0_GIT2,0_GLI3,0_GLIPR2,0_GNA12,0_GNAI3,0_GNRH1,0_GOLGA3,0_GORAB,0_GOT2,0_GPHN,0_GPRC5C,0_GPT,0_GRAMD1B,0_GRAMD1C,0_GREM2,0_GRPEL1,0_GRSF1,0_GSTA1,0_GTF2B,0_GTPBP8,0_GUF1,0_HAND2,0_HAUS3,0_HDAC10,0_HDAC2,0_HEBP2,0_HEPH,0_HERPUD1,0_HGD,0_HINT3,0_HIPK2,0_HM13,0_HMGA2,0_HMGB1,0_HMGB2,0_HMGCL,0_HMGCR,0_HMGN2,0_HMOX2,0_HNRNPH1,0_HNRNPH2,0_HNRNPUL2,0_HOXC13,0_HPS4,0_HSD17B6,0_HSD3B7,0_HSP90B1,0_HSPA8,0_HTATIP2,0_ICAM1,0_IDI1,0_IER5,0_IFI35,0_IFRD1,0_IGF1R,0_IKBIP,0_IL10,0_IMMT,0_IMPA1,0_INO80D,0_INPP5A,0_INPP5B,0_INTS8,0_INTU,0_IRF7,0_IRF9,0_ITGB3BP,0_ITIH3,0_KAT5,0_KCNA5,0_KCND1,0_KCNJ15,0_KCNS3,0_KCTD13,0_KCTD16,0_KDM2A,0_KIAA1522,0_KIF18A,0_KIF4A,0_KIF4B,0_KISS1R,0_KLF5,0_KMO,0_KPTN,0_KRT19,0_KRT4,0_KRT7,0_KTI12,0_LACTB2,0_LARS2,0_LAYN,0_LBP,0_LBR,0_LCMT2,0_LEFTY2,0_LGALS9,0_LGI4,0_LHX6,0_LIMK1,0_LINS1,0_LOXL2,0_LPAR2,0_LRCH2,0_LRFN3,0_LRP5,0_LRRC59,0_LSM12,0_LSM6,0_LUZP1,0_LZTS2,0_MACROD2,0_MAF,0_MAGEA4,0_MAGEA8,0_MAML3,0_MAOA,0_MAP1LC3B,0_MAP1LC3B2,0_MAZ,0_MBD4,0_MBNL1,0_MBTD1,0_MCAT,0_MCCC2,0_MCL1,0_MCM6,0_MED15,0_MEP1A,0_MEPCE,0_MFGE8,0_MGAM,0_MGAT3,0_MGST2,0_MICAL2,0_MKI67,0_MKKS,0_MLH1,0_MLPH,0_MLYCD,0_MME,0_MMP14,0_MMP2,0_MORC2,0_MPHOSPH10,0_MPV17L,0_MRPL44,0_MRPL46,0_MRPS18B,0_MRPS22,0_MRPS35,0_MSH2,0_MSH6,0_MSRB3,0_MSTN,0_MTA1,0_MTA2,0_MTDH,0_MTHFD1L,0_MVP,0_MYEF2,0_MYO5B,0_MYO9B,0_N4BP1,0_NAP1L1,0_NAT10,0_NBEA,0_NCAPH,0_NCL,0_NCOA1,0_NCOA7,0_NCSTN,0_NDUFA4,0_NDUFA4L2,0_NDUFA5,0_NDUFA9,0_NDUFAB1,0_NEDD4,0_NEK7,0_NEURL1B,0_NFIL3,0_NFS1,0_NKIRAS1,0_NKTR,0_NKX3-2,0_NLN,0_NME2,0_NME4,0_NME5,0_NONO,0_NOP56,0_NOP58,0_NOTCH3,0_NPR3,0_NR1H3,0_NT5DC2,0_NTRK3,0_NUDT1,0_NUDT11,0_NUDT12,0_NUDT5,0_NUP35,0_NUP50,0_NUP85,0_NUS1,0_OCLN,0_OGDHL,0_ONECUT2,0_ORM2,0_OSBP,0_OSBPL1A,0_OXNAD1,0_OXSM,0_P2RY11,0_P4HA1,0_P4HA2,0_PABPC1,0_PADI1,0_PAFAH1B1,0_PAFAH1B2,0_PAFAH2,0_PANK2,0_PARD6A,0_PARP12,0_PARP14,0_PARP16,0_PARVA,0_PATZ1,0_PAX9,0_PAXIP1,0_PCCA,0_PCCB,0_PCDHB7,0_PCDHGA1,0_PCDHGC3,0_PCDHGC4,0_PCGF1,0_PCID2,0_PCLO,0_PCYOX1,0_PCYT2,0_PDCD1,0_PDCL3,0_PDE10A,0_PDHA1,0_PDHX,0_PDIA6,0_PDLIM2,0_PDPK1,0_PELI1,0_PEPD,0_PER3,0_PEX6,0_PFDN4,0_PFKM,0_PGLYRP2,0_PGPEP1,0_PHB,0_PHC1,0_PHKA2,0_PHLDB3,0_PHYH,0_PI4KB,0_PICALM,0_PIWIL4,0_PKP4,0_PLCG1,0_PLCG2,0_PLCL1,0_PLCXD1,0_PLEKHB2,0_PLEKHJ1,0_PLK1,0_PLK2,0_PLRG1,0_PNPT1,0_POC1A,0_PODNL1,0_POGZ,0_POLD1,0_POLD3,0_POLR2E,0_POM121C,0_POTEE,0_PPAN,0_PPAN-P2RY11,0_PPFIBP2,0_PPM1E,0_PPM1G,0_PPP1R12A,0_PPP2R2C,0_PPP2R5A,0_PPT1,0_PPWD1,0_PRAF2,0_PRCC,0_PRCP,0_PRDX4,0_PRDX5,0_PRKAB1,0_PRR16,0_PRTFDC1,0_PSKH1,0_PSMB1,0_PSMB9,0_PSMC5,0_PSMD12,0_PTMA,0_PTMS,0_PTPN21,0_PTPN22,0_PTPN3,0_PTPN7,0_PTPN9,0_PTRH2,0_PXMP4,0_PYCR1,0_PZP,0_QRSL1,0_RAB11FIP1,0_RAB11FIP2,0_RAB11FIP4,0_RAB11FIP5,0_RAB21,0_RAB32,0_RAB9B,0_RABGGTB,0_RAD23A,0_RAD51,0_RAD54L,0_RAD54L2,0_RAD9B,0_RADIL,0_RANBP6,0_RANGAP1,0_RAP1GAP,0_RAPGEF1,0_RAPGEF3,0_RASSF4,0_RASSF5,0_RBBP7,0_RBM10,0_RBM26,0_RBM39,0_RBM4B,0_RBM5,0_RC3H1,0_RCC2,0_RCOR3,0_REC8,0_RELL1,0_RENBP,0_RER1,0_RFC4,0_RFXANK,0_RGPD1,0_RHOT1,0_RIC3,0_RNASET2,0_RNF111,0_RNF113A,0_RNF139,0_RNF149,0_RNF180,0_RNF213,0_RNF220,0_RNH1,0_RPGR,0_RPIA,0_RPL10L,0_RPL12,0_RPL27,0_RPL31,0_RPL35,0_RPS10,0_RPS15A,0_RPS17,0_RPS20,0_RPS27A,0_RPS4X,0_RPS7,0_RPS9,0_RPUSD2,0_RSAD2,0_RSL1D1,0_RUFY2,0_RUSC1,0_RWDD1,0_S100A10,0_SAA4,0_SAE1,0_SAR1A,0_SARDH,0_SCARF2,0_SCML4,0_SDC4,0_SDCBP2,0_SDCCAG8,0_SDF4,0_SEC24B,0_SEMA3A,0_SEMA4B,0_SENP7,0_SEPHS2,0_SERPINA3,0_SERPINA4,0_SERPINB6,0_SERPINH1,0_SF3A1,0_SF3A2,0_SGK3,0_SH3GLB1,0_SH3PXD2B,0_SHPK,0_SHROOM2,0_SIK2,0_SIKE1,0_SIRPA,0_SIRT5,0_SIRT7,0_SIX5,0_SLC13A1,0_SLC16A1,0_SLC26A2,0_SLC27A2,0_SLC27A4,0_SLC29A1,0_SLC29A2,0_SLC2A5,0_SLC2A9,0_SLC41A3,0_SLC44A3,0_SLC47A1,0_SLC6A12,0_SLC6A2,0_SMARCA5,0_SMARCE1,0_SMPD3,0_SNAPIN,0_SNN,0_SNRPD1,0_SNX2,0_SNX8,0_SOCS2,0_SOCS5,0_SOCS6,0_SOD2,0_SPAG5,0_SPARC,0_SPATA18,0_SPG11,0_SQLE,0_SRR,0_SSB,0_SSR3,0_ST3GAL2,0_STEAP3,0_STRADB,0_STRN,0_STUB1,0_STX10,0_STX18,0_SUB1,0_SUCLG2,0_SULT1C2,0_SUMO2,0_SUOX,0_SV2C,0_SYNCRIP,0_SYNGR3,0_TACC1,0_TACC3,0_TAF1,0_TAF12,0_TANK,0_TAP1,0_TBC1D1,0_TBC1D15,0_TBC1D19,0_TBC1D22A,0_TBCA,0_TBCE,0_TCP11L1,0_TCTA,0_TDG,0_TECPR2,0_TFB1M,0_TGFB1,0_THAP8,0_THOC2,0_THTPA,0_THUMPD3,0_TLE2,0_TMBIM6,0_TMCO1,0_TMED4,0_TMEM115,0_TMEM116,0_TMEM132E,0_TMEM139,0_TMEM192,0_TMEM39A,0_TMEM88,0_TNFRSF18,0_TNFRSF21,0_TNFSF13B,0_TNPO2,0_TOM1,0_TOP1MT,0_TPST1,0_TPST2,0_TPT1,0_TRAF3IP2,0_TRAFD1,0_TRAM1,0_TREM1,0_TRIB3,0_TRIM4,0_TRIO,0_TRIP4,0_TSEN15,0_TSHZ3,0_TSKU,0_TSPAN1,0_TSPYL1,0_TSPYL2,0_TST,0_TTC32,0_TTK,0_TTLL11,0_TUBA1A,0_TUBB6,0_TUBD1,0_TUFM,0_TUSC3,0_TXN2,0_TXNDC11,0_TYMP,0_U2AF1L4,0_UBE2C,0_UBE2D1,0_UBE2E1,0_UBE3C,0_UBQLN4,0_UBXN6,0_UBXN8,0_UGDH,0_UGT8,0_UNC93B1,0_UPK3B,0_UQCRFS1,0_USF1,0_USP10,0_USP13,0_USP7,0_VAC14,0_VAMP8,0_VCAN,0_VPS37C,0_VTI1A,0_VTI1B,0_WAS,0_WDR11,0_WDR17,0_WDR26,0_WDR33,0_WDR53,0_WDR54,0_WDR7,0_WDR90,0_WT1,0_XKR9,0_YBX1,0_YWHAQ,0_ZBTB2,0_ZBTB20,0_ZBTB4,0_ZCCHC24,0_ZDHHC6,0_ZFAND3,0_ZFAND5,0_ZFPM2,0_ZIC1,0_ZMIZ1,0_ZMYM2,0_ZNF207,0_ZNF304,0_ZNF436,0_ZNF443,0_ZNF503,0_ZNF511,0_ZNF512,0_ZNF630,0_ZNF700,0_ZNF703,0_ZNF76,0_ZNF84,0_ZNF853
0,0,0,0,0,0,0,238,121,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,54,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,51,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,295,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,155,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,23,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,348,0,0,189,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,248,293,0,0,0,0,0,0,231,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,128,0,0,0,0,0,0,52,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,362,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,107,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,164,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,75,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,2,0,0,0,6,0,0,0,1,2,0,0,2,1,3,1,0,1,1,13,1,0,1,0,2,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,3,88,0,8,0,0,0,0,0,25,1,35,1,1,2,1,0,2,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,9,1,2,2,1,2,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,62,1,29,7,1,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,2,4,0,0,0,1,0,0,0,1,1,1,0,1,4,0,0,9,2,1,2,4,0,1,52,12,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,77,0,1,123,0,0,3,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,392,1,0,0,0,0,1,0,8,2,1,0,0,0,0,0,6,1,13,215,1,0,0,1,2,9,0,0,0,4,1,0,1,49,0,1,0,0,0,0,1,0,0,264,0,0,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,90,1,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,39,29,0,12,1,9,2,5,0,0,0,1,1,2,0,2,0,0,358,0,0,15,0,0,1,0,0,0,0,0,0,433,1,0,100,1,5,8,0,1,0,0,1,1,1,0,0,0,0,6,0,0,1,54,0,4,0,0,1,170,358,1,5,0,1,1,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,1,0,1,370,2,1,0,0,0,4,2,16,0,0,0,5,0,0,0,0,273,0,5,1,0,1,4,2,2,0,0,0,0,0,2,30,0,3,2,1,108,0,1,0,1,0,10,0,3,0,0,0,0,1,0,0,0,0,2,3,0,0,1,1,0,1,0,3,1,8,0,337,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,6,1,10,0,0,173,0,0,0,0,413,0,0,0,0,0,0,0,0,1,110,0,0,0,0,14,1,1,0,4,0,0,138,0,0,0,0,0,66,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,2,0,0,0,2,0,0,0,2,0,1,1,4,0,0,1,0,0,0,0,0,0,2,7,16,0,1,0,0,0,9,15,15,4,2,0,0,0,302,0,141,0,0,1,0,2,31,2,0,2,1,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,294,0,0,5,0,405,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,4,1,1,0,18,0,1,1,0,0,0,0,0,0,0,3,1,5,20,0,0,76,29,0,0,2,0,0,0,12,54,0,0,189,4,1,5,0,0,2,0,3,1,0,6,0,0,0,0,0,2,336,1,71,0,2,0,0,0,2,0,56,1,0,2,0,6,0,0,1,1,0,0,0,0,1,12,1,1,0,3,0,1,0,2,1,0,0,1,0,0,0,4,0,0,0,1,2,0,1,0,0,188,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,12,13,1,0,4,0,0,35,1,0,1,5,1,0,1,0,1,230,1,2,0,0,0,1,1,2,0,2,1,0,3,0,0,0,1,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,2,0,0,1,0,1,1,0,1,0,0
200,0,0,0,1,0,0,4,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,1,4,43,0,5,2,0,0,0,0,15,0,9,0,0,4,0,0,0,1,0,1,0,1,1,0,0,6,0,0,3,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,2,0,1,1,0,0,0,30,0,13,3,0,0,0,0,0,1,1,1,0,1,0,4,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,1,1,4,1,1,1,1,0,0,3,0,3,0,0,3,14,0,1,0,1,0,0,17,0,0,1,0,0,3,2,1,75,0,0,0,1,37,0,0,230,1,3,5,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,1,0,1,402,0,1,1,0,5,1,3,5,0,0,5,2,1,0,0,1,0,0,123,0,1,3,0,0,7,0,1,92,7,0,0,0,32,2,0,1,0,0,0,0,1,1,130,0,0,1,0,2,1,1,1,0,1,3,0,0,0,0,0,0,0,55,0,1,5,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,1,0,1,1,2,0,0,0,2,3,0,1,0,0,1,0,7,0,0,3,0,1,0,24,8,3,18,0,2,0,0,1,0,1,0,2,0,0,7,1,2,383,0,1,10,0,0,0,0,0,0,0,1,1,426,0,1,51,1,5,7,1,0,0,0,5,0,1,0,1,1,0,8,4,0,0,23,0,0,6,0,1,67,297,0,1,1,0,1,0,0,0,13,0,0,4,2,0,0,1,1,1,0,0,0,0,0,379,0,0,0,0,0,4,1,3,1,0,0,3,0,0,4,0,328,0,0,1,0,0,3,0,0,0,0,1,0,0,1,19,0,0,0,2,61,1,1,0,0,0,3,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,1,2,0,2,0,0,327,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,1,0,63,0,0,3,1,394,0,1,0,2,1,3,0,2,0,60,20,1,1,0,23,0,0,1,0,0,0,92,1,0,0,0,3,23,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,1,0,0,0,1,0,5,2,1,0,0,0,38,1,4,0,7,0,0,0,1,358,0,62,29,0,0,0,0,6,0,1,1,0,1,0,18,9,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,262,5,0,7,0,349,3,4,0,0,1,0,0,0,16,1,1,0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,2,1,0,0,0,0,0,1,0,2,0,1,0,0,0,4,2,0,0,0,0,0,1,0,1,0,1,0,2,9,0,1,54,14,0,4,1,0,1,1,18,23,0,0,66,1,0,2,1,0,1,0,17,0,0,1,2,0,1,0,1,4,323,0,40,0,0,2,0,1,0,0,238,0,2,1,1,3,0,8,0,0,0,1,0,0,1,15,0,0,0,2,0,0,0,2,18,0,1,0,0,0,1,4,2,0,0,0,0,1,0,1,2,58,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,44,0,0,2,1,3,1,0,3,1,1,0,2,2,1,0,0,227,0,0,0,0,0,3,0,0,14,0,0,1,4,0,2,0,0,0,0,0,0,1,4,0,1,1,7,0,0,0,1,0,2,2,1,1,1,2,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
