gen,0_ABCA4,0_ABCB6,0_ABCC10,0_ABHD10,0_ACAA2,0_ACAD9,0_ACADL,0_ACAT1,0_ACO2,0_ACTR3,0_ACVRL1,0_ADA,0_ADAM23,0_ADAM33,0_ADAMTS9,0_ADAMTSL4,0_ADAR,0_ADCK2,0_ADPRH,0_AEBP1,0_AFAP1,0_AFG3L2,0_AFP,0_AFTPH,0_AGL,0_AGTRAP,0_AIFM1,0_AKAP9,0_AKR1C3,0_AKT1,0_ALDH18A1,0_ALDH1A2,0_ALDH1L2,0_ALG3,0_ALKBH1,0_ALOX5,0_AMIGO1,0_AMZ2,0_ANAPC7,0_ANGPTL4,0_ANKRD13D,0_ANKRD39,0_ANLN,0_ANXA2,0_ANXA3,0_ANXA4,0_ANXA5,0_AP1AR,0_AP1G1,0_AP2B1,0_API5,0_AQP1,0_ARHGAP12,0_ARHGAP5,0_ARHGAP6,0_ARID5A,0_ARL6,0_ARPC2,0_ASRGL1,0_ATAD2,0_ATG4D,0_ATP1B3,0_ATP2C1,0_ATP6AP2,0_ATP6V1A,0_ATP6V1B1,0_ATP8A1,0_AURKB,0_AWAT2,0_BAG1,0_BBX,0_BCL2L10,0_BGN,0_BICD1,0_BIRC5,0_BLM,0_BRI3BP,0_BTBD1,0_BTF3L4,0_BYSL,0_C11orf45,0_C12orf57,0_C1orf116,0_C2orf88,0_C3orf14,0_C4BPA,0_C6orf62,0_CACNA1C,0_CACNA1H,0_CAMK4,0_CAMLG,0_CAPZA1,0_CARD11,0_CASP9,0_CBFA2T3,0_CBLB,0_CBR4,0_CC2D1A,0_CCAR1,0_CCDC102A,0_CCDC152,0_CCDC77,0_CCNA2,0_CCNH,0_CCNL2,0_CD47,0_CD53,0_CD74,0_CDC20,0_CDC25C,0_CDC37L1,0_CDC45,0_CDC6,0_CDCA8,0_CDH1,0_CDH11,0_CDH2,0_CDKN2A,0_CDKN2AIPNL,0_CDKN2C,0_CHD1L,0_CHDH,0_CHFR,0_CHI3L2,0_CHKB,0_CHRD,0_CHRDL1,0_CHRM2,0_CHST11,0_CHST12,0_CHUK,0_CIB2,0_CIDEB,0_CLDN4,0_CLDN7,0_CLEC11A,0_CLK2,0_CLN5,0_CLPB,0_CNST,0_CNTNAP1,0_COBLL1,0_COG1,0_COG8,0_COIL,0_COL18A1,0_COL1A1,0_COL1A2,0_COL6A2,0_COPA,0_COQ7,0_COQ9,0_CPNE1,0_CPT1A,0_CRHBP,0_CRISPLD2,0_CRTC1,0_CRYL1,0_CRYM,0_CS,0_CSNK2B,0_CSRNP2,0_CSTF3,0_CTBP2,0_CTTNBP2,0_CUL4B,0_CUTC,0_CXCL12,0_CYB5D2,0_CYC1,0_DAGLA,0_DBNDD2,0_DCAF11,0_DCHS1,0_DCLK3,0_DCP1B,0_DCTN3,0_DDHD2,0_DDR1,0_DDX41,0_DDX42,0_DEF8,0_DENR,0_DEPDC1B,0_DFFB,0_DGCR8,0_DGKA,0_DGKG,0_DLD,0_DNAJB7,0_DNAJC10,0_DNAJC12,0_DNASE1L3,0_DNMT3B,0_DOK1,0_DPYSL2,0_DPYSL3,0_DSG2,0_DTX4,0_DUS4L,0_DUSP22,0_DYRK1A,0_DYRK4,0_EDAR,0_EFHC1,0_EFHC2,0_EFNA5,0_EFS,0_EGFL7,0_EHBP1L1,0_EIF2AK2,0_EIF2B4,0_EIF2S3,0_EIF3E,0_EIF3H,0_EIF4EBP1,0_EIF4EBP2,0_EIF5,0_ELF3,0_ELOVL5,0_ELOVL7,0_EME1,0_ENPP3,0_ENPP5,0_ENTPD2,0_EP400,0_ERGIC2,0_ERLIN1,0_ESRP1,0_ETFDH,0_FABP3,0_FAF2,0_FAM104A,0_FAM104B,0_FAM160A1,0_FAM20A,0_FAM83H,0_FBL,0_FBXL2,0_FBXO6,0_FCRL1,0_FECH,0_FGD4,0_FGFR4,0_FGG,0_FIGN,0_FILIP1L,0_FKBP10,0_FKBP5,0_FLNA,0_FLRT3,0_FRK,0_FRMD8,0_FRRS1,0_FSTL3,0_FUCA1,0_FUCA2,0_FUT8,0_FXR2,0_FXYD2,0_FXYD3,0_FZD3,0_GALK1,0_GANAB,0_GART,0_GAS1,0_GBA,0_GBGT1,0_GBP1,0_GBP2,0_GBP5,0_GCC1,0_GEMIN6,0_GFER,0_GGT6,0_GGTA1,0_GIMAP2,0_GLMN,0_GLOD5,0_GLRX5,0_GLT8D2,0_GLYR1,0_GMPR,0_GNAT1,0_GNG5,0_GOLGA4,0_GORAB,0_GPHN,0_GPR143,0_GRAMD1B,0_GRAMD1C,0_GREM2,0_GRHL1,0_GRHPR,0_GRK5,0_GRSF1,0_GRTP1,0_GSTA2,0_GSTK1,0_GTF2E1,0_GTF2H1,0_GTPBP8,0_GTSF1,0_GYS1,0_HAGH,0_HAUS5,0_HDAC3,0_HDGF,0_HECTD2,0_HERC3,0_HERPUD1,0_HEXIM1,0_HHAT,0_HINT1,0_HIVEP3,0_HLA-B,0_HLA-DRB1,0_HMGA2,0_HMGCR,0_HMGN1,0_HNRNPL,0_HOXC13,0_HP,0_HP1BP3,0_HPN,0_HPR,0_HSD17B12,0_HSD17B6,0_HSD17B7,0_HSDL2,0_HTR3B,0_HTRA3,0_HTT,0_HUS1,0_ICAM1,0_IER3,0_IFT20,0_IGF1R,0_IKZF2,0_IL17RD,0_IL23A,0_IL4I1,0_IL7,0_ILDR1,0_IMPA2,0_INTS8,0_IRF2,0_IRF2BP1,0_IRF3,0_IRGQ,0_ISLR,0_ITIH3,0_IVD,0_IWS1,0_JARID2,0_JPH2,0_KANK2,0_KAT5,0_KATNAL2,0_KCMF1,0_KCNK1,0_KCNK6,0_KCTD10,0_KCTD16,0_KDELR2,0_KIAA0232,0_KIAA1755,0_KIF11,0_KIF13B,0_KIF18A,0_KIF1B,0_KIF20A,0_KIF21B,0_KIF4A,0_KIF7,0_KLC4,0_KLF5,0_KLHL36,0_KLHL8,0_KRT4,0_LBP,0_LCA5,0_LDLRAD2,0_LGALS1,0_LGI4,0_LGMN,0_LMNB1,0_LPAR2,0_LRBA,0_LRCH2,0_LRP5,0_LRPAP1,0_LRRC57,0_LRRN4CL,0_LSM12,0_LSM2,0_LTV1,0_LUZP1,0_MACC1,0_MAGEA4,0_MAML3,0_MAN2B1,0_MAP7,0_MAP7D3,0_MAPK12,0_MAPKAPK2,0_MARCKS,0_MARK2,0_MAZ,0_MBNL1,0_MCL1,0_MDM2,0_MECP2,0_MED12,0_MEGF9,0_MERTK,0_MFSD9,0_MGAT2,0_MGST1,0_MGST3,0_MICAL2,0_MINPP1,0_MKI67,0_MLPH,0_MLX,0_MLXIP,0_MMP11,0_MMP2,0_MOGS,0_MON1B,0_MPV17L,0_MRPL16,0_MRPL24,0_MRPS18B,0_MRPS36,0_MST1R,0_MSTO1,0_MT1A,0_MTA3,0_MTCH1,0_MTHFD1,0_MTSS1,0_MYB,0_MYO6,0_MYOCD,0_MYOF,0_NAA16,0_NAIP,0_NAP1L1,0_NAP1L4,0_NAV1,0_NBEA,0_NCBP2,0_NCKAP5L,0_NCL,0_NCSTN,0_NDRG1,0_NDST2,0_NDUFA4,0_NDUFA4L2,0_NDUFAF1,0_NDUFS2,0_NDUFS3,0_NDUFS4,0_NECAP2,0_NEDD1,0_NEDD4,0_NEDD4L,0_NEUROD1,0_NFE2,0_NGEF,0_NID2,0_NKX2-2,0_NLGN1,0_NME1-NME2,0_NME2,0_NMI,0_NOL3,0_NOP16,0_NOP56,0_NOTCH1,0_NPEPL1,0_NPM1,0_NPR3,0_NR1H3,0_NR3C2,0_NSL1,0_NT5DC2,0_NTN1,0_NTRK3,0_NUDT1,0_NUDT14,0_NUDT16L1,0_NUDT5,0_NUDT9,0_NUMA1,0_NUP85,0_NXN,0_NXPH2,0_ONECUT2,0_OPTN,0_OSBP,0_OTUD1,0_OXNAD1,0_P2RY1,0_P4HA1,0_P4HA2,0_PA2G4,0_PABPC1,0_PACSIN2,0_PADI1,0_PAFAH1B2,0_PAIP2,0_PATZ1,0_PAX9,0_PBX2,0_PCDHGA1,0_PCDHGB5,0_PCDHGC3,0_PCK1,0_PDCD1,0_PDCD1LG2,0_PDCD2,0_PDCD2L,0_PDHA1,0_PDHX,0_PDIA3,0_PDIA5,0_PDK1,0_PDLIM2,0_PDP2,0_PDPK1,0_PDZRN3,0_PEA15,0_PECR,0_PEX12,0_PEX19,0_PFDN4,0_PFDN6,0_PGLYRP2,0_PGPEP1,0_PHB,0_PHF12,0_PHF5A,0_PHF8,0_PHKA2,0_PHLDB3,0_PIGR,0_PIK3C3,0_PIK3R1,0_PIK3R2,0_PIN1,0_PINK1,0_PINX1,0_PIP4K2A,0_PJA1,0_PLCG2,0_PLCXD1,0_PLEKHA2,0_PLEKHA6,0_PLEKHB2,0_PLEKHG3,0_PLK1,0_PLK2,0_PLOD2,0_PML,0_PMS2,0_PNCK,0_POC5,0_PODNL1,0_POLD3,0_POLR2E,0_PON2,0_POU2F2,0_POU5F1,0_PPA2,0_PPIH,0_PPM1A,0_PPP1R12A,0_PPP1R9A,0_PPP1R9B,0_PPP2R1B,0_PPP2R2B,0_PPP2R2C,0_PPP3R1,0_PRCP,0_PRDM4,0_PRDX2,0_PRKAB1,0_PRKAR1B,0_PRKCB,0_PROS1,0_PRPF4B,0_PRR15L,0_PRRT3,0_PSMA1,0_PSMB4,0_PSMC5,0_PSMD13,0_PTGES2,0_PTGIS,0_PTHLH,0_PTPN2,0_PTPN9,0_PTPRA,0_PTRH2,0_PUS1,0_PXDN,0_PXMP4,0_PYCARD,0_PYCR1,0_PZP,0_QSER1,0_RAB31,0_RABIF,0_RAD51,0_RAD9B,0_RALGAPB,0_RALGDS,0_RANBP3L,0_RASGRF1,0_RASSF1,0_RASSF4,0_RBBP4,0_RBKS,0_RBM17,0_RBM45,0_RBM47,0_RBMX,0_RBMX2,0_RC3H1,0_RCN1,0_RFC4,0_RFK,0_RGL2,0_RGMA,0_RGP1,0_RIC3,0_RIC8B,0_RNASET2,0_RNF123,0_RNF13,0_RNF130,0_RNF180,0_RNF7,0_RNPEP,0_RPL10A,0_RPL13,0_RPL19,0_RPL23,0_RPL24,0_RPL5,0_RPLP0,0_RPS10,0_RPS14,0_RPS18,0_RPS20,0_RPS25,0_RPS4X,0_RPS6KA2,0_RPS7,0_RRAGD,0_RSL1D1,0_RUFY2,0_RUNX1,0_RUSC1,0_S100A1,0_SAMD10,0_SAP30BP,0_SAR1A,0_SBNO2,0_SCAPER,0_SCGB1D2,0_SCIN,0_SCOC,0_SCYL3,0_SDR39U1,0_SECISBP2L,0_SEMA3A,0_SERPINA3,0_SESTD1,0_SETD2,0_SETD3,0_SETD4,0_SETD5,0_SETDB2,0_SF3A3,0_SF3B1,0_SH2B3,0_SH3GLB1,0_SH3PXD2B,0_SH3RF1,0_SHC1,0_SIK2,0_SIKE1,0_SIPA1L2,0_SIX5,0_SLC13A5,0_SLC16A1,0_SLC16A3,0_SLC23A2,0_SLC26A2,0_SLC26A6,0_SLC27A2,0_SLC2A5,0_SLC2A9,0_SLC31A1,0_SLC44A3,0_SLC46A2,0_SLC6A12,0_SLC7A5,0_SLC9A2,0_SLC9A9,0_SMAD2,0_SMAP1,0_SMARCA2,0_SMARCB1,0_SMARCC2,0_SMARCE1,0_SNF8,0_SNRPA,0_SOCS3,0_SOCS5,0_SOCS6,0_SOD2,0_SOS2,0_SP3,0_SPAG5,0_SPARC,0_SPOCK2,0_SPTA1,0_SPTBN1,0_SPTY2D1,0_SRCAP,0_SREBF2,0_SRM,0_SRPX2,0_SRRM1,0_SSB,0_SSC5D,0_SSX2IP,0_STAP2,0_STAT1,0_STC1,0_STIM2,0_STRADA,0_STRADB,0_STRBP,0_STX6,0_SUCLA2,0_SUCLG2,0_SYNE2,0_SYNGR1,0_SYNGR3,0_SYNJ2BP,0_SYTL1,0_TADA2B,0_TAF12,0_TAF15,0_TAF1A,0_TARDBP,0_TBC1D4,0_TBCE,0_TC2N,0_TCEA1,0_TCERG1,0_TCF4,0_TCIRG1,0_TCTN1,0_TECPR2,0_TEKT3,0_TES,0_TGFBI,0_TGM2,0_THBS2,0_THOC2,0_THRA,0_TIFA,0_TLE1,0_TMBIM6,0_TMEM132E,0_TMEM139,0_TMEM165,0_TMEM192,0_TMEM33,0_TMEM59L,0_TMEM72,0_TMEM8B,0_TMPO,0_TMPRSS2,0_TNFAIP8L3,0_TNFRSF21,0_TNFSF4,0_TNK2,0_TNKS1BP1,0_TOLLIP,0_TOP1MT,0_TOP2A,0_TOP2B,0_TOPBP1,0_TPM2,0_TPT1,0_TRA2B,0_TRAIP,0_TRDMT1,0_TREM1,0_TRIB2,0_TRIB3,0_TRIM17,0_TRIM35,0_TRIM52,0_TRIOBP,0_TRMT2A,0_TRMT5,0_TRMT61B,0_TSEN15,0_TSHZ3,0_TSPYL1,0_TTC9C,0_TTK,0_TTLL11,0_TUBA8,0_TUBB6,0_TUBGCP2,0_TUSC1,0_TXNRD2,0_UBC,0_UBE2D2,0_UBE2F,0_UBQLN4,0_UFC1,0_UFM1,0_UGT1A6,0_UGT8,0_UNC5B,0_UPK3B,0_UQCRFS1,0_UROC1,0_USP2,0_UTP3,0_UTP6,0_VASP,0_VEGFA,0_VGLL4,0_VPS16,0_VPS37B,0_VPS4A,0_VRK2,0_WASL,0_WDR17,0_WDR24,0_WDR33,0_WDR48,0_WDR54,0_WLS,0_WWC1,0_XAF1,0_XKR9,0_YBX1,0_YWHAG,0_YWHAQ,0_ZBTB12,0_ZBTB8OS,0_ZDHHC15,0_ZFAND2A,0_ZFYVE1,0_ZIC1,0_ZMYND8,0_ZNF133,0_ZNF219,0_ZNF251,0_ZNF354B,0_ZNF433,0_ZNF512,0_ZNF580,0_ZNF610,0_ZNF638,0_ZNF677,0_ZNF689,0_ZNF7,0_ZXDB
0,71,0,0,0,0,0,137,0,0,0,0,0,0,57,0,0,0,0,0,73,0,0,73,0,0,0,0,0,0,0,0,86,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,196,0,0,0,0,204,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,81,0,62,0,73,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,7,166,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,8,78,8,0,0,41,0,0,0,0,0,0,143,0,11,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,86,0,0,0,31,0,17,0,0,0,0,0,0,0,0,0,75,0,0,0,106,56,0,0,61,0,196,0,0,0,69,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,232,0,0,0,0,0,76,100,0,239,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,104,64,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,196,0,31,0,0,0,0,0,285,0,0,0,0,51,0,131,0,0,101,0,0,0,0,14,0,0,0,0,278,0,0,0,88,0,0,0,0,28,275,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,223,0,0,44,0,0,0,0,24,0,102,0,0,0,0,0,0,60,0,0,0,0,0,0,27,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,218,0,180,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,49,170,0,0,0,0,0,0,0,0,0,0,183,0,0,0,91,0,84,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,138,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,34,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,51,0,0,57,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,44,0,0,0,0,0,83,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,83,171,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,313,0,0,0,0,0,0,0,0,40,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,64,53,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,138,0,0,68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,282,0,80,202,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,118,0,0,0,263,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,1,1,0,0,0,33,0,0,1,1,1,2,22,0,1,0,0,2,20,2,0,9,2,1,1,2,5,1,2,0,18,2,1,2,24,2,0,0,0,1,0,1,0,0,0,1,1,0,8,1,1,0,2,5,1,0,0,2,0,3,0,1,0,0,12,73,4,1,4,0,1,0,0,3,0,2,0,12,0,0,1,19,1,38,0,8,0,0,107,3,0,29,0,1,2,0,2,1,0,0,0,3,1,2,0,0,4,0,0,0,1,0,1,0,0,69,0,0,93,0,1,4,2,0,0,1,0,14,0,4,0,0,1,5,0,9,0,0,4,4,2,0,1,0,1,1,0,22,15,0,0,1,0,3,41,1,1,2,0,0,0,0,2,13,0,0,1,0,1,1,1,4,1,3,0,0,1,1,1,1,1,0,4,1,1,0,0,0,122,0,3,14,0,0,1,11,0,2,2,0,3,0,40,1,1,0,24,0,1,2,2,0,0,7,13,0,0,1,0,3,1,18,0,26,0,1,0,11,0,3,0,2,0,1,1,1,0,2,3,21,2,0,0,33,11,0,0,21,1,112,0,0,3,5,1,0,4,0,22,0,0,0,1,1,1,0,1,0,0,2,0,0,0,1,0,1,0,35,5,0,1,86,0,0,0,1,0,8,28,0,58,0,0,0,0,0,2,5,2,4,1,2,2,0,0,1,0,2,2,0,0,0,1,11,0,0,4,0,2,0,12,20,1,0,0,0,52,1,0,0,1,0,4,3,0,7,1,1,1,0,1,3,0,4,0,0,8,0,5,0,3,0,0,1,35,1,0,1,0,1,75,0,1,1,1,0,1,0,144,1,0,0,0,13,1,183,2,1,20,0,0,1,0,2,1,3,1,0,372,0,0,0,20,0,1,1,3,1,80,0,0,0,0,54,0,1,0,0,0,2,0,0,0,2,0,1,0,1,1,0,1,3,7,0,0,1,41,0,0,7,0,4,1,2,2,0,22,1,1,3,0,0,0,10,0,0,0,7,1,0,11,1,0,0,0,1,1,0,33,1,1,2,1,0,2,14,4,154,0,53,1,42,1,2,0,1,2,0,1,2,0,0,0,1,1,0,0,1,11,1,2,1,2,0,0,0,0,10,38,1,1,3,0,5,0,0,2,0,1,55,5,1,1,21,0,30,4,0,5,0,0,1,2,1,2,0,2,1,0,0,0,143,5,0,1,0,0,0,46,0,1,0,1,0,1,2,1,1,3,0,0,1,0,0,1,0,0,1,0,1,0,0,1,3,0,0,7,0,2,19,0,0,0,25,0,2,1,6,2,1,3,1,34,0,1,0,0,1,0,6,0,1,0,0,2,2,0,2,0,0,20,1,0,0,0,0,8,1,0,6,2,1,0,4,0,1,0,0,0,12,0,0,0,0,0,0,2,1,0,15,0,2,0,2,1,7,1,0,189,0,0,0,0,0,4,0,2,1,0,1,1,0,0,3,1,0,0,0,0,8,0,0,2,2,0,2,0,1,0,0,0,9,0,5,1,1,0,5,326,0,5,0,1,5,1,3,2,9,2,4,0,0,0,5,1,2,55,1,1,1,0,1,1,15,47,0,0,0,0,1,21,0,3,8,0,1,1,1,1,0,18,0,14,0,0,0,350,0,1,0,2,0,0,0,0,16,3,1,17,0,2,1,0,1,0,0,2,0,4,3,2,14,7,0,20,1,0,0,0,1,0,4,1,0,3,2,0,5,1,0,1,0,5,2,1,3,0,0,1,5,1,1,0,1,0,32,0,0,25,0,3,1,1,0,0,1,1,0,4,0,2,1,0,0,1,1,1,2,0,0,0,1,0,0,2,0,3,0,0,0,0,0,12,0,0,0,1,5,0,0,2,0,4,0,368,9,19,45,0,3,0,0,2,0,1,1,2,0,50,0,0,0,1,1,0,0,15,1,0,1,330,1,0,0,10,37,1,0,0,0,0,0,3,1,0,1,0,0,2,2
200,9,1,0,1,0,0,29,0,0,2,1,1,0,19,9,0,1,0,0,19,0,0,9,2,0,0,1,2,0,1,1,20,1,1,1,10,4,0,0,0,1,1,0,2,0,0,1,5,1,8,0,1,0,1,2,4,0,1,1,0,1,0,1,2,8,10,69,2,0,2,1,1,0,0,12,2,1,4,8,0,0,3,10,2,29,1,8,1,1,97,1,1,29,1,0,4,0,1,1,1,3,1,10,0,5,0,0,2,1,0,0,0,0,0,0,0,59,1,0,66,1,5,3,5,0,0,1,1,14,3,4,1,0,2,5,1,4,0,0,1,7,2,0,0,0,0,2,0,16,8,2,0,0,0,4,37,2,0,1,1,0,0,0,0,11,0,1,0,1,0,0,2,3,1,3,1,0,2,1,0,0,0,0,4,0,1,0,1,0,101,1,1,14,0,0,0,6,0,0,3,1,1,1,38,1,2,0,25,1,1,1,3,1,0,12,31,0,0,1,0,4,3,18,0,25,0,0,1,10,0,0,1,1,0,2,0,0,1,1,0,19,2,0,0,27,13,0,1,9,1,85,0,0,0,6,1,1,5,1,16,0,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,30,3,0,0,75,0,0,0,0,0,7,23,4,42,0,0,0,0,0,1,3,0,2,3,2,0,0,0,1,1,1,2,0,1,1,0,7,3,0,0,0,2,0,9,21,1,0,1,1,53,1,0,0,1,1,6,2,0,2,0,0,1,3,0,2,0,7,0,0,5,3,7,1,1,0,0,1,30,1,1,0,0,0,65,0,3,1,0,1,2,0,122,2,0,0,0,10,0,208,2,0,13,2,0,1,0,2,1,4,0,0,378,1,0,1,9,0,0,2,3,3,64,0,1,0,0,56,0,1,0,2,0,3,0,1,0,2,0,0,1,0,0,2,0,2,4,0,0,3,33,0,1,9,0,3,0,0,3,0,13,0,0,3,0,1,1,2,2,0,0,7,1,0,10,1,0,0,0,0,0,2,34,2,0,3,1,0,3,10,1,147,2,39,1,36,0,2,0,0,2,0,2,0,4,1,0,2,2,2,1,0,13,1,2,2,2,1,0,0,0,10,26,0,0,1,1,9,0,0,0,1,0,39,4,0,1,13,0,24,4,3,16,0,0,2,0,3,0,2,2,0,1,0,1,143,5,4,1,2,1,0,41,0,0,0,0,1,0,0,4,0,3,0,0,1,0,2,1,1,0,0,2,1,1,0,0,1,0,0,9,1,1,15,0,0,1,28,0,1,0,6,0,0,3,0,37,0,1,0,0,1,2,5,0,1,3,0,3,1,1,2,2,0,12,1,1,1,0,1,5,0,0,10,1,1,0,5,1,0,0,0,2,18,0,0,2,1,0,0,4,0,0,9,2,0,0,3,3,8,1,2,158,0,1,0,1,0,1,1,0,2,2,0,0,0,0,2,0,1,0,1,0,12,0,0,3,2,1,2,2,2,1,1,2,14,0,3,2,2,0,5,336,1,7,0,0,8,2,6,1,8,0,7,1,0,1,5,0,8,50,1,0,2,0,2,1,9,43,0,0,1,0,1,14,0,3,6,1,0,0,1,2,1,14,0,13,0,0,0,335,0,1,0,0,0,0,1,0,9,4,1,14,0,0,0,0,2,3,0,0,0,1,1,1,14,3,1,22,0,0,1,0,1,0,12,0,1,1,1,0,2,2,0,0,1,4,0,0,1,1,1,1,7,1,0,1,0,1,25,1,0,16,0,1,1,1,0,4,0,1,0,3,0,4,1,3,0,0,0,1,1,0,0,0,1,1,4,4,3,1,0,2,0,1,2,10,0,0,0,0,6,2,2,2,0,4,1,348,9,20,45,0,15,1,1,1,1,0,2,3,2,48,0,0,0,1,1,0,1,13,1,0,5,335,5,1,1,12,39,1,0,2,1,0,1,1,1,1,1,1,1,1,3
