gen,0_ABAT,0_ABCB7,0_ABCE1,0_ABI1,0_ABL1,0_ABR,0_ACAD8,0_ACADL,0_ACADS,0_ACAP2,0_ACAT1,0_ACBD3,0_ACBD6,0_ACO1,0_ACTL6A,0_ACTR3B,0_ADAL,0_ADAM33,0_ADCY2,0_ADCY9,0_ADD1,0_ADSL,0_AFAP1,0_AFP,0_AHI1,0_AIMP2,0_AKAP1,0_AKTIP,0_ALB,0_ALDH1B1,0_ALDH1L2,0_ALDH6A1,0_ALG13,0_ALG9,0_ALKBH2,0_AMFR,0_AMPD2,0_AMZ2,0_ANAPC10,0_ANAPC2,0_ANAPC5,0_ANAPC7,0_ANGPTL1,0_ANGPTL4,0_ANK3,0_ANKRD11,0_ANKRD13D,0_ANKRD22,0_ANKRD31,0_ANKRD39,0_ANKS6,0_ANLN,0_ANO6,0_ANXA11,0_ANXA3,0_AP1S1,0_AP2A1,0_AP4S1,0_APBB2,0_APCS,0_APOBEC3D,0_APOD,0_ARCN1,0_ARFGEF2,0_ARHGAP5,0_ARHGEF35,0_ARID5A,0_ARL6IP6,0_ARNT,0_ARNT2,0_ATF1,0_ATF4,0_ATF7IP2,0_ATP1B3,0_ATP2B3,0_ATP6V1B1,0_ATP6V1E1,0_AUH,0_AUP1,0_AURKB,0_AWAT2,0_B4GALNT2,0_BACH1,0_BATF2,0_BBC3,0_BCAR3,0_BDH2,0_BIRC3,0_BIRC5,0_BLK,0_BLM,0_BRD3,0_BRF1,0_BST2,0_BTF3,0_BTF3L4,0_BTN2A1,0_BTRC,0_BUB3,0_BYSL,0_C11orf45,0_C14orf93,0_C15orf40,0_C17orf97,0_C1orf198,0_C1orf226,0_C3orf14,0_C4orf19,0_C5orf34,0_CA9,0_CACNA1H,0_CACYBP,0_CALU,0_CAMK4,0_CAMKK2,0_CAMLG,0_CAMSAP1,0_CANT1,0_CAP1,0_CAPZA1,0_CARHSP1,0_CASP10,0_CASP2,0_CBR4,0_CBWD5,0_CBX4,0_CC2D1A,0_CC2D2B,0_CCDC12,0_CCDC59,0_CCDC77,0_CCDC88B,0_CCDC91,0_CCNA2,0_CCNB2,0_CCNH,0_CCNL2,0_CCNY,0_CCR6,0_CCT6B,0_CD101,0_CD53,0_CD9,0_CDC20,0_CDC45,0_CDC6,0_CDCA5,0_CDH16,0_CDH2,0_CDK1,0_CDK19,0_CDK20,0_CDK2AP1,0_CDK4,0_CDKN1A,0_CDKN2A,0_CDKN2C,0_CENPA,0_CENPV,0_CEP55,0_CHAC1,0_CHCHD6,0_CHD1,0_CHEK2,0_CHFR,0_CHI3L2,0_CHMP1B,0_CIB2,0_CKS1B,0_CLCC1,0_CLDN4,0_CLDN8,0_CLIC3,0_CLK1,0_CLK2,0_CLN5,0_CMC1,0_CMTM1,0_CNOT1,0_CNOT2,0_CNOT8,0_CNTNAP1,0_COBL,0_COBLL1,0_COIL,0_COL1A1,0_COL1A2,0_COL4A1,0_COL4A3,0_COPS2,0_CP,0_CPE,0_CPNE1,0_CPSF6,0_CPSF7,0_CPT2,0_CRAT,0_CRHBP,0_CRISPLD2,0_CRP,0_CRTC2,0_CRYM,0_CSF1R,0_CSPG5,0_CSRNP2,0_CSRNP3,0_CSTF3,0_CTDSPL,0_CTSF,0_CTSS,0_CUL1,0_CUTC,0_CWC15,0_CWC22,0_CYCS,0_CYFIP2,0_CYGB,0_CYP1B1,0_DAGLA,0_DAXX,0_DCAF12L1,0_DCLK1,0_DDR1,0_DDX47,0_DEDD,0_DEPDC1,0_DGKA,0_DGKD,0_DGKG,0_DHX30,0_DKC1,0_DLAT,0_DLD,0_DMTF1,0_DNA2,0_DNAJA3,0_DNAJB4,0_DNAJB7,0_DNAJC28,0_DNAJC5,0_DNMT3A,0_DPF2,0_DPYSL3,0_DR1,0_DTNBP1,0_DUSP23,0_DYNC2LI1,0_DYRK1A,0_DZIP1L,0_E2F1,0_ECM2,0_EDAR,0_EEF2,0_EFS,0_EGFR,0_EHBP1L1,0_EHHADH,0_EIF2AK2,0_EIF2B1,0_EIF2S3,0_EIF3A,0_EIF3D,0_EIF3E,0_EIF4EBP1,0_EIF4ENIF1,0_EIF5,0_EIF5A,0_ELK1,0_ELOVL5,0_ELOVL7,0_EME1,0_ENDOD1,0_ENHO,0_ENO2,0_ENPP3,0_ENTPD2,0_EPHA3,0_EPHA7,0_EPHB2,0_EPHX2,0_EPS15,0_ERBB3,0_ERCC3,0_ERCC6L,0_ERLIN2,0_ESPL1,0_ESRP1,0_ETFA,0_EXOSC1,0_EXTL3,0_F2,0_FABP3,0_FABP7,0_FAM120A,0_FAM122A,0_FAM136A,0_FAM156A,0_FAM160A1,0_FAM20A,0_FAM32A,0_FAM47E,0_FAM53A,0_FAM53B,0_FANCL,0_FASTKD1,0_FASTKD5,0_FBXL2,0_FBXO21,0_FBXO5,0_FBXW7,0_FCHO1,0_FCHSD1,0_FCRL1,0_FGB,0_FGF2,0_FGF9,0_FGR,0_FLRT3,0_FRAT1,0_FSTL3,0_FTH1,0_GAB2,0_GAB3,0_GABARAPL1,0_GABPB1,0_GALNT2,0_GANAB,0_GAPDH,0_GAS1,0_GBGT1,0_GBP3,0_GC,0_GDF15,0_GEM,0_GFM1,0_GGH,0_GHITM,0_GIMAP8,0_GLG1,0_GLI2,0_GLI3,0_GLOD4,0_GLOD5,0_GLRX5,0_GNA12,0_GNB1L,0_GNRH1,0_GORAB,0_GORASP2,0_GPATCH1,0_GPHN,0_GPR143,0_GPR183,0_GPRC5D,0_GRAMD1B,0_GRB7,0_GRHL1,0_GRK5,0_GRSF1,0_GSK3B,0_GSTA1,0_GTF2B,0_GTPBP10,0_GTPBP2,0_GUF1,0_GYS1,0_HADH,0_HAL,0_HAND2,0_HAPLN3,0_HAUS5,0_HBP1,0_HCCS,0_HEPH,0_HERPUD2,0_HGF,0_HIBADH,0_HIBCH,0_HK1,0_HLA-B,0_HLA-DQB1,0_HLA-DRB5,0_HMGCR,0_HMGN1,0_HMGN3,0_HNRNPA1,0_HNRNPL,0_HOXC13,0_HP,0_HPR,0_HPS3,0_HS1BP3,0_HS2ST1,0_HSD17B11,0_HSD17B6,0_HSD3B7,0_HSPA5,0_ICA1,0_ICAM1,0_ID3,0_IER5,0_IFNB1,0_IKZF2,0_IL10,0_IL18R1,0_IL4I1,0_IL7,0_IMPA1,0_IMPA2,0_INO80D,0_INTS3,0_INTS8,0_IP6K1,0_IPP,0_IRF1,0_ISG15,0_ITFG1,0_ITIH3,0_ITIH5,0_IVD,0_JTB,0_KANK2,0_KAT5,0_KCNA5,0_KCNG1,0_KCNJ15,0_KCNJ2,0_KCTD16,0_KDM2A,0_KIAA1143,0_KIAA1671,0_KIAA1755,0_KIF11,0_KIF18A,0_KIF20A,0_KIF21A,0_KIFAP3,0_KISS1R,0_KLF3,0_KLHDC2,0_KLRB1,0_KPNA3,0_KRT19,0_KRT4,0_KRT7,0_KRT8,0_KTN1,0_LARS2,0_LBP,0_LCMT2,0_LENG9,0_LGMN,0_LIMD1,0_LMBR1,0_LMNB1,0_LOXL2,0_LPCAT1,0_LRCH2,0_LRP5,0_LRRC24,0_LRRC40,0_LRRC47,0_LRRC57,0_LRRN3,0_LRRN4CL,0_LSM12,0_LYPLAL1,0_M6PR,0_MAFB,0_MAGOHB,0_MAML3,0_MANEA,0_MANSC1,0_MAP1LC3B2,0_MAP3K1,0_MAP3K9,0_MAPK11,0_MARCKS,0_MARK2,0_MATK,0_MCAT,0_MCCC1,0_MCL1,0_MDFIC,0_MECP2,0_MFNG,0_MGST2,0_MIA2,0_MICAL2,0_MIPEP,0_MKI67,0_MKKS,0_MLLT1,0_MMGT1,0_MOAP1,0_MPHOSPH10,0_MPV17L,0_MRPL11,0_MRPL55,0_MRPL9,0_MRPS18C,0_MRPS36,0_MSI2,0_MST1R,0_MSTN,0_MSTO1,0_MT1A,0_MT1E,0_MTHFD1,0_MTHFR,0_MX1,0_MXD1,0_MYC,0_MYD88,0_MYNN,0_MYO1C,0_MYOF,0_N4BP2L2,0_NARS2,0_NAV1,0_NBEA,0_NCAM2,0_NCOA6,0_NCOA7,0_NDRG2,0_NDUFC2,0_NDUFS2,0_NEDD4,0_NEK1,0_NEK8,0_NEURL1B,0_NFE2,0_NFE2L1,0_NFIL3,0_NFKBIE,0_NFYB,0_NKAP,0_NKIRAS1,0_NKX2-2,0_NLN,0_NMB,0_NOL7,0_NOLC1,0_NOP56,0_NOP58,0_NOS1AP,0_NOTCH3,0_NRIP1,0_NTRK3,0_NUDT14,0_NUDT17,0_NUP153,0_NUP62,0_OGDHL,0_OPHN1,0_OPTN,0_ORM2,0_OSBPL1A,0_OSMR,0_OTP,0_OXSM,0_P4HB,0_PA2G4,0_PAFAH2,0_PAIP2,0_PAK1,0_PARP6,0_PAX5,0_PAX9,0_PCBP3,0_PCCA,0_PCCB,0_PCDHGA1,0_PCDHGA12,0_PCGF1,0_PCIF1,0_PCK1,0_PCLO,0_PCYT2,0_PDCD2L,0_PDCD5,0_PDCD6IP,0_PDE10A,0_PDE3A,0_PDF,0_PDGFC,0_PDHA1,0_PDHX,0_PDIA3,0_PDK1,0_PDLIM2,0_PDLIM5,0_PEG3,0_PELI2,0_PEPD,0_PEX12,0_PFAS,0_PFDN6,0_PFN1,0_PGLYRP2,0_PHC2,0_PHF10,0_PHF5A,0_PHLDB1,0_PI4KA,0_PIBF1,0_PIF1,0_PIK3R2,0_PJA1,0_PLA2G5,0_PLEKHB2,0_PLIN2,0_PLK2,0_PLK3,0_PLXDC1,0_PLXNB1,0_PML,0_PMPCA,0_PMS2,0_PNPLA4,0_POC1A,0_POLR3D,0_POU2F2,0_POU3F3,0_POU5F1,0_PPIB,0_PPIL4,0_PPM1A,0_PPM1G,0_PPP1R12A,0_PPP1R3B,0_PPP2R2D,0_PPWD1,0_PRC1,0_PRDX6,0_PRKAB1,0_PRMT5,0_PROM1,0_PROS1,0_PRPF38B,0_PRPF39,0_PRPF4B,0_PRTN3,0_PSKH1,0_PSMA4,0_PSMA5,0_PSMA6,0_PSMB4,0_PSMD10,0_PSMD3,0_PSMD4,0_PTGES2,0_PTGIS,0_PTGR2,0_PTPN21,0_PTPN22,0_PTPN3,0_PTRH2,0_PUM1,0_PUS10,0_QRSL1,0_RAB11FIP1,0_RAB11FIP2,0_RAB14,0_RAB17,0_RAB1A,0_RAB22A,0_RAB25,0_RAB5C,0_RABEPK,0_RABGAP1,0_RAD54L,0_RAD54L2,0_RAI1,0_RALBP1,0_RALGAPB,0_RASGRF1,0_RASL11A,0_RASSF4,0_RB1,0_RBBP4,0_RBBP7,0_RBM34,0_RBM38,0_RBM4B,0_RBM8A,0_RBMX,0_RBP5,0_RC3H1,0_RCCD1,0_RCN1,0_REN,0_RFC2,0_RFC4,0_RFFL,0_RIC8A,0_RIMS2,0_RIN2,0_RIOK1,0_RIT1,0_RNASEH2C,0_RNASET2,0_RNF17,0_RPAP3,0_RPL13A,0_RPL23,0_RPL31,0_RPL5,0_RPL9,0_RPN2,0_RPS17,0_RPS20,0_RPS25,0_RPS27A,0_RPS6KA2,0_RPS6KB1,0_RPTOR,0_RRAGD,0_RRP15,0_RSBN1,0_RSRC2,0_RTKN,0_RUSC1,0_SAMD9,0_SAP30BP,0_SAR1A,0_SARDH,0_SART3,0_SCAPER,0_SDC3,0_SDCCAG8,0_SDF2L1,0_SDF4,0_SDHA,0_SDSL,0_SEC16A,0_SEC63,0_SEMA3A,0_SEMA4B,0_SEMA5A,0_SEPHS2,0_SERPINA1,0_SERPINA3,0_SERPINB6,0_SERPINF2,0_SERPINH1,0_SESTD1,0_SETD2,0_SFPQ,0_SH2B1,0_SHC1,0_SHMT2,0_SHPK,0_SHROOM2,0_SHROOM3,0_SIRT7,0_SIX5,0_SKA1,0_SLC10A3,0_SLC12A4,0_SLC1A4,0_SLC1A5,0_SLC25A23,0_SLC27A2,0_SLC29A3,0_SLC2A5,0_SLC2A9,0_SLC30A9,0_SLC38A6,0_SLC39A6,0_SLC39A9,0_SLC6A12,0_SLC7A5,0_SLMAP,0_SMC4,0_SMG6,0_SMPD3,0_SMS,0_SNPH,0_SNRNP27,0_SNRNP48,0_SNRNP70,0_SNRPA1,0_SNRPD1,0_SOCS1,0_SOS2,0_SOX6,0_SP100,0_SP3,0_SPAG5,0_SPOCK2,0_SPRYD3,0_SPTA1,0_SRM,0_SRP19,0_SRP72,0_SSB,0_SSR4,0_STARD13,0_STAT3,0_STAT4,0_STC1,0_STRADB,0_STRBP,0_SUCLG1,0_SUMO1,0_SUMO2,0_SUMO4,0_SURF6,0_SUSD2,0_SYNCRIP,0_SYNGR3,0_SYNJ2,0_SYNJ2BP,0_TACC3,0_TADA3,0_TAF5,0_TAP2,0_TAPBP,0_TARDBP,0_TBC1D7,0_TBCE,0_TBL1XR1,0_TCF4,0_TCIRG1,0_TCTA,0_TECPR2,0_TEKT3,0_TFAP4,0_TGM2,0_TGS1,0_THOC1,0_THRA,0_TJP2,0_TLE2,0_TMED8,0_TMEM132E,0_TMEM139,0_TMEM14A,0_TMEM25,0_TMEM39A,0_TMEM87B,0_TMEM8B,0_TMPO,0_TMPPE,0_TMPRSS2,0_TMX4,0_TNIK,0_TNIP2,0_TOE1,0_TOM1,0_TOR3A,0_TPD52,0_TPD52L2,0_TPM3,0_TPST2,0_TPX2,0_TRA2B,0_TRABD,0_TRAF3IP2,0_TRAK1,0_TRAPPC6A,0_TRIM17,0_TRIM35,0_TRIM4,0_TRIP10,0_TRMT5,0_TRMT61B,0_TRPC1,0_TSG101,0_TST,0_TTC19,0_TTC27,0_TTC32,0_TTC39C,0_TTC9C,0_TTLL1,0_TUBB,0_TXLNA,0_TYW1B,0_U2AF1L4,0_UBA7,0_UBAC1,0_UBAP2,0_UBE2H,0_UBE2Z,0_UCK1,0_UFC1,0_UGT8,0_UNC45A,0_UNC5B,0_UPK3B,0_UQCRC2,0_URGCP,0_UROC1,0_USF1,0_USP1,0_USP10,0_USP15,0_USP2,0_USP48,0_USP7,0_UTP6,0_VAPA,0_VCAN,0_VIM,0_VPS37B,0_VRK3,0_WDR1,0_WDR11,0_WDR41,0_WDR48,0_WIPF1,0_WLS,0_WT1,0_XK,0_XKR9,0_YWHAG,0_YWHAQ,0_YY1,0_ZBTB2,0_ZBTB4,0_ZBTB8OS,0_ZCCHC24,0_ZCCHC8,0_ZMAT3,0_ZNF131,0_ZNF19,0_ZNF267,0_ZNF280D,0_ZNF382,0_ZNF443,0_ZNF503,0_ZNF511,0_ZNF512,0_ZNF549,0_ZNF677,0_ZNF689,0_ZNF76,0_ZNF768,0_ZSCAN18
0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,53,169,0,0,0,0,68,0,0,0,0,35,0,172,0,0,0,0,0,0,0,0,0,0,0,133,0,118,0,0,71,0,0,0,0,0,0,128,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,133,0,115,28,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,8,0,0,0,45,0,0,0,0,0,0,0,0,0,0,130,0,0,11,0,0,0,0,0,0,0,0,0,0,88,336,0,0,22,0,0,0,0,0,19,0,0,0,0,0,140,90,0,0,0,0,114,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,158,0,0,0,0,0,103,0,0,0,0,183,0,0,0,0,0,0,280,0,0,0,0,151,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,199,0,46,0,48,23,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,39,296,0,0,180,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,54,0,0,0,0,0,0,0,0,0,0,0,81,40,0,0,0,0,0,0,0,26,0,0,0,0,0,0,244,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,134,143,178,0,0,0,0,88,0,0,82,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,30,56,0,60,0,0,0,61,0,103,0,0,0,75,0,0,0,0,83,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,3,166,0,0,0,198,106,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,290,110,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,16,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,113,0,0,10,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,91,0,0,0,0,191,149,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,121,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,154,0,84,0,0,0,0,0,0,3,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,209,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,215,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0
100,0,3,0,5,0,0,1,3,0,4,2,2,1,2,1,0,2,5,22,3,1,0,0,9,8,2,2,0,14,0,28,0,3,0,0,2,0,0,1,2,0,1,25,0,30,0,0,14,15,0,1,0,3,1,18,1,1,7,0,28,0,0,0,1,0,0,0,0,0,0,0,0,4,0,32,10,0,0,4,1,0,10,1,0,0,1,1,1,0,2,1,2,1,2,1,2,0,3,0,0,0,0,0,1,0,0,1,36,0,0,7,1,0,11,3,0,1,0,0,1,1,5,3,3,41,0,0,0,4,0,0,0,0,0,0,0,1,1,24,281,1,0,3,0,1,0,3,3,1,1,0,3,1,2,39,7,2,0,0,0,50,0,0,2,1,22,0,2,3,3,0,0,0,1,2,0,1,2,4,1,1,8,0,1,7,1,0,1,2,1,3,7,5,3,1,1,4,30,1,0,8,2,1,18,1,0,0,1,62,0,0,1,0,2,0,115,2,0,2,0,18,0,0,0,1,0,0,1,1,0,2,1,0,5,1,1,0,51,0,0,0,1,1,2,0,2,0,1,8,5,3,6,0,2,2,2,0,3,1,0,0,1,0,26,0,0,0,1,1,30,1,0,30,1,8,1,11,2,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,1,3,0,0,3,0,0,5,52,1,2,1,2,0,3,1,0,2,0,0,2,65,4,5,214,4,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,1,1,14,1,7,0,1,1,1,1,0,0,6,0,0,0,7,1,0,1,0,2,0,0,1,1,1,5,3,1,0,0,44,7,1,5,1,1,1,0,16,0,1,2,1,3,0,2,1,0,0,0,30,106,24,3,1,0,2,14,3,0,9,0,1,1,1,0,0,0,11,1,1,1,0,0,46,1,1,4,0,0,0,4,3,0,0,9,1,1,11,0,12,1,1,2,19,0,337,0,1,3,14,1,0,1,0,29,2,1,5,0,0,0,2,0,1,0,7,0,0,3,9,18,32,0,1,3,2,27,19,2,3,2,1,1,1,5,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1,0,2,0,0,3,0,0,7,113,0,0,2,1,0,0,0,0,1,0,28,0,0,5,3,2,1,0,0,2,0,0,1,2,1,6,5,6,0,1,2,2,0,0,2,4,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,17,1,0,0,0,0,1,3,61,1,1,10,0,0,10,0,1,2,3,0,21,1,2,0,36,17,0,1,0,0,0,0,0,1,14,0,1,3,0,0,1,0,0,0,3,0,0,1,1,0,0,8,0,3,2,1,1,0,0,3,0,35,2,3,3,1,0,1,0,5,1,0,3,0,0,86,19,0,0,0,0,0,0,2,0,0,7,0,0,0,1,1,1,0,5,2,1,0,0,0,0,0,22,1,32,0,1,0,6,0,0,0,3,0,24,0,15,0,2,0,1,1,1,1,0,1,1,0,19,1,2,1,2,0,0,1,1,1,0,4,0,3,0,34,0,1,1,1,8,3,0,1,1,26,45,1,0,0,1,1,9,3,0,5,1,0,1,1,0,1,0,0,1,2,1,0,2,1,2,4,3,2,2,0,0,2,0,0,0,23,0,5,0,24,48,1,4,1,1,1,0,0,3,1,1,2,0,0,0,0,1,1,2,0,1,0,1,0,3,0,1,0,2,1,7,4,0,0,1,3,0,0,0,3,0,0,4,3,3,1,0,113,1,0,0,0,0,0,1,0,1,1,35,0,56,1,1,0,0,3,0,0,0,50,0,1,0,1,1,0,1,2,2,0,0,0,3,1,0,2,1,1,0,0,0,1,63,2,100,0,1,0,0,1,0,2,6,0,0,1,0,2,0,0,1,0,0,2,1,0,0,1,1,0,32,0,0,1,5,0,1,1,0,0,0,1,0,0,0,0,6,1,0,1,0,0,2,8,11,0,0,1,3,94,0,1,1,1,1,3,0,19,0,1,0,1,0,2,2,0,5,0,2,0,1,1,0,43,59,0,0,0,1,0,0,6,1,35,1,0,1,1,0,0,0,1,1,18,134,4,0,0,3
200,0,4,1,1,1,1,1,2,1,1,0,2,0,3,1,0,2,2,30,1,0,0,1,10,6,0,1,2,15,0,22,1,1,2,0,0,0,0,1,3,0,5,19,0,31,0,1,11,14,0,1,1,1,0,28,1,1,4,1,29,1,0,1,1,0,0,0,1,0,1,1,0,8,2,28,12,1,0,4,1,2,14,0,0,0,0,0,0,0,1,2,2,0,0,0,3,0,5,1,0,0,0,0,0,0,0,1,42,0,1,2,0,1,6,3,1,0,0,0,1,0,3,2,7,50,0,1,2,1,0,0,3,0,2,2,0,0,2,32,265,2,1,2,0,0,0,2,3,2,0,1,0,0,3,33,8,1,2,0,0,44,0,0,4,0,22,0,3,3,2,0,0,0,0,0,0,1,3,4,1,0,7,1,0,4,1,0,0,0,3,3,8,3,0,3,0,3,27,0,0,7,1,0,16,3,0,0,1,57,1,1,2,1,5,0,101,1,1,0,1,17,2,0,1,0,0,0,1,5,1,0,2,0,1,0,1,0,56,0,3,0,0,0,1,1,2,0,2,3,8,4,2,0,0,0,4,0,4,1,0,1,1,1,41,1,0,2,0,1,31,0,1,36,1,7,1,10,3,0,1,1,0,1,0,4,1,0,0,0,0,4,2,0,1,8,0,0,6,2,1,3,54,0,0,1,1,0,5,0,0,1,0,1,2,68,3,6,190,12,0,0,0,1,6,0,0,0,2,0,0,1,0,1,1,2,0,0,14,0,9,1,1,0,3,0,0,0,6,2,0,0,8,4,1,2,0,1,0,0,0,0,0,3,2,1,0,1,47,5,1,2,0,1,0,0,20,0,0,8,0,2,0,0,0,0,0,0,26,103,24,0,1,1,2,16,1,0,9,0,0,0,0,1,0,1,8,0,0,1,0,2,136,0,3,1,1,0,0,4,3,1,0,5,0,1,12,0,12,3,5,2,13,1,283,1,1,0,10,0,1,0,0,37,1,5,2,0,2,1,1,0,1,0,2,0,0,1,10,10,36,0,1,4,2,21,23,3,1,2,1,0,1,9,0,0,0,0,0,1,1,0,2,0,0,2,0,0,1,0,3,1,0,2,1,0,7,100,0,0,0,0,0,0,0,2,6,0,31,1,1,9,3,1,0,0,2,3,2,0,1,1,2,1,4,6,3,0,0,1,0,0,1,3,0,0,3,2,0,1,3,0,0,2,0,0,1,0,1,21,0,0,0,1,0,1,3,57,5,0,11,0,1,5,5,0,2,3,0,30,1,1,0,37,14,0,0,0,0,0,0,3,0,20,0,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,11,1,4,4,0,2,0,1,1,0,34,3,2,5,0,2,2,0,2,2,0,3,1,0,73,15,0,2,0,0,1,4,1,0,0,7,0,0,1,1,2,0,0,3,2,0,0,0,1,0,0,20,1,33,2,1,0,8,1,0,3,2,0,19,1,19,0,2,1,0,1,3,0,0,0,0,2,14,2,0,0,1,1,0,0,0,2,0,2,1,1,0,23,2,0,0,1,9,7,0,6,3,32,47,3,1,0,0,1,13,2,0,1,1,0,0,2,0,0,1,1,3,0,1,1,1,0,2,5,3,1,3,0,1,4,0,1,0,20,0,3,0,31,59,0,3,0,0,1,1,0,5,1,1,0,2,3,0,2,1,0,0,2,0,1,0,0,4,0,0,0,1,1,13,1,0,1,1,4,0,0,1,3,2,0,2,2,0,2,0,92,1,0,1,0,3,0,1,4,0,0,31,0,51,1,1,0,0,5,1,0,0,44,0,5,1,0,1,1,1,0,2,0,0,0,0,0,1,3,1,0,0,0,0,1,48,1,86,0,0,0,1,2,0,2,4,1,1,0,0,1,0,2,0,1,0,0,1,0,1,1,0,0,40,0,1,0,10,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,6,7,5,1,0,1,1,83,2,1,0,2,0,3,0,21,0,1,0,0,3,2,2,0,2,2,0,0,1,3,1,44,44,2,0,0,0,0,0,6,1,40,0,8,1,2,1,0,0,4,3,25,156,3,0,0,1
