0_AEBP1,0_B3GNT1,0_CMTM5,0_FCER1G,0_LCORL,0_MLLT11,0_RPL13,0_TNFRSF13C
1,1,1,1,1,0,1,1
1,1,0,1,1,0,1,1
1,1,0,1,1,0,0,1
1,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0
1,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
