0_C10orf81,0_C1QA,0_CD68,0_INHBE,0_LY86,0_PDCD1LG2,0_SBK1,0_VCAN,0_ZEB2
1,0,1,1,1,0,1,1,0
1,0,1,1,0,0,1,1,0
1,0,1,1,0,0,0,1,0
1,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
