0_ANKRD5,0_CD68,0_COL3A1,0_CXCL11,0_GPR12,0_GZMA,0_IL12RB1,0_RAD51AP1,0_RNF19B,0_VCAN
1,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,0,1,0,1
0,1,0,0,1,0,0,0,1,1
0,1,0,0,1,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
