0_ACTN2,0_APOL3,0_C1QB,0_C21orf63,0_C5orf62,0_CD68,0_COL1A1,0_EVI2A,0_FOLR1,0_GCAT,0_HMGB2,0_IL12A,0_NKG7,0_PDLIM3,0_PSMB4,0_PTGER2,0_RTEL1,0_SLC18A1,0_TAP2,0_TUG1,0_VCAN
1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0
0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
