0_C5orf47,0_CACNA1C,0_CD86,0_COL3A1,0_GK,0_GPR12,0_GSDMC,0_LOXL2,0_MAOB,0_MURC,0_NNMT,0_PSMB10,0_TACC1,0_TPM3
0,0,1,1,0,1,0,1,1,1,0,1,1,1
1,0,1,1,0,1,0,1,0,1,0,1,1,0
1,0,1,1,0,1,1,1,0,1,0,0,0,0
0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
