1_AKAP6.9472,1_ANAPC7.51434,1_ANGPTL6.83854,1_ANKLE2.23141,1_ANKRD56.345079,1_ARL15.54622,1_BBOX1.8424,1_C19orf77.284422,1_CCDC137.339230,1_CCNF.899,1_CDCA3.83461,1_CWF19L2.143884,1_CYP3A7.1551,1_DBF4.10926,1_DCTN2.10540,1_DDAH1.23576,1_GDF5.8200,1_HMGN1.3150,1_HOXA2.3199,1_IQGAP3.128239,1_ITGA6.3655,1_IYD.389434,1_KIF18A.81930,1_LIMCH1.22998,1_LOC100134713.100134713,1_LZTS2.84445,1_MAST4.375449,1_MLLT11.10962,1_MPP5.64398,1_NCKAP5.344148,1_NLGN2.57555,1_NPLOC4.55666,1_PPP1R1A.5502,1_PRC1.9055,1_PRKCE.5581,1_SALL1.6299,1_SEMA3G.56920,1_SEPP1.6414,1_SETD3.84193,1_SH3RF1.57630,1_SLC10A2.6555,1_SLC10A6.345274,1_STK32C.282974,1_STON1.GTF2A1L.286749,1_STRADA.92335,1_TAF6.6878,1_UBE2T.29089,1_VIL1.7429,1_WDR72.256764
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
