0_ajcc_pathologic_tumor_stage_Stage IV,1_AKAP6.9472,1_ALDH6A1.4329,1_BARX1.56033,1_BID.637,1_C20orf20.55257,1_C6orf153.88745,1_C6orf186.728464,1_CCNF.899,1_COX6B2.125965,1_CTNND1.1500,1_CYP3A7.1551,1_DAZAP1.26528,1_DONSON.29980,1_EMCN.51705,1_FAM104A.84923,1_FOXA2.3170,1_GAB1.2549,1_GIPC2.54810,1_HHIPL2.79802,1_HOXA2.3199,1_HOXA3.3200,1_IGF2BP3.10643,1_IGFN1.91156,1_ITGAE.3682,1_KIAA0564.23078,1_LIMCH1.22998,1_LNX2.222484,1_LOC220429.220429,1_LOC286467.286467,1_MAST4.375449,1_MDK.4192,1_OR13A1.79290,1_PIPSL.266971,1_PLK1.5347,1_PPP2R2C.5522,1_PRUNE2.158471,1_SARNP.84324,1_SIPA1L1.26037,1_SNRPC.6631,1_SORBS2.8470,1_SPATA18.132671,1_STON1.GTF2A1L.286749,1_TOR3A.64222,1_TUBB3.10381,1_UCK2.7371,1_ZIC2.7546,1_ZNF420.147923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
