0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ACOT8.10005,1_AR.367,1_ARFGAP1.55738,1_ARID5B.84159,1_AUP1.550,1_BCL2L12.83596,1_BID.637,1_C12orf45.121053,1_C17orf37.84299,1_C17orf90.339229,1_C6orf186.728464,1_COQ3.51805,1_DCAF11.80344,1_DNASE1L3.1776,1_DONSON.29980,1_DUS1L.64118,1_DYRK4.8798,1_EMCN.51705,1_F2RL1.2150,1_FKBP4.2288,1_HOXA2.3199,1_JTB.10899,1_KIAA1109.84162,1_LIN54.132660,1_LOC388796.388796,1_MARS.4141,1_NFIB.4781,1_OTUD7A.161725,1_PAEP.5047,1_PIPSL.266971,1_PODXL.5420,1_PRKRIP1.79706,1_PSMB4.5692,1_PTTG2.10744,1_ROBLD3.28956,1_RORA.6095,1_SIPA1L1.26037,1_SKA1.220134,1_SORBS2.8470,1_STON1.GTF2A1L.286749,1_SYN3.8224,1_TBCE.6905,1_TJP2.9414,1_TOR3A.64222,1_TTLL9.164395,1_TXNDC17.84817,1_WDR7.23335
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
