0_ajcc_pathologic_tumor_stage_Stage IV,1_ADCY9.115,1_AKAP6.9472,1_ANO4.121601,1_ATP8B3.148229,1_BARX1.56033,1_C14orf34.645687,1_C6orf186.728464,1_CCNA2.890,1_CDC6.990,1_CNNM2.54805,1_CYP3A7.1551,1_DONSON.29980,1_DSCR9.257203,1_ERN2.10595,1_FAM72A.729533,1_GTPBP2.54676,1_HHIPL2.79802,1_HMGN1.3150,1_IGDCC4.57722,1_IGFN1.91156,1_IL1RN.3557,1_IQGAP3.128239,1_KCND1.3750,1_LCTL.197021,1_LOC286467.286467,1_NEK2.4751,1_OTOF.9381,1_PFDN4.5203,1_PLAUR.5329,1_PLCL2.23228,1_PRKD1.5587,1_PTPN21.11099,1_REEP4.80346,1_RELT.84957,1_RGS17.26575,1_SAA4.6291,1_SEPP1.6414,1_SORBS2.8470,1_SOS2.6655,1_TEK.7010,1_THTPA.79178,1_TRIP13.9319,1_TUBA1B.10376,1_UBE2S.27338,1_UCK2.7371,1_ZNF14.7561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
