gen,evals,gen_feats,explored,PanKidney random forest balanced accuracy_min,PanKidney random forest balanced accuracy_avg,PanKidney random forest balanced accuracy_max,PanKidney random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,9041,9041,0.25,0.7164261839561856,0.833872192562592,0.11393964420899116,0.0196078431372549,0.09323883845644869,1.0,0.17026283872983555
1,363,5428,9305,0.25,0.7073763404363034,0.8523736653166422,0.1442603947089592,0.019230769230769232,0.14104966998113047,1.0,0.2202241970018919
2,356,3207,9498,0.25,0.6979536427650957,0.8523736653166422,0.1657928149236735,0.019230769230769232,0.18340293854339293,1.0,0.26019081051414955
3,344,2033,9721,0.25,0.6773794412739323,0.8544130844992637,0.19623265154777197,0.018518518518518517,0.24725691207222383,1.0,0.3246219084399055
4,333,1549,9929,0.25,0.6335937327411634,0.864544021539028,0.2340910494733136,0.018518518518518517,0.34275454984536347,1.0,0.38894867720663445
5,364,1167,10148,0.25,0.5604536485180411,0.864544021539028,0.2623194040481152,0.01818181818181818,0.48312359785514686,1.0,0.43098756177035147
6,328,903,10330,0.25,0.45042742659241536,0.864544021539028,0.2654095530634665,0.025,0.6782704655167693,1.0,0.42588871030663483
7,330,679,10532,0.25,0.28911034724779083,0.864544021539028,0.1418464121137546,0.03571428571428571,0.9406566116889646,1.0,0.2160898759408249
8,314,549,10727,0.25,0.2719801983615611,0.864544021539028,0.10865630264614541,0.03571428571428571,0.9668067448890979,1.0,0.16483035796278508
9,320,539,10924,0.25,0.2649348191273932,0.864544021539028,0.09175480897039967,0.03571428571428571,0.9777775019098549,1.0,0.13755888204758882
10,309,498,11113,0.25,0.26503200938880705,0.864544021539028,0.09236409577730421,0.03571428571428571,0.9780623004446534,1.0,0.13621745010521688
11,330,548,11299,0.25,0.26618592369293076,0.864544021539028,0.09571234904455511,0.03571428571428571,0.976648664081017,1.0,0.13950496895014086
12,300,486,11484,0.25,0.2614770515003682,0.864544021539028,0.08074485005295474,0.03571428571428571,0.9840448179271709,1.0,0.11368702292674962
13,301,488,11646,0.25,0.26231573315537554,0.864544021539028,0.0827736050760433,0.03571428571428571,0.9830448179271709,1.0,0.11572306951425734
14,290,483,11792,0.25,0.2635359328976436,0.864544021539028,0.08697338217262326,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
15,312,486,11954,0.25,0.26239841448821793,0.864544021539028,0.08335041098027957,0.03571428571428571,0.9828781512605042,1.0,0.11683337794292835
16,312,539,12142,0.25,0.26239841448821793,0.864544021539028,0.08335041098027957,0.03571428571428571,0.9828781512605042,1.0,0.11683337794292835
17,306,507,12316,0.25,0.26239841448821793,0.864544021539028,0.08335041098027957,0.03571428571428571,0.9828781512605042,1.0,0.11683337794292835
18,316,526,12488,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
19,304,510,12650,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
20,319,519,12783,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
21,296,480,12915,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
22,329,534,13065,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
23,298,481,13196,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
24,320,507,13342,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
25,294,460,13468,0.25,0.26357568575110457,0.864544021539028,0.08723357302094029,0.03571428571428571,0.9813781512605042,1.0,0.12133186990785498
26,308,515,13593,0.25,0.26477957013991166,0.864544021539028,0.09110559051396673,0.03571428571428571,0.9797781512605043,1.0,0.1262508326284237
27,322,541,13724,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
28,296,490,13861,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
29,305,495,13966,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
30,307,517,14093,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
31,323,533,14217,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
32,316,520,14330,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
33,310,511,14435,0.25,0.2659834545287187,0.864544021539028,0.09480433697122834,0.03571428571428571,0.9781781512605041,1.0,0.13096565512913635
34,305,523,14549,0.25,0.26000261759020615,0.864544021539028,0.07460278789324207,0.03571428571428571,0.9862114845938376,1.0,0.10476304200876162
35,314,508,14650,0.25,0.26122449143961707,0.864544021539028,0.0792850992555287,0.03571428571428571,0.9847114845938375,1.0,0.10980291173147941
36,318,530,14756,0.25,0.26122449143961707,0.864544021539028,0.0792850992555287,0.03571428571428571,0.9847114845938375,1.0,0.10980291173147941
37,302,499,14848,0.25,0.26122449143961707,0.864544021539028,0.0792850992555287,0.03571428571428571,0.9847114845938375,1.0,0.10980291173147941
38,305,524,14938,0.25,0.26122449143961707,0.864544021539028,0.0792850992555287,0.03571428571428571,0.9847114845938375,1.0,0.10980291173147941
39,299,469,15025,0.25,0.257552944357511,0.8672881765463918,0.0640967207883414,0.2,0.9907333333333334,1.0,0.07887906355089841
40,313,476,15130,0.25,0.257552944357511,0.8672881765463918,0.0640967207883414,0.2,0.9907333333333334,1.0,0.07887906355089841
41,322,500,15238,0.25,0.257552944357511,0.8672881765463918,0.0640967207883414,0.2,0.9907333333333334,1.0,0.07887906355089841
42,296,457,15314,0.25,0.257552944357511,0.8672881765463918,0.0640967207883414,0.2,0.9907333333333334,1.0,0.07887906355089841
43,313,479,15399,0.25,0.257552944357511,0.8672881765463918,0.0640967207883414,0.2,0.9907333333333334,1.0,0.07887906355089841
44,324,501,15484,0.25,0.257552944357511,0.8672881765463918,0.0640967207883414,0.2,0.9907333333333334,1.0,0.07887906355089841
45,312,480,15561,0.25,0.2587875207106038,0.8672881765463918,0.069644134353547,0.2,0.9891333333333333,1.0,0.08642738763455331
46,303,452,15628,0.25,0.2587875207106038,0.8672881765463918,0.069644134353547,0.2,0.9891333333333333,1.0,0.08642738763455331
47,296,464,15690,0.25,0.2587875207106038,0.8672881765463918,0.069644134353547,0.2,0.9891333333333333,1.0,0.08642738763455331
48,320,484,15764,0.25,0.25800778948821795,0.8672881765463918,0.06754913797770606,0.2,0.9901333333333333,1.0,0.08360877146966497
49,313,463,15822,0.25,0.25800778948821795,0.8672881765463918,0.06754913797770606,0.2,0.9901333333333333,1.0,0.08360877146966497
50,305,445,15883,0.25,0.25800778948821795,0.8672881765463918,0.06754913797770606,0.2,0.9901333333333333,1.0,0.08360877146966497
51,293,456,15946,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
52,313,474,16012,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
53,309,480,16078,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
54,298,460,16137,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
55,296,475,16223,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
56,322,497,16288,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
57,314,484,16354,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
58,300,471,16416,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
59,312,475,16472,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
60,308,458,16530,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
61,288,454,16588,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
62,288,449,16638,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
63,301,456,16694,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
64,304,442,16727,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
65,300,477,16786,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
66,298,462,16831,0.25,0.25890542157584684,0.8672881765463918,0.07036032890020985,0.2,0.9891333333333333,1.0,0.08642738763455331
67,308,506,16873,0.25,0.25767101781111934,0.8673744707290133,0.06487805179512356,0.2,0.9907333333333334,1.0,0.07887906355089841
68,306,456,16920,0.25,0.25767101781111934,0.8673744707290133,0.06487805179512356,0.2,0.9907333333333334,1.0,0.07887906355089841
69,326,488,16973,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
70,301,458,17017,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
71,309,449,17054,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
72,294,454,17087,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
73,300,486,17133,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
74,304,448,17167,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
75,296,470,17215,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
76,307,458,17252,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
77,327,492,17285,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
78,323,489,17313,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
79,303,446,17345,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
80,302,458,17374,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
81,297,432,17403,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
82,300,446,17432,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
83,307,464,17469,0.25,0.25890576675257726,0.8673744707290133,0.07036331367803675,0.2,0.9891333333333333,1.0,0.08642738763455331
84,295,452,17500,0.25,0.25768514129234166,0.8744362113402062,0.06501140986131553,0.2,0.9907333333333334,1.0,0.07887906355089841
85,293,471,17532,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
86,326,522,17558,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
87,285,433,17579,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
88,318,481,17601,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
89,307,479,17622,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
90,303,420,17640,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
91,281,415,17664,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
