inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness
0.9330079149212321,0.18257418583505536,0.9327134817714705,0.18257418583505536
0.9314930945509797,0.18569533817705186,0.9320406165891852,0.18569533817705186
0.9293825816953182,0.18569533817705186,0.9312454122828481,0.18569533817705186
0.9292635293877628,0.18257418583505536,0.9324076339613409,0.18257418583505536
0.9279286705014166,0.18257418583505536,0.9286762906777587,0.18257418583505536
0.927485180555967,0.18257418583505536,0.9297773427942256,0.18257418583505536
0.9270016559366576,0.18569533817705186,0.92941032542207,0.18569533817705186
0.9268398029100968,0.1889822365046136,0.9287986298018106,0.1889822365046136
0.9264756811696842,0.1889822365046136,0.9314289209689258,0.1889822365046136
0.9264248034933661,0.18257418583505536,0.9311230731587962,0.18257418583505536
0.9263851193908477,0.18257418583505536,0.9286151211157329,0.18257418583505536
0.9261034824719588,0.1796053020267749,0.9296550036701737,0.1796053020267749
0.9259916956192903,0.1796053020267749,0.9277587472473697,0.1796053020267749
0.9258586836927895,0.18257418583505536,0.9285539515537069,0.18257418583505536
0.9258574911769323,0.1767766952966369,0.9281257646195253,0.1767766952966369
0.9257184063114018,0.17407765595569785,0.9327746513334965,0.17407765595569785
0.9257165925705158,0.18569533817705186,0.9270858820650845,0.18569533817705186
0.9256492598837944,0.18569533817705186,0.9267800342549547,0.18569533817705186
0.9255397477030968,0.1767766952966369,0.9329581600195742,0.1767766952966369
0.9255216392457514,0.1796053020267749,0.9298385123562515,0.1796053020267749
0.9254508393712021,0.18569533817705186,0.9292879862980181,0.18569533817705186
0.9253610890947913,0.18257418583505536,0.9271470516271103,0.18257418583505536
0.9253564293911061,0.18569533817705186,0.9314900905309518,0.18569533817705186
0.925347129475846,0.18569533817705186,0.9269635429410326,0.18569533817705186
0.9253154424129869,0.1796053020267749,0.9282481037435772,0.1796053020267749
0.9253154424129869,0.1767766952966369,0.9291656471739662,0.1767766952966369
0.9253143602568731,0.18257418583505536,0.9318571079031074,0.18257418583505536
0.9252913713763556,0.1889822365046136,0.92941032542207,0.1889822365046136
0.9252665687549518,0.1796053020267749,0.9305725471005628,0.1796053020267749
0.9252436902341779,0.18569533817705186,0.9289209689258625,0.18569533817705186
0.9250975606332478,0.18257418583505536,0.9276975776853438,0.18257418583505536
0.9250910267631335,0.17407765595569785,0.9293491558600441,0.17407765595569785
0.9250871785618741,0.18257418583505536,0.9281869341815513,0.18257418583505536
0.9250711045649022,0.1889822365046136,0.928431612429655,0.1889822365046136
0.9250699120490449,0.1767766952966369,0.9295326645461218,0.1767766952966369
0.9250181924282108,0.18257418583505536,0.928370442867629,0.18257418583505536
0.9250013868464664,0.1796053020267749,0.9311230731587962,0.1796053020267749
0.924917138218257,0.1796053020267749,0.928431612429655,0.1796053020267749
0.9248942596974831,0.18569533817705186,0.9311230731587962,0.18569533817705186
0.9248731449833945,0.1889822365046136,0.9260459995106435,0.1889822365046136
0.9248680243486245,0.18569533817705186,0.9277587472473697,0.18569533817705186
0.9248130777515599,0.1889822365046136,0.9267188646929287,0.1889822365046136
0.9247901992307859,0.18569533817705186,0.9294714949840959,0.18569533817705186
0.9247249809220911,0.18257418583505536,0.9317959383410814,0.18257418583505536
0.9246909088275176,0.19245008972987526,0.9282481037435772,0.19245008972987526
0.9246372651060537,0.2,0.9243944213359432,0.2
0.9246096165218508,0.18569533817705186,0.9272082211891363,0.18569533817705186
0.9245916184242492,0.1889822365046136,0.9285539515537069,0.1889822365046136
0.9245439372820714,0.1796053020267749,0.928492781991681,0.1796053020267749
0.9245094042564131,0.18569533817705186,0.9249449473941767,0.18569533817705186
0.9243643568115968,0.1889822365046136,0.9234157083435283,0.1889822365046136
0.9243539747402231,0.18569533817705186,0.9283092733056031,0.18569533817705186
0.9243178681852763,0.18569533817705186,0.926474186444825,0.18569533817705186
0.9241768592191161,0.18257418583505536,0.9283092733056031,0.18257418583505536
0.9241692431928881,0.18569533817705186,0.9276364081233178,0.18569533817705186
0.9241632806136021,0.1889822365046136,0.9280034254954734,0.1889822365046136
0.9241508945239453,0.1889822365046136,0.9244555908979691,0.1889822365046136
0.9240445788773878,0.19245008972987526,0.9276975776853438,0.19245008972987526
0.9240158481370714,0.1889822365046136,0.9277587472473697,0.1889822365046136
0.9240146556212142,0.19245008972987526,0.9276364081233178,0.19245008972987526
0.9239910455156676,0.19611613513818404,0.9239050648397358,0.19611613513818404
0.9239617434845228,0.1889822365046136,0.9295938341081478,0.1889822365046136
0.92386006804954,0.1889822365046136,0.928492781991681,0.1889822365046136
0.9236500729497168,0.1889822365046136,0.9273917298752141,0.1889822365046136
0.9236320748521151,0.19245008972987526,0.9259848299486175,0.19245008972987526
0.9235771282550505,0.1889822365046136,0.9243944213359432,0.1889822365046136
0.9235387470281328,0.19611613513818404,0.9242109126498654,0.19611613513818404
0.9234185022047202,0.1889822365046136,0.9275752385612919,0.1889822365046136
0.9234145740858074,0.19245008972987526,0.9272082211891363,0.19245008972987526
0.9234116976809181,0.21320071635561044,0.9205407389283092,0.21320071635561044
0.9234064666864046,0.1889822365046136,0.9273917298752141,0.1889822365046136
0.9232554566623022,0.19611613513818404,0.9273917298752141,0.19611613513818404
0.9232542641464448,0.19245008972987526,0.9276975776853438,0.19245008972987526
0.9231388997462048,0.19245008972987526,0.9251896256422804,0.19245008972987526
0.9229467923842395,0.19245008972987526,0.926596525568877,0.19245008972987526
0.9229316402494369,0.19611613513818404,0.9275140689992659,0.19611613513818404
0.9226551544074084,0.19611613513818404,0.928492781991681,0.19611613513818404
0.9225888539425999,0.19245008972987526,0.9252507952043063,0.19245008972987526
0.9225358314461651,0.19245008972987526,0.9273305603131882,0.19245008972987526
0.9225249884437067,0.19245008972987526,0.9264130168827991,0.19245008972987526
0.9224711045106453,0.19611613513818404,0.9264130168827991,0.19611613513818404
0.9224229624373828,0.19245008972987526,0.9295326645461218,0.19245008972987526
0.9223079486084836,0.19611613513818404,0.9253119647663323,0.19611613513818404
0.922238581461389,0.2041241452319315,0.9207242476143871,0.2041241452319315
0.9221267946087205,0.19245008972987526,0.9272693907511622,0.19245008972987526
0.9219134426808125,0.2,0.9295326645461218,0.2
0.9218713735465798,0.19245008972987526,0.928370442867629,0.19245008972987526
0.9217827054262827,0.2,0.923660386591632,0.2
0.9217250232261626,0.2,0.9250672865182286,0.2
0.9216364654656091,0.2,0.9221923171030095,0.2
0.9216039364582338,0.2,0.9242720822118914,0.2
0.9215573179800591,0.2041241452319315,0.9281869341815513,0.2041241452319315
0.9214927208963934,0.2,0.924577930022021,0.2
0.9214698423756195,0.19245008972987526,0.9257401517005138,0.19245008972987526
0.9213913960327518,0.19245008972987526,0.9238438952777098,0.19245008972987526
0.9213828581443546,0.19245008972987526,0.9250061169562026,0.19245008972987526
0.9213810444034684,0.2,0.9281257646195253,0.2
0.9213736685888381,0.2,0.9251896256422804,0.2
0.9212692575507998,0.19611613513818404,0.9243944213359432,0.19611613513818404
0.9212611501513969,0.2,0.921764130168828,0.2
0.9211903502768474,0.2,0.9273305603131882,0.2
0.9211843876975614,0.19611613513818404,0.928431612429655,0.19611613513818404
0.9211721314597586,0.19611613513818404,0.926474186444825,0.19611613513818404
0.9211180268072102,0.2,0.9250672865182286,0.2
0.9210932241858064,0.19611613513818404,0.9254343038903842,0.19611613513818404
0.9210799961516335,0.2,0.9212136041105946,0.2
0.9210633009296326,0.19611613513818404,0.9234157083435283,0.19611613513818404
0.9210596130223175,0.20851441405707477,0.9233545387815023,0.20851441405707477
0.921038498308229,0.20851441405707477,0.9248837778321507,0.20851441405707477
0.9210260018588287,0.19611613513818404,0.9229263518473207,0.19611613513818404
0.9209939337825381,0.20851441405707477,0.9215194519207243,0.20851441405707477
0.9209771282007937,0.20851441405707477,0.9241497430878395,0.20851441405707477
0.9208840710304992,0.20851441405707477,0.9199290433080499,0.20851441405707477
0.9208509207980949,0.2041241452319315,0.9272693907511622,0.2041241452319315
0.9208147038834046,0.21320071635561044,0.9172375825789088,0.21320071635561044
0.9206301930555568,0.2,0.9240274039637876,0.2
0.9204530775344498,0.2041241452319315,0.9215194519207243,0.2041241452319315
0.9203928999428719,0.21320071635561044,0.9150966479080009,0.21320071635561044
0.9203267597720077,0.2041241452319315,0.9210300954245167,0.2041241452319315
0.9203185225207507,0.21320071635561044,0.9250061169562026,0.21320071635561044
0.920294341124376,0.2,0.9229263518473207,0.2
0.9202924170237462,0.21320071635561044,0.9202348911181796,0.21320071635561044
0.9202645282279458,0.2,0.9269023733790066,0.2
0.9202611908919719,0.2041241452319315,0.9191950085637387,0.2041241452319315
0.9202515404053706,0.20851441405707477,0.9231710300954246,0.20851441405707477
0.9201638245893332,0.2041241452319315,0.9228651822852948,0.2041241452319315
