1_hsa.miR.106b.3p,1_hsa.miR.106b.5p,1_hsa.miR.16.2.3p,1_hsa.miR.20a.3p,1_hsa.miR.301a.3p,1_hsa.miR.30d.5p,1_hsa.miR.3200.3p,1_hsa.miR.3605.3p,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.484,1_hsa.miR.508.3p,1_hsa.miR.7706,1_hsa.miR.92a.3p,1_hsa.miR.940,2_ADCY2.108,2_ALAD.210,2_ATAD5.79915,2_BEND3.57673,2_C11orf46.120534,2_C20orf152.140894,2_C4orf10.317648,2_C6orf129.154467,2_CCNF.899,2_CD59.966,2_CDC25A.993,2_CENPQ.55166,2_DHH.50846,2_DRG2.1819,2_DUSP19.142679,2_DUSP27.92235,2_EFEMP1.2202,2_EIF4G3.8672,2_ESPL1.9700,2_FAM173A.65990,2_FBXO42.54455,2_FMO2.2327,2_GALNT12.79695,2_GIMAP7.168537,2_GIMAP8.155038,2_GPR18.2841,2_HMGN2.3151,2_HNRNPH1.3187,2_HNRNPU.3192,2_HOXA13.3209,2_HOXC6.3223,2_IGFBP7.3490,2_ITGA7.3679,2_IVNS1ABP.10625,2_KIAA1524.57650,2_KIF18B.146909,2_KIF20A.10112,2_KIF20B.9585,2_LAPTM4B.55353,2_LIN7C.55327,2_LOC100101266.100101266,2_LRRC41.10489,2_MMP10.4319,2_MRO.83876,2_MSH2.4436,2_NAALADL1.10004,2_NCAPH.23397,2_NFKBIL2.4796,2_NUP153.9972,2_P2RX1.5023,2_PEX11G.92960,2_PHACTR4.65979,2_PLA2G4C.8605,2_PLCG1.5335,2_PPP1R11.6992,2_PUM1.9698,2_RAMP3.10268,2_RARRES3.5920,2_RBM39.9584,2_RLIM.51132,2_SBDSP1.155370,2_SCN1B.6324,2_SDR42E1.93517,2_SELP.6403,2_SERPING1.710,2_SFRS13A.10772,2_SFXN1.94081,2_SKP2.6502,2_SLC35B2.347734,2_SMOC2.64094,2_SNAPC5.10302,2_TARDBP.23435,2_TCF3.6929,2_TINAGL1.64129,2_TMEM57.55219,2_TPSAB1.7177,2_TPX2.22974,2_TRIM21.6737,2_TRIM29.23650,2_UBE4B.10277,2_VWA5A.4013,2_ZCCHC17.51538,2_ZMYM4.9202,2_ZNF322A.79692
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
