1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.3677.3p,1_hsa.miR.455.3p,2_ACAP1.9744,2_ACTL6A.86,2_AGAP11.119385,2_ALAD.210,2_ALDH1A1.216,2_ALPK1.80216,2_ANKRD28.23243,2_AOC3.8639,2_AP2B1.163,2_AP3S2.10239,2_APCDD1L.164284,2_APOL3.80833,2_ARHGAP15.55843,2_ARHGEF37.389337,2_ARL8A.127829,2_ASPRV1.151516,2_AVPR2.554,2_B3GNT5.84002,2_B3GNT8.374907,2_BAT3.7917,2_C17orf103.256302,2_C17orf44.284029,2_C22orf26.55267,2_C22orf41.644186,2_CCNC.892,2_CD244.51744,2_CHMP2A.27243,2_DHH.50846,2_DLX1.1745,2_DR1.1810,2_FASN.2194,2_FBXW8.26259,2_FGD3.89846,2_G3BP1.10146,2_GALNT12.79695,2_GGPS1.9453,2_GIMAP4.55303,2_GIMAP7.168537,2_GIMAP8.155038,2_GPR133.283383,2_GSDMC.56169,2_HDAC2.3066,2_INCENP.3619,2_IRF1.3659,2_ITGB7.3695,2_KIAA0090.23065,2_LGALS2.3957,2_LMNB1.4001,2_MAGEA6.4105,2_MAP3K7.6885,2_MAX.4149,2_MEAF6.64769,2_MGC57346.401884,2_NAALADL1.10004,2_NAPSA.9476,2_NDUFAF1.51103,2_NEURL2.140825,2_NUDT13.25961,2_ODF3B.440836,2_P2RX1.5023,2_PEX11G.92960,2_PLA2G4C.8605,2_PLCG2.5336,2_PMP22.5376,2_POPDC2.64091,2_PPP2R2B.5521,2_PRKCDBP.112464,2_RAD18.56852,2_RAD21.5885,2_RAI2.10742,2_RELL1.768211,2_RGL4.266747,2_RPS27L.51065,2_SELM.140606,2_SERPINB1.1992,2_SHROOM2.357,2_SLC12A2.6558,2_SLC19A1.6573,2_SLFN12L.342615,2_SMARCC1.6599,2_SOX11.6664,2_TAF2.6873,2_TLR10.81793,2_TMEFF1.8577,2_TMEM176A.55365,2_TMEM48.55706,2_TPX2.22974,2_TRIM21.6737,2_TTK.7272,2_UCP2.7351,2_WDR43.23160,2_WISP1.8840,2_XPO1.7514,2_ZNF146.7705,2_ZNHIT6.54680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
