1_hsa.miR.3170,1_hsa.miR.324.3p,1_hsa.miR.3648,1_hsa.miR.92a.3p,2_ACCS.84680,2_ALAD.210,2_ANKRD28.23243,2_APOB.338,2_ARL8A.127829,2_B3GNT8.374907,2_BCL2L14.79370,2_BTG2.7832,2_BYSL.705,2_C10orf116.10974,2_C14orf50.145376,2_C4orf10.317648,2_C5orf4.10826,2_C8G.733,2_C8orf79.57604,2_CCL19.6363,2_CCNC.892,2_CFP.5199,2_CREG1.8804,2_DERL1.79139,2_DHH.50846,2_DHRS12.79758,2_DNASE1L3.1776,2_EHBP1L1.254102,2_EIF2C2.27161,2_ELAC1.55520,2_EPT1.85465,2_ETV6.2120,2_FCRLA.84824,2_FMO5.2330,2_FUBP1.8880,2_GALNT12.79695,2_GPR155.151556,2_HDAC2.3066,2_HES5.388585,2_HIST1H3I.8354,2_HN1.51155,2_HOXA11.3207,2_HSP90AB1.3326,2_IGFBP7.3490,2_KCND3.3752,2_KIAA1524.57650,2_KIAA1841.84542,2_LARS.51520,2_LOC100101266.100101266,2_LOC728743.728743,2_LRRC1.55227,2_LRRC17.10234,2_MARCH2.51257,2_MEX3A.92312,2_MKL1.57591,2_MKRN3.7681,2_MSH2.4436,2_NENF.29937,2_NKX3.2.579,2_NMUR1.10316,2_NTF3.4908,2_P2RY6.5031,2_PBXIP1.57326,2_PDE1B.5153,2_PHF6.84295,2_PITX2.5308,2_PLA2G4C.8605,2_PLCG1.5335,2_PLD4.122618,2_POLR1C.9533,2_PPP1R11.6992,2_PRELP.5549,2_PRIM2.5558,2_PRKAG1.5571,2_PRKCDBP.112464,2_RASGRP2.10235,2_RCC1.1104,2_RFC5.5985,2_RIPPLY2.134701,2_SEMA3A.10371,2_SLC12A3.6559,2_SLC24A4.123041,2_SLC48A1.55652,2_SMOC2.64094,2_ST6GALNAC1.55808,2_STOM.2040,2_TFAM.7019,2_TINAGL1.64129,2_TNPO1.3842,2_TPSD1.23430,2_TRIM21.6737,2_USP24.23358,2_VTN.7448,2_WDHD1.11169,2_WDR43.23160,2_YWHAE.7531,2_ZNF146.7705,2_ZNF219.51222,2_ZNF254.9534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
