1_hsa.miR.210.3p,1_hsa.miR.301a.3p,1_hsa.miR.3648,2_ADI1.55256,2_ALDH1A1.216,2_AMDHD2.51005,2_ARFGEF1.10565,2_ASPA.443,2_B3GNT8.374907,2_BAT3.7917,2_BEND3.57673,2_C10orf54.64115,2_C17orf44.284029,2_C22orf26.55267,2_CD79B.974,2_CDH2.1000,2_CECR1.51816,2_CHORDC1.26973,2_CHRNA10.57053,2_COL15A1.1306,2_CPXM2.119587,2_CX3CR1.1524,2_DPEP2.64174,2_DR1.1810,2_FAM101B.359845,2_FAM123B.139285,2_FAM161A.84140,2_GALNT12.79695,2_GANAB.23193,2_GGTA1.2681,2_GIMAP2.26157,2_GIMAP5.55340,2_GIMAP6.474344,2_GINS4.84296,2_GJA4.2701,2_GNAI3.2773,2_GTPBP4.23560,2_HAGH.3029,2_HMGCR.3156,2_HNRNPU.3192,2_IGLL1.3543,2_IL12B.3593,2_IL32.9235,2_INTS8.55656,2_KCNK7.10089,2_KHDRBS1.10657,2_KIF15.56992,2_KLF2.10365,2_KRCC1.51315,2_LGALS2.3957,2_LIG3.3980,2_LRFN5.145581,2_LRGUK.136332,2_LRRC70.100130733,2_MLLT11.10962,2_MOB2.81532,2_MSH2.4436,2_MYO1F.4542,2_NOD1.10392,2_NUDT13.25961,2_NUP153.9972,2_NUPL1.9818,2_P2RY6.5031,2_PAPSS1.9061,2_PFKFB4.5210,2_PGBD1.84547,2_PGK1.5230,2_PIK3C2B.5287,2_PPAT.5471,2_PPP1R11.6992,2_PPP2R2B.5521,2_PRRC1.133619,2_RBM41.55285,2_RBMX.27316,2_RIPK3.11035,2_RNF135.84282,2_RPS6KL1.83694,2_SEPT1.1731,2_SERP2.387923,2_SLC48A1.55652,2_SLC7A7.9056,2_SMARCC1.6599,2_SOX17.64321,2_SUPT3H.8464,2_SYNCRIP.10492,2_TAF2.6873,2_THOC2.57187,2_TPPP3.51673,2_TRIM47.91107,2_UBR5.51366,2_VAMP5.10791,2_WRNIP1.56897,2_ZC3H10.84872,2_ZNF280C.55609,2_ZNF563.147837
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
