1_hsa.miR.103a.2.5p,1_hsa.miR.19a.3p,1_hsa.miR.301a.3p,1_hsa.miR.3605.3p,1_hsa.miR.3648,1_hsa.miR.3677.3p,2_ALOX15.246,2_ALPK1.80216,2_APCDD1L.164284,2_APOL3.80833,2_AZIN1.51582,2_C11orf52.91894,2_C17orf103.256302,2_C19orf66.55337,2_C20orf160.140706,2_C22orf26.55267,2_C5orf20.140947,2_C9orf140.89958,2_CCDC41.51134,2_CCNA2.890,2_CD96.10225,2_COQ10B.80219,2_CTAGE9.643854,2_DNASE1L3.1776,2_DUSP3.1845,2_E2F3.1871,2_EDARADD.128178,2_EPR1.8475,2_FAIM3.9214,2_FAM171A2.284069,2_FAM92A1.137392,2_FMO4.2329,2_GALNT12.79695,2_GCN1L1.10985,2_GPC2.221914,2_HAPLN1.1404,2_HDAC2.3066,2_HMGB3.3149,2_HRASLS5.117245,2_HSPB2.3316,2_IL18BP.10068,2_ITGA7.3679,2_ITGAL.3683,2_ITM2B.9445,2_KCNK7.10089,2_KIAA0125.9834,2_KIAA0146.23514,2_LOC100130581.100130581,2_LOC115110.115110,2_LOC285548.285548,2_LRRC17.10234,2_MARCH2.51257,2_MGST2.4258,2_MOB2.81532,2_MSH2.4436,2_MX2.4600,2_MYLK2.85366,2_NCRNA00167.440072,2_NDUFAF1.51103,2_NUDT13.25961,2_ODC1.4953,2_ONECUT2.9480,2_OR2A7.401427,2_OSTalpha.200931,2_PARD6A.50855,2_PEX11G.92960,2_PFKFB2.5208,2_PGRMC1.10857,2_PHF11.51131,2_PLCG1.5335,2_POP1.10940,2_PRPS1L1.221823,2_QSOX2.169714,2_RASL10B.91608,2_RBMX.27316,2_RGL4.266747,2_RGS4.5999,2_RIPK3.11035,2_RPL7L1.285855,2_SCN1B.6324,2_SFRS7.6432,2_SGSM1.129049,2_SH3D20.201175,2_SIPA1.6494,2_SLC12A3.6559,2_SLC25A20.788,2_SOD2.6648,2_TCL1A.8115,2_TLR7.51284,2_TMEM129.92305,2_TOMM34.10953,2_TRIM29.23650,2_TSPAN6.7105,2_TTLL12.23170,2_TUBB.203068,2_UBE2CBP.90025,2_VMAC.400673,2_VPS18.57617,2_ZNHIT6.54680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
