0_age_at_initial_pathologic_diagnosis,1_ANKRD42.338699,1_ARMC9.80210,1_ARNTL.406,1_ARSE.415,1_BEX4.56271,1_C10orf75.90271,1_C6orf147.387097,1_CBS.875,1_CCNDBP1.23582,1_CCNYL1.151195,1_CDC6.990,1_CDKN2BAS.100048912,1_CDKN3.1033,1_CHRND.1144,1_DDB2.1643,1_DNAH11.8701,1_EFHB.151651,1_EFNB1.1947,1_EIF2AK4.440275,1_ELK1.2002,1_FCHSD2.9873,1_GPR1.2825,1_GPR156.165829,1_GSTA4.2941,1_HILS1.373861,1_HOXC9.3225,1_IQGAP3.128239,1_KIF18A.81930,1_KIF23.9493,1_KIF4A.24137,1_KLHL25.64410,1_LATS2.26524,1_LDHB.3945,1_LOC388387.388387,1_LOC541471.541471,1_LOC650368.650368,1_LOXL1.4016,1_LRRC27.80313,1_LSM2.57819,1_MAB21L1.4081,1_MAP1LC3C.440738,1_MCM6.4175,1_MFAP4.4239,1_MXD4.10608,1_NCAPG.64151,1_NDC80.10403,1_NDST4.64579,1_NIPAL2.79815,1_OCIAD2.132299,1_OLFML2A.169611,1_P2RY2.5029,1_PGAM1.5223,1_PLSCR1.5359,1_POC1A.25886,1_PRPS2.5634,1_PTGFRN.5738,1_PUF60.22827,1_RAB27A.5873,1_RAD18.56852,1_RCOR2.283248,1_RNF146.81847,1_ROR1.4919,1_RPL18A.6142,1_RPL6.6128,1_RPS27A.6233,1_RYR3.6263,1_SEL1L3.23231,1_SFRP2.6423,1_SHCBP1.79801,1_SKP2.6502,1_SLC4A3.6508,1_SMARCB1.6598,1_SMCP.4184,1_SNTB2.6645,1_SP5.389058,1_SP9.100131390,1_SSTR5.6755,1_SUFU.51684,1_SUMO2.6613,1_TDH.157739,1_TIMP1.7076,1_TMEM209.84928,1_TXN2.25828,1_WDR25.79446,1_WEE1.7465,1_ZNF32.7580,1_ZNF648.127665,1_ZNF816A.125893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
