0_age_at_initial_pathologic_diagnosis,1_ACAP1.9744,1_ADCY2.108,1_ASCC1.51008,1_ATP1A1.476,1_BAG1.573,1_BEX4.56271,1_BIRC5.332,1_BMP2.650,1_C17orf96.100170841,1_C22orf27.150291,1_CBS.875,1_CDKN2BAS.100048912,1_CDKN3.1033,1_CHRND.1144,1_CLEC18A.348174,1_COL8A1.1295,1_CRYL1.51084,1_DPY19L1.23333,1_ECT2.1894,1_EFHB.151651,1_EVC.2121,1_EXO1.9156,1_FAM19A3.284467,1_FAM35B2.439965,1_FAM45A.404636,1_FAM57B.83723,1_FBXO17.115290,1_FBXO4.26272,1_FZD6.8323,1_GALNT13.114805,1_GJC1.10052,1_GLUD2.2747,1_GPR1.2825,1_GPR3.2827,1_GPX8.493869,1_GSTA1.2938,1_HILS1.373861,1_IGFBP5.3488,1_JMJD1C.221037,1_LIMS3.96626,1_LMO4.8543,1_LOC100129034.100129034,1_LOC100132215.100132215,1_LOC645752.645752,1_MAGEH1.28986,1_MCM4.4173,1_MEST.4232,1_MRPL38.64978,1_MSN.4478,1_MT1A.4489,1_NCRNA00081.92482,1_NSUN7.79730,1_OGDH.4967,1_P2RY2.5029,1_PALM3.342979,1_PCDHB1.29930,1_PDIA4.9601,1_PLEKHG1.57480,1_PMFBP1.83449,1_PPP2R5A.5525,1_PRSS35.167681,1_PYGL.5836,1_RAB3D.9545,1_RDM1.201299,1_RIN1.9610,1_RNF39.80352,1_RPL24.6152,1_RSPH9.221421,1_SEMA3A.10371,1_SEMA4G.57715,1_SIPA1L1.26037,1_SLC26A2.1836,1_SMS.6611,1_SNHG1.23642,1_STEAP3.55240,1_SUFU.51684,1_TCEAL2.140597,1_TMEM131.23505,1_TNFAIP6.7130,1_TRIM8.81603,1_TRMT2B.79979,1_TROAP.10024,1_TTC22.55001,1_ULK4.54986,1_UPF3A.65110,1_WDR62.284403,1_WEE1.7465,1_ZNF648.127665,1_ZNF808.388558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
