0_age_at_initial_pathologic_diagnosis,1_..10431,1_ABCA12.26154,1_ABCC3.8714,1_ABLIM1.3983,1_ARMC9.80210,1_ARNTL.406,1_C10orf4.118924,1_CCDC46.201134,1_CCDC8.83987,1_CCNYL1.151195,1_CENPI.2491,1_CENPL.91687,1_CLNS1A.1207,1_CWF19L1.55280,1_DNAH11.8701,1_DUSP10.11221,1_EFNB1.1947,1_EIF3H.8667,1_EMP3.2014,1_EVC2.132884,1_FBXO39.162517,1_FERMT1.55612,1_FZD6.8323,1_GAS5.60674,1_GPR1.2825,1_GPR156.165829,1_HDDC2.51020,1_HIST1H2BJ.8970,1_HIST2H2BE.8349,1_HMGB1.3146,1_HS3ST3B1.9953,1_IQGAP2.10788,1_IRX5.10265,1_ISL2.64843,1_KDELC2.143888,1_KIAA0495.57212,1_LATS2.26524,1_LCTL.197021,1_LRRC27.80313,1_LSM2.57819,1_LYPD6.130574,1_MAGEH1.28986,1_METTL10.399818,1_MORC4.79710,1_NEK6.10783,1_NEK8.284086,1_NFE2L3.9603,1_NOG.9241,1_ODF2.4957,1_OSR2.116039,1_OTP.23440,1_PDIA4.9601,1_PGAM1.5223,1_PGF.5228,1_PKD2.5311,1_PLIN4.729359,1_PLP2.5355,1_PPPDE2.27351,1_PRICKLE3.4007,1_PROC.5624,1_PTGFRN.5738,1_RAB42.115273,1_RAD18.56852,1_RDM1.201299,1_RGR.5995,1_RIPPLY2.134701,1_RPL17.6139,1_RPP30.10556,1_RPS25.6230,1_SERPINA3.12,1_SHCBP1.79801,1_SLC35D1.23169,1_SPATS2L.26010,1_SUFU.51684,1_SULF2.55959,1_TBC1D10A.83874,1_TCF25.22980,1_TEAD3.7005,1_TMEM159.57146,1_TRMT2B.79979,1_TRPM8.79054,1_UROS.7390,1_WDR25.79446,1_WEE1.7465,1_YY2.404281,1_ZDHHC22.283576,1_ZNF347.84671,1_ZNF648.127665,1_ZNF808.388558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
