gen,evals,gen_feats,explored,Pam50 svm balanced accuracy_min,Pam50 svm balanced accuracy_avg,Pam50 svm balanced accuracy_max,Pam50 svm balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,9030,9030,0.2,0.5947136989861699,0.754152111020611,0.12443427420732336,0.0196078431372549,0.0936092830733318,1.0,0.16780149734571417
1,360,5335,9258,0.2,0.5968370005204902,0.7784450792536595,0.13603129888877602,0.017543859649122806,0.12237582681995841,1.0,0.19105242916515172
2,357,3338,9482,0.2,0.6131900838275601,0.7914115122455021,0.1439343069377597,0.01694915254237288,0.14108526586786982,1.0,0.2263876912408286
3,385,2384,9716,0.2,0.6173939378334924,0.7921626884644928,0.15808971496881863,0.017857142857142856,0.16766825831998974,1.0,0.2631066904842621
4,346,1789,9917,0.2,0.5914687815756048,0.7921626884644928,0.18056489181092683,0.017857142857142856,0.22737596722366651,1.0,0.3154553936221304
5,348,1293,10119,0.2,0.5683969459150735,0.7989253848761807,0.209154993354792,0.017241379310344827,0.2977987842156316,1.0,0.37386288075176183
6,344,1182,10325,0.2,0.522182221186472,0.8024277231592863,0.23683038634923356,0.017241379310344827,0.4020641885425044,1.0,0.42355916167991425
7,342,906,10511,0.2,0.43171573383479117,0.8072970557517911,0.24795959261614586,0.013513513513513514,0.5784309095170137,1.0,0.44018370230037146
8,330,817,10697,0.2,0.2966017793531188,0.8101393973843155,0.19397771701311636,0.01639344262295082,0.8277325776627088,1.0,0.3420426888780831
9,306,590,10889,0.2,0.21492814199864116,0.8101393973843155,0.08664699933098266,0.043478260869565216,0.9750014936186292,1.0,0.14462695638114334
10,301,480,11076,0.2,0.21583961515622213,0.8121351708749283,0.08904315644531181,0.04,0.9738776708074535,1.0,0.14607817390219657
11,309,515,11255,0.2,0.2207140152112044,0.8144150267475985,0.10343465643739065,0.037037037037037035,0.9663843206391032,1.0,0.16708929836012776
12,314,510,11438,0.2,0.22291617282352594,0.8207811180441578,0.10879585725435408,0.04,0.9629350364809955,1.0,0.17529840306784816
13,314,501,11608,0.2,0.22397178005574636,0.8207811180441578,0.1132316323347964,0.04,0.9618593472579379,1.0,0.17998373527583267
14,303,501,11767,0.2,0.22337589307031874,0.8207811180441578,0.11042539419841933,0.04,0.9631119382943525,1.0,0.17423470974665664
15,319,489,11921,0.2,0.22384569235588975,0.8207811180441578,0.11268381114781244,0.04,0.9626280498114231,1.0,0.17665139724020903
