0_ARHGAP11A,0_ARHGAP26,0_AURKA,0_C15orf48,0_CAPN8,0_D4S234E,0_EAF1,0_ESR1,0_FOXC1,0_HNRNPA1,0_KIF14,0_LCN15,0_MIA,0_SMC4,0_TPX2
1,1,1,0,0,1,0,1,1,0,0,0,1,1,0
0,0,1,0,0,0,1,1,1,0,0,1,1,1,0
0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
