0_ACMSD,0_CLDN8,0_CLRN3,0_DACT2,0_EPHA7,0_FAIM,0_NDUFA4L2,0_NELL1,0_TPK1
1,1,1,0,1,1,1,1,0
1,1,1,0,1,1,1,0,0
1,1,0,0,1,1,1,0,0
1,1,0,1,0,0,1,0,0
1,1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
