0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.144.5p,1_hsa.miR.296.5p,1_hsa.miR.92b.3p,2_ABCG2.9429,2_AMOT.154796,2_ANGPTL6.83854,2_BOLA3.388962,2_BUD31.8896,2_C16orf59.80178,2_C17orf62.79415,2_C5orf23.79614,2_C6orf186.728464,2_CDCA3.83461,2_DNTTIP1.116092,2_DUS1L.64118,2_EDNRB.1910,2_EIF5AL1.143244,2_EN2.2020,2_F2RL1.2150,2_FBXO48.554251,2_FKBP11.51303,2_GDF5.8200,2_HELQ.113510,2_HOXA3.3200,2_IGDCC4.57722,2_IGFN1.91156,2_IRF6.3664,2_ITGAE.3682,2_KIAA1161.57462,2_LOC220429.220429,2_LOC388796.388796,2_MEGF9.1955,2_MPV17L2.84769,2_NCKAP5L.57701,2_NOP56.10528,2_NPLOC4.55666,2_NUMB.8650,2_PEX6.5190,2_QRFPR.84109,2_SAA1.6288,2_SLC4A3.6508,2_SORBS2.8470,2_SYNJ2BP.55333,2_TBC1D8B.54885,2_TEK.7010,2_UBE2Q1.55585,2_ZNF385A.25946,2_ZNF836.162962
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
