0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.194.3p,1_hsa.miR.194.5p,2_ADAMTS14.140766,2_B4GALT3.8703,2_C17orf96.100170841,2_CBX4.8535,2_CCT3.7203,2_CDC7.8317,2_CDCA7.83879,2_CDK4.1019,2_COBL.23242,2_COL4A4.1286,2_COPS7A.50813,2_COX6B2.125965,2_DKFZp686O24166.374383,2_ENAM.10117,2_FAM72B.653820,2_FUT6.2528,2_GIPC2.54810,2_HHIPL2.79802,2_HHLA2.11148,2_HJURP.55355,2_HMGN1.3150,2_KCTD5.54442,2_KIAA0564.23078,2_LASS5.91012,2_METTL7A.25840,2_MOBKL2B.79817,2_MRPL9.65005,2_NCLN.56926,2_OR13A1.79290,2_PCCA.5095,2_PFDN4.5203,2_PLS1.5357,2_PRMT1.3276,2_PSMD7.5713,2_RAG1.5896,2_RBM47.54502,2_SCP2.6342,2_SHC1.6464,2_STRADA.92335,2_STX1A.6804,2_TBC1D8B.54885,2_TUBA1C.84790,2_UCK2.7371,2_WDR72.256764,2_ZIC2.7546
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
