
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5896
Features active in total: 5896
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 16
Generations completed = 34
Generations completed = 52
Generations completed = 70
Generations completed = 89
Generations completed = 107
Generations completed = 126
Generations completed = 144
Generations completed = 162
Generations completed = 181
Generations completed = 200
Generations completed = 219
Generations completed = 238
Generations completed = 257
Generations completed = 276
Generations completed = 295
Generations completed = 314
Generations completed = 333
Generations completed = 351
Generations completed = 370
Generations completed = 389
Generations completed = 408
Generations completed = 427
Generations completed = 447
Generations completed = 467
Generations completed = 487
   	     	         	        	            type svm balanced accuracy           	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min	avg     	max     	std      	min     	avg     	max	std     
35 	695  	794      	4644    	0.2	0.825228	0.961005	0.114715 	0  	0.595745	0.643588	0.0434212	0.136083	0.4138  	1  	0.154041
36 	703  	817      	4704    	0.2	0.837575	0.961005	0.109417 	0  	0.596794	0.643588	0.0420638	0.137361	0.398751	1  	0.153892
37 	710  	814      	4757    	0.2	0.836704	0.961005	0.107659 	0  	0.598082	0.643588	0.0417614	0.137361	0.399237	1  	0.152754
38 	710  	798      	4809    	0.2	0.839508	0.961005	0.105348 	0  	0.599651	0.643588	0.0418523	0.137361	0.395658	1  	0.152544
39 	708  	801      	4861    	0.2	0.848577	0.961005	0.100184 	0  	0.597006	0.643588	0.0410547	0.137361	0.388174	1  	0.146705
40 	713  	820      	4902    	0.2	0.851828	0.961005	0.0941009	0  	0.601884	0.643588	0.0396628	0.13484 	0.379209	1  	0.145534
41 	707  	816      	4946    	0.2	0.846124	0.961005	0.0970596	0  	0.602666	0.643588	0.0395944	0.132453	0.396167	1  	0.144252
42 	714  	806      	4996    	0.2	0.840123	0.961005	0.111497 	0  	0.600249	0.645993	0.0417368	0.13484 	0.395335	1  	0.161252
43 	697  	803      	5029    	0.2	0.851274	0.961005	0.103272 	0  	0.600707	0.645993	0.0406966	0.140028	0.375682	1  	0.157604
44 	695  	812      	5079    	0.2	0.850624	0.961005	0.104581 	0  	0.600147	0.650571	0.0397644	0.140028	0.377067	1  	0.160894
45 	697  	775      	5111    	0.2	0.847183	0.961005	0.108265 	0  	0.600101	0.650571	0.0420015	0.140028	0.376858	1  	0.163735
46 	705  	783      	5135    	0.2	0.842197	0.964115	0.109835 	0  	0.599102	0.650571	0.0421666	0.138675	0.383612	1  	0.161715
47 	708  	807      	5157    	0.2	0.848056	0.964115	0.102519 	0  	0.604442	0.650571	0.0409015	0.140028	0.375001	1  	0.15559 
48 	702  	845      	5197    	0.2	0.844339	0.964115	0.104386 	0  	0.602676	0.650571	0.0413708	0.140028	0.37902 	1  	0.157157
49 	715  	799      	5222    	0.2	0.845643	0.964115	0.100782 	0  	0.601646	0.650571	0.0408494	0.141421	0.386354	1  	0.153312
50 	709  	824      	5251    	0.2	0.853302	0.964115	0.0986603	0  	0.600148	0.650571	0.0405495	0.141421	0.369437	1  	0.15363 
51 	695  	830      	5285    	0.2	0.853591	0.964115	0.0978983	0  	0.601678	0.650571	0.0414421	0.142857	0.369913	1  	0.155425
52 	711  	830      	5306    	0.2	0.854864	0.964115	0.103431 	0  	0.602323	0.650571	0.0419324	0.142857	0.358586	1  	0.161407
53 	689  	828      	5330    	0.2	0.847002	0.964115	0.107556 	0  	0.602048	0.650571	0.0415232	0.142857	0.373318	1  	0.159303
54 	698  	782      	5349    	0.2	0.846789	0.964734	0.105874 	0  	0.600903	0.650571	0.0413256	0.142857	0.376658	1  	0.156838
55 	703  	833      	5365    	0.2	0.840716	0.964734	0.107303 	0  	0.602104	0.650571	0.0417396	0.142857	0.384968	1  	0.152566
56 	714  	836      	5390    	0.2	0.840378	0.964734	0.106281 	0  	0.600816	0.650571	0.042563 	0.142857	0.3915  	1  	0.153105
57 	716  	839      	5406    	0.2	0.847887	0.964734	0.103728 	0  	0.602809	0.650571	0.0417279	0.142857	0.373584	1  	0.155511
