inner_cv_RF4_bal_acc,inner_cv_root_leanness,train_RF4_bal_acc,train_root_leanness,test_RF4_bal_acc,test_root_leanness
0.9234359734353748,0.16666666666666666,0.9709144868626594,0.16666666666666666,0.7935168334593343,0.16666666666666666
0.9148552841530285,0.24253562503633297,0.9699097696573161,0.24253562503633297,0.7669667861169676,0.24253562503633297
0.9152176288912807,0.2773500981126146,0.9637103551705771,0.2773500981126146,0.7599872490087657,0.2773500981126146
0.9135180708074025,0.28867513459481287,0.9744033724072059,0.28867513459481287,0.7806022719471195,0.28867513459481287
0.9065595110789746,0.30151134457776363,0.9556085469511494,0.30151134457776363,0.746626929200369,0.30151134457776363
0.9049307788988665,0.31622776601683794,0.9521428437232178,0.31622776601683794,0.745414096425907,0.31622776601683794
0.9026796946589801,0.3333333333333333,0.9524094111434815,0.3333333333333333,0.7300191028737473,0.3333333333333333
0.8958028844880208,0.3535533905932738,0.9545564269715145,0.3535533905932738,0.7462686729094203,0.3535533905932738
0.8876649217114122,0.3779644730092272,0.9643236146114417,0.3779644730092272,0.7736759421487651,0.3779644730092272
0.8781153578430074,0.408248290463863,0.9384972660000004,0.408248290463863,0.760962913578661,0.408248290463863
0.8802960912169049,0.408248290463863,0.9291701191343288,0.408248290463863,0.7499474578632054,0.408248290463863
0.8655056579687052,0.4472135954999579,0.9271417334298638,0.4472135954999579,0.7440984012594317,0.4472135954999579
0.8395950602404096,0.5,0.8869773413163629,0.5,0.7376984337509012,0.5
0.7684084167299379,0.5773502691896257,0.879230770042586,0.5773502691896257,0.698898866828708,0.5773502691896257
0.656327658609873,0.7071067811865476,0.7551801828369683,0.7071067811865476,0.6142703545544071,0.7071067811865476
0.20000000000000004,1.0,0.2,1.0,0.2,1.0
