0_C6orf97,0_CCNB1,0_CDCA8,0_DNAH7,0_ESR1,0_FOXC1,0_GFM2,0_GPR77,0_KLHDC1,0_MIA,0_MYH11,0_NUF2,0_POTEG,0_SOX10,0_TPX2,0_UBE2T
0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0
0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
