0_AURKA,0_BUB1,0_C12orf48,0_C6orf97,0_CCNA2,0_CLSPN,0_ESR1,0_FOXA1,0_FOXC1,0_GNGT2,0_JAK2,0_KIF12,0_KRT14,0_LOC90246,0_MCM10,0_MCM2,0_MIA,0_MLPH,0_NAT1,0_SCN2A,0_TTK
1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
