gen,0_ABCA3,0_ABCD1,0_ACBD5,0_ACIN1,0_ACTL6A,0_ACTN3,0_ADAM33,0_ADAMTSL4,0_ADAR,0_ADCY2,0_ADCY3,0_ADCY9,0_ADD1,0_ADSL,0_AFAP1,0_AFG3L2,0_AFTPH,0_AGL,0_AK7,0_AKAP1,0_AKAP8L,0_ALAD,0_ALDH1A1,0_ALDH1L2,0_ALDH4A1,0_ALDH6A1,0_ALG13,0_ALG3,0_ALG9,0_ANAPC4,0_ANK3,0_ANKRD11,0_ANKRD13D,0_ANKRD26,0_ANP32B,0_ANP32E,0_ANXA11,0_ANXA3,0_ANXA7,0_AP1G1,0_APCS,0_APLP2,0_APOBEC3A,0_APOBEC3G,0_APOOL,0_AQP1,0_ARHGEF16,0_ARID5A,0_ARNT2,0_ARPC5L,0_ASAH1,0_ATAD2,0_ATAD3B,0_ATF4,0_ATM,0_ATP10D,0_ATP6V0A1,0_AUP1,0_AZIN1,0_BBC3,0_BBX,0_BCL2L14,0_BDH2,0_BGN,0_BIRC2,0_BIRC5,0_BLK,0_BNIP1,0_BRAF,0_BRD3,0_BRD4,0_BRD8,0_BRF2,0_BSG,0_BST2,0_BTF3L4,0_BTN2A1,0_BTN3A3,0_BUB3,0_BYSL,0_BZW2,0_C11orf80,0_C1orf162,0_C1orf226,0_C3orf18,0_C4BPA,0_C4orf19,0_C5orf24,0_C5orf46,0_C8G,0_CA13,0_CAB39L,0_CADM4,0_CALHM2,0_CAMSAP1,0_CAPN1,0_CAPZB,0_CASP10,0_CASP4,0_CBR4,0_CBX1,0_CCDC59,0_CCDC88C,0_CCT3,0_CCT6B,0_CD276,0_CD300C,0_CD47,0_CDC123,0_CDCA5,0_CDH23,0_CDHR2,0_CDK17,0_CDKN1A,0_CDKN2A,0_CDR2L,0_CEP55,0_CFHR1,0_CFHR5,0_CHAC1,0_CHPF2,0_CHRD,0_CHST12,0_CHST15,0_CITED2,0_CKS1B,0_CLK2,0_CLMN,0_CLN5,0_CMTM1,0_CMTM4,0_CNOT1,0_CNOT2,0_CNTNAP1,0_COG1,0_COL4A1,0_COPS3,0_COQ7,0_COX10,0_CPE,0_CPSF7,0_CRISP3,0_CRP,0_CRTC2,0_CRYAB,0_CRYZ,0_CSF1R,0_CSNK2B,0_CSRNP2,0_CSRNP3,0_CTBP2,0_CTDSPL,0_CTNNA1,0_CTTNBP2,0_CUL1,0_CUX1,0_CWC15,0_CXCR5,0_CYB5D2,0_CYFIP1,0_CYFIP2,0_CYGB,0_CYTH4,0_DAXX,0_DCAF12L1,0_DCTN5,0_DDAH1,0_DDIT4,0_DDX11,0_DDX55,0_DECR1,0_DEPDC1,0_DGCR8,0_DGUOK,0_DHODH,0_DHX16,0_DLST,0_DLX5,0_DMGDH,0_DMXL2,0_DNAJA2,0_DNAJB11,0_DNAJB7,0_DNAJC2,0_DNAJC5,0_DNASE1L3,0_DNMT3B,0_DPAGT1,0_DPH5,0_DPYSL4,0_DSN1,0_DTNA,0_DUSP8,0_EDNRB,0_EEA1,0_EEF1B2,0_EGR1,0_EGR4,0_EIF2B5,0_EIF2S2,0_EIF3B,0_EIF3D,0_EIF4E3,0_EIF4EBP1,0_ELMOD2,0_ELMOD3,0_ELOVL7,0_EME1,0_ENTPD2,0_EPSTI1,0_ESF1,0_EXOSC9,0_EYA4,0_F2,0_F2RL1,0_FAAH,0_FADS1,0_FAM122B,0_FAM156A,0_FAM160A1,0_FAM171A1,0_FAM20A,0_FAM47E,0_FAM83H,0_FAR1,0_FBXO21,0_FBXO5,0_FECH,0_FGF9,0_FH,0_FHIT,0_FKBP10,0_FKBP7,0_FLAD1,0_FLRT3,0_FMO4,0_FPR2,0_FRK,0_FTH1,0_FXR2,0_FZD4,0_G6PC,0_GAB3,0_GABPA,0_GABPB1,0_GALNT5,0_GANAB,0_GAR1,0_GAS8,0_GCDH,0_GCSH,0_GGA3,0_GGH,0_GLI2,0_GLIPR2,0_GLOD5,0_GLRX5,0_GOLT1B,0_GORAB,0_GORASP2,0_GOT1,0_GOT2,0_GPC4,0_GPHN,0_GPR107,0_GPR176,0_GRAMD1B,0_GRAMD1C,0_GRB7,0_GREM2,0_GRHL1,0_GRHPR,0_GSS,0_GSTK1,0_GTPBP2,0_GYS1,0_HAPLN3,0_HBP1,0_HDAC1,0_HECTD2,0_HHAT,0_HINT2,0_HIRA,0_HIVEP3,0_HMGCL,0_HMGN2,0_HNF1B,0_HNRNPA2B1,0_HNRNPAB,0_HNRNPF,0_HOXC13,0_HS1BP3,0_HSD17B11,0_HSD17B14,0_HSD17B8,0_HSPA6,0_HTRA3,0_HTT,0_IDH3G,0_IDO1,0_IFI30,0_IFI35,0_IGF1R,0_IL15RA,0_IL17RD,0_ILDR1,0_IMMP2L,0_IMMT,0_IMPA2,0_INPP5A,0_INPP5B,0_INTS3,0_INTS8,0_IP6K1,0_IRF3,0_ISLR,0_IVD,0_JAKMIP2,0_JMJD6,0_JUP,0_KANK2,0_KCNE3,0_KCNJ15,0_KCTD16,0_KDM2A,0_KIAA1143,0_KIAA1522,0_KIAA1614,0_KIAA1755,0_KIF13B,0_KIF18A,0_KIF20A,0_KIF4A,0_KIF7,0_KIF9,0_KISS1R,0_KLHL36,0_KRT4,0_KYNU,0_L2HGDH,0_LARS2,0_LBP,0_LDHD,0_LGI4,0_LGR5,0_LIG3,0_LMNB1,0_LMNB2,0_LNX2,0_LRBA,0_LRCH2,0_LRFN3,0_LRP5,0_LRRC40,0_LRRN4CL,0_LRTOMT,0_LSG1,0_LSM2,0_LTV1,0_LUC7L2,0_LUC7L3,0_LYPD6,0_MAGEA4,0_MAP1LC3B2,0_MAP2K1,0_MAPKAPK2,0_MAVS,0_MBD4,0_MBNL1,0_MCAT,0_MCCC1,0_MCCC2,0_MCM4,0_MCM5,0_MCM6,0_MCM9,0_MED6,0_MED8,0_MEP1A,0_MFGE8,0_MFSD6,0_MFSD9,0_MGAT3,0_MIA2,0_MIPEP,0_MKI67,0_MLLT3,0_MON1B,0_MORC2,0_MPHOSPH10,0_MPND,0_MPV17L,0_MRPL44,0_MRPL9,0_MRPS35,0_MST1R,0_MSTO1,0_MTA2,0_MUS81,0_MYC,0_MYEF2,0_MYO10,0_MYO5B,0_N4BP1,0_NAA10,0_NAALADL1,0_NAP1L1,0_NASP,0_NAT10,0_NAV1,0_NBEA,0_NCAPG2,0_NCAPH,0_NCK1,0_NCL,0_NDRG2,0_NDST2,0_NDUFA10,0_NDUFA4L2,0_NDUFB6,0_NDUFS4,0_NEK1,0_NF2,0_NFAT5,0_NFE2L1,0_NFIL3,0_NFYB,0_NIPAL3,0_NIT1,0_NKX2-2,0_NLN,0_NME2,0_NMUR1,0_NOP16,0_NOP2,0_NOP56,0_NPEPL1,0_NPR3,0_NR1D2,0_NR1H3,0_NUDT1,0_NUDT11,0_NUP50,0_OCLN,0_ODC1,0_ODF2,0_OTUD6B,0_OXNAD1,0_OXSM,0_P4HA3,0_PADI1,0_PAFAH2,0_PAK1IP1,0_PAPOLG,0_PARVA,0_PATL1,0_PATZ1,0_PAX9,0_PAXIP1,0_PCBP3,0_PCCA,0_PCDH18,0_PCDHB7,0_PCDHGA1,0_PCK1,0_PCLO,0_PCYOX1,0_PDCD5,0_PDCL2,0_PDE10A,0_PDK2,0_PDPK1,0_PEBP1,0_PEX26,0_PFDN2,0_PFDN6,0_PGAM2,0_PGAP3,0_PGLYRP2,0_PGPEP1,0_PHLDB3,0_PHYH,0_PIF1,0_PIGH,0_PIGR,0_PIK3R6,0_PJA1,0_PKP4,0_PLCD1,0_PLCE1,0_PLCXD1,0_PLEC,0_PLK1,0_PMPCA,0_PMPCB,0_PNN,0_PNPLA4,0_POC1A,0_POLR2H,0_PON2,0_POU2F1,0_PPA2,0_PPAN-P2RY11,0_PPIH,0_PPIP5K1,0_PPM1H,0_PPP1R9A,0_PPWD1,0_PQBP1,0_PRAF2,0_PRDM11,0_PRDX2,0_PRDX5,0_PRKAA2,0_PRKCSH,0_PROC,0_PRPF19,0_PRPF40A,0_PRPF4B,0_PRR15L,0_PRR16,0_PRTFDC1,0_PSMA3,0_PSMA6,0_PSMB1,0_PSMB4,0_PSMD12,0_PSMD13,0_PSMG3,0_PTER,0_PTGIS,0_PTGR2,0_PTPN21,0_PTRH2,0_PUS7,0_PXMP4,0_RAB5C,0_RAD23A,0_RAD54L2,0_RANBP1,0_RASGRF1,0_RASSF1,0_RB1CC1,0_RBM26,0_RBM28,0_RBM38,0_RBM45,0_RBM47,0_RBMX2,0_RCOR3,0_RFX7,0_RIC8B,0_RNASEH2C,0_RNASET2,0_RNF167,0_RNF17,0_RNF4,0_RNF7,0_RPA4,0_RPGR,0_RPL10,0_RPL10L,0_RPL12,0_RPL13A,0_RPL19,0_RPL23,0_RPL24,0_RPL27,0_RPL27A,0_RPLP2,0_RPS18,0_RPS27A,0_RPS4X,0_RPS6KB1,0_RPS6KL1,0_RPS7,0_RRAGD,0_RRP8,0_RTKN,0_S1PR2,0_SALL1,0_SAP30BP,0_SART3,0_SBNO2,0_SCAPER,0_SCARF2,0_SCGB1D2,0_SCIN,0_SCLT1,0_SCML4,0_SCO1,0_SCOC,0_SDF2L1,0_SDHA,0_SEC24B,0_SEC24D,0_SEC63,0_SECISBP2,0_SEMA3A,0_SEMA5A,0_SENP7,0_SEPHS2,0_SERPINA3,0_SERPINA4,0_SERPINB5,0_SH3BGRL2,0_SH3GL1,0_SHC1,0_SHMT2,0_SHROOM2,0_SHROOM3,0_SIK2,0_SIRT3,0_SKA1,0_SLC13A1,0_SLC13A5,0_SLC16A1,0_SLC1A1,0_SLC25A23,0_SLC25A4,0_SLC27A2,0_SLC2A9,0_SLC3A1,0_SLC47A1,0_SLC6A12,0_SLC9A2,0_SLMAP,0_SMAGP,0_SMARCA2,0_SMC1A,0_SMC4,0_SMG6,0_SMPD3,0_SMS,0_SMTN,0_SNAI2,0_SNN,0_SNRNP40,0_SNRPA,0_SNRPA1,0_SNRPD1,0_SNRPD3,0_SOCS3,0_SOD2,0_SP100,0_SPAG16,0_SPAG5,0_SPATA18,0_SPRYD3,0_SPTBN1,0_SQLE,0_SRM,0_SRP19,0_SRPX2,0_SRRM2,0_SRRT,0_SSB,0_SSC5D,0_SSR1,0_SSR3,0_ST3GAL2,0_ST8SIA1,0_STAT3,0_STAT4,0_STC2,0_STRADB,0_STRBP,0_STXBP5,0_SUB1,0_SUDS3,0_SV2C,0_SYNGR1,0_SYNGR3,0_TAF9B,0_TANK,0_TARDBP,0_TBC1D19,0_TBCA,0_TBCE,0_TBX2,0_TCERG1,0_TCIRG1,0_TDG,0_THOC1,0_THOC2,0_THRSP,0_TIMM9,0_TJP2,0_TLE1,0_TLE2,0_TM9SF4,0_TMCO1,0_TMED4,0_TMEM192,0_TMPPE,0_TNFRSF11B,0_TNFRSF18,0_TNFRSF1B,0_TNFSF13B,0_TNK2,0_TNKS1BP1,0_TNPO1,0_TOE1,0_TOPBP1,0_TPD52,0_TPX2,0_TRAIP,0_TREM1,0_TRIB3,0_TRIM11,0_TRIM27,0_TRIM35,0_TRIM52,0_TRIO,0_TRMT6,0_TSEN15,0_TSPYL2,0_TSTD1,0_TTC32,0_TTC39C,0_TUBA1B,0_TUBB,0_TUFM,0_TXNDC5,0_U2AF1L4,0_U2AF2,0_UAP1,0_UBA2,0_UBAC1,0_UBAP2L,0_UBB,0_UBE2D1,0_UBE2D2,0_UBE2L6,0_UBE3B,0_UBXN6,0_UFC1,0_UGGT1,0_UNC5B,0_UPK1B,0_UPK3B,0_UROC1,0_USF1,0_USP2,0_USP45,0_USP7,0_VAMP8,0_VAPB,0_VASP,0_VBP1,0_VEGFA,0_VGLL4,0_VPS16,0_VPS4A,0_WDFY3,0_WDR17,0_WDR48,0_WDR53,0_WDR77,0_WLS,0_WTAP,0_XK,0_XKR9,0_YBX1,0_YWHAE,0_YY1,0_ZBTB20,0_ZBTB4,0_ZBTB44,0_ZBTB8OS,0_ZCCHC24,0_ZDHHC15,0_ZFAND2A,0_ZFPM2,0_ZNF131,0_ZNF19,0_ZNF22,0_ZNF224,0_ZNF251,0_ZNF304,0_ZNF337,0_ZNF37A,0_ZNF433,0_ZNF443,0_ZNF532,0_ZNF610,0_ZNF677,0_ZNF689,0_ZNF7,0_ZRANB2
0,307,0,0,0,0,0,18,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,29,0,118,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,151,92,0,0,144,0,0,176,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,290,214,0,0,36,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,202,84,0,0,0,0,146,77,0,0,0,0,0,0,155,0,0,0,0,0,0,0,244,0,0,0,0,0,241,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,44,0,0,82,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,49,0,0,0,0,1,0,228,0,0,31,0,77,0,92,0,0,0,0,0,198,42,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,176,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,87,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,152,0,0,64,0,0,0,0,87,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,283,133,0,0,0,0,128,0,0,0,0,0,0,0,0,228,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,86,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,251,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,206,0,0,0,0,0,0,0,0,35,0,0,0,97,137,0,0,0,0,0,0,146,0,0,0,97,0,0,97,0,0,0,0,3,160,167,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,311,181,0,0,0,0,0,19,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,82,192,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,15,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,41,2,0,0,1,0,1,3,0,0,0,0,7,2,5,0,1,2,0,0,3,2,1,0,0,0,0,0,0,3,3,2,0,2,0,0,1,0,1,1,0,0,0,0,1,1,2,0,1,2,0,0,1,1,1,4,1,0,3,2,2,4,1,0,0,1,0,0,4,1,0,0,0,0,0,2,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,10,0,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,1,0,0,0,3,0,2,0,1,1,2,0,0,2,0,0,0,0,1,1,1,1,10,5,2,0,0,1,0,17,1,0,0,0,0,0,1,2,1,0,6,0,0,1,17,1,0,0,2,1,0,0,3,1,1,1,0,7,17,2,0,0,5,6,0,58,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,9,9,7,0,0,1,0,1,1,1,0,1,2,0,0,0,1,7,7,0,0,1,17,3,1,49,0,1,0,2,0,3,1,0,0,1,0,0,29,0,0,0,1,4,1,0,0,0,0,1,13,1,6,1,1,1,1,0,6,17,1,0,0,0,25,1,0,1,2,2,0,0,3,1,2,0,0,1,0,1,4,0,0,2,1,1,1,11,2,0,1,0,1,0,3,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,10,145,3,1,0,1,2,0,0,364,0,1,5,2,6,0,9,1,2,1,0,0,22,0,0,1,2,41,62,1,1,1,1,4,1,7,0,19,0,4,0,149,1,1,0,2,1,0,7,0,1,1,0,0,0,0,0,2,0,0,0,1,2,3,1,9,0,6,0,0,46,1,2,0,1,2,1,1,1,1,28,0,5,1,0,0,12,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,18,1,17,2,2,0,1,0,6,0,0,0,1,0,1,0,1,4,1,0,5,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,82,0,0,0,2,1,8,1,0,1,0,0,0,3,0,4,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,0,5,0,1,2,2,3,4,1,1,4,0,2,2,1,1,2,2,2,0,1,1,0,1,0,26,0,1,0,0,0,25,2,0,0,0,0,0,0,0,1,7,0,0,0,2,1,1,1,0,0,9,1,0,0,3,0,0,0,2,1,0,0,9,2,0,4,9,2,7,2,1,0,3,2,0,1,5,0,1,2,0,6,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,4,0,0,0,1,1,2,2,1,1,14,0,4,2,0,0,5,0,0,2,0,1,1,0,1,0,6,2,0,1,0,3,0,1,2,0,0,2,3,0,1,0,6,1,2,0,52,10,3,1,2,0,0,0,2,2,0,2,0,1,1,0,1,0,0,2,2,0,1,0,0,2,5,0,0,10,2,0,19,8,2,1,0,2,2,29,0,1,0,1,0,1,0,0,17,0,0,2,0,1,7,0,10,1,0,1,0,3,0,0,64,0,0,1,0,1,0,0,3,1,4,1,1,1,1,2,0,0,0,1,0,0,1,5,3,2,1,1,0,0,27,0,0,0,0,0,2,6,0,2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,1,11,1,1,1,1,1,1,16,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
200,25,1,1,0,1,0,0,1,1,0,1,0,7,3,6,1,0,1,1,1,2,4,3,0,1,0,0,1,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,1,1,3,3,0,2,1,1,0,1,0,2,0,0,4,5,0,2,0,1,0,1,0,0,2,0,0,0,0,2,0,2,1,0,2,1,0,3,2,0,1,0,0,1,1,0,0,4,1,2,5,3,0,1,1,0,1,3,3,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,3,1,2,1,0,0,4,2,0,1,1,0,0,0,0,4,0,1,8,2,1,2,1,1,1,18,0,0,1,2,0,0,0,0,0,0,4,0,1,0,11,0,1,1,3,1,1,0,4,1,1,0,1,5,12,3,0,4,2,4,1,43,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,10,6,2,1,0,0,1,1,4,1,0,0,2,1,0,0,1,2,7,0,0,0,18,1,1,32,0,1,0,2,0,1,0,0,0,0,0,0,16,2,1,1,4,3,0,0,1,0,1,0,12,0,6,1,1,1,0,0,6,18,0,1,2,0,45,0,0,0,0,0,1,0,3,1,3,1,0,3,0,2,6,1,2,2,0,4,0,12,0,4,0,2,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,1,0,1,1,1,0,0,14,146,0,1,0,0,2,0,0,391,0,1,2,3,4,1,10,0,1,0,1,0,10,0,0,1,2,40,76,0,2,2,0,5,0,5,1,12,0,3,0,150,2,0,2,3,3,0,6,1,0,1,0,0,1,1,1,0,0,1,1,1,2,1,0,12,0,7,1,0,31,0,0,1,1,2,0,2,2,0,29,2,2,1,1,0,15,0,1,1,0,0,0,3,0,1,0,0,1,1,1,0,0,0,1,0,15,0,15,1,3,0,0,2,11,1,0,0,0,0,1,0,0,3,2,1,1,0,0,1,0,1,1,1,0,1,3,1,0,1,0,2,62,0,1,0,1,1,4,2,0,0,0,0,2,2,1,2,2,0,3,0,1,0,4,0,1,0,0,1,1,0,0,1,0,0,3,0,4,1,3,0,4,0,2,1,0,3,5,0,1,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,19,0,2,0,0,1,27,7,0,0,2,0,1,0,0,0,11,7,1,0,2,1,0,1,0,1,8,0,0,0,4,2,1,5,3,4,0,0,7,0,0,2,17,2,4,4,1,1,5,1,2,1,6,1,0,0,1,3,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,1,0,18,1,1,1,0,0,3,0,0,0,0,1,1,0,2,0,4,1,1,0,0,1,0,0,4,0,0,1,1,1,1,1,5,1,1,0,41,9,2,2,0,1,2,0,1,2,0,1,1,0,0,0,0,0,1,2,2,1,0,1,0,1,4,0,0,20,3,3,18,6,4,3,0,1,0,17,0,1,0,0,1,3,0,0,23,0,0,1,0,0,5,0,6,2,0,1,0,4,2,1,95,0,1,0,0,0,1,1,3,0,1,0,0,2,2,1,0,0,7,1,0,0,3,7,2,5,0,0,0,1,25,0,2,0,2,1,3,14,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,11,1,1,2,2,0,1,14,0,1,0,0,1,0,0,0,1,0,4,0,1,0,1,4,2
300,15,0,0,0,1,1,0,1,0,0,0,1,2,3,8,1,0,2,0,0,2,10,2,1,1,1,1,0,1,0,0,3,0,1,1,1,0,1,0,1,0,1,0,1,1,1,4,0,0,0,1,1,0,1,0,2,0,1,2,2,0,4,0,1,1,1,0,1,0,0,1,1,0,2,1,1,1,2,0,1,0,2,2,1,1,0,0,2,2,0,2,3,2,3,6,2,1,2,0,1,1,3,1,1,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,1,0,1,1,0,5,1,2,1,0,0,8,4,1,1,3,0,1,0,0,6,0,0,8,1,0,1,1,1,2,14,0,0,1,2,0,1,0,0,0,1,2,0,1,0,9,0,1,1,0,1,1,0,3,0,0,2,0,2,10,4,0,2,2,1,2,33,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,3,4,0,1,0,0,1,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,11,1,1,19,2,1,1,1,1,2,0,1,1,0,2,1,12,2,2,1,2,2,0,1,0,1,0,1,12,0,4,1,1,1,0,0,6,18,0,0,0,0,48,0,0,0,0,0,2,0,3,1,2,1,2,1,1,0,5,0,1,0,0,3,0,15,0,4,0,2,3,0,0,1,1,1,2,0,1,0,3,0,1,1,1,1,11,1,0,0,0,1,4,1,0,1,13,151,0,1,0,0,2,0,0,403,0,1,0,2,3,1,10,0,1,0,3,0,8,0,2,1,4,40,81,0,3,2,0,5,0,6,3,11,0,3,0,152,0,0,3,4,4,0,2,0,0,0,0,1,0,1,1,0,0,0,1,3,1,1,0,12,0,9,0,0,31,0,0,3,0,1,0,2,2,0,33,7,2,1,2,1,20,0,3,0,1,0,0,4,0,1,0,0,2,1,1,0,0,0,1,1,12,0,10,1,3,0,0,1,19,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,3,1,2,0,0,1,0,2,59,0,1,2,0,0,4,1,2,0,0,2,5,1,0,2,2,1,3,1,2,0,3,0,0,1,1,0,1,0,0,0,0,0,3,0,6,1,3,0,0,0,2,1,0,3,2,0,0,1,2,0,3,1,0,0,0,0,0,0,2,0,0,0,17,0,5,0,0,1,27,2,0,0,2,1,0,0,1,0,10,8,0,0,2,1,0,3,1,1,7,0,0,0,1,1,1,1,2,4,0,0,10,0,0,2,25,0,5,3,1,2,5,1,1,2,7,2,0,0,1,5,1,0,0,2,0,0,2,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,2,0,0,28,1,1,2,0,0,2,1,1,0,1,1,1,0,1,0,5,3,1,0,3,1,0,0,4,0,0,1,1,1,0,1,9,0,1,1,39,13,1,2,0,0,2,0,0,2,1,1,1,0,0,0,0,1,1,3,3,1,0,1,0,0,5,0,0,12,2,1,18,3,3,3,0,0,0,7,0,0,1,0,1,3,1,0,23,0,0,0,1,0,4,0,4,2,0,1,0,4,2,3,100,0,0,0,2,0,1,0,2,0,1,0,0,1,3,0,0,0,8,0,0,0,1,3,1,1,0,0,1,0,32,5,2,0,3,0,7,11,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,4,0,1,1,2,0,1,17,0,1,1,2,1,1,1,1,1,0,6,0,0,0,1,2,3
