gen,evals,gen_feats,explored,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std,survival SKSurv Cox model adjusted concordance index_min,survival SKSurv Cox model adjusted concordance index_avg,survival SKSurv Cox model adjusted concordance index_max,survival SKSurv Cox model adjusted concordance index_std
0,500,109,109,0.14002800840280097,0.24376849215184826,1.0,0.13883091612720128,0.35607391159950075,0.5850843148508921,0.7452253475980464,0.06513576626835861
1,506,328,328,0.1386750490563073,0.2840259073271978,1.0,0.1275807416615119,0.4978673479126651,0.6334869280985531,0.7452253475980464,0.04298684417545462
2,500,401,549,0.1386750490563073,0.34302672684827623,1.0,0.1303262224494827,0.4978673479126651,0.6634282770201112,0.7472967758872844,0.03320600168437602
3,500,440,763,0.1386750490563073,0.4037951021465663,1.0,0.12088124610157087,0.4978673479126651,0.6830366525760463,0.7489123004250375,0.029449149061930094
4,500,447,943,0.14433756729740643,0.45603132320048506,1.0,0.11320644511370233,0.4978673479126651,0.699307472707102,0.7489123004250375,0.02993392112039244
5,500,474,1105,0.30151134457776363,0.48650398457922095,1.0,0.11917655171097469,0.4978673479126651,0.7144259384653171,0.7489123004250375,0.026581823759425017
6,500,526,1284,0.31622776601683794,0.5059678987492875,1.0,0.11866510047251272,0.4978673479126651,0.7218089897294389,0.7505575980308279,0.029335767693566713
7,500,503,1403,0.3333333333333333,0.5134183506436764,1.0,0.11547353335230803,0.4978673479126651,0.7295233804446661,0.7509747703462025,0.02325060265891881
8,500,509,1533,0.3535533905932738,0.5204062556445005,1.0,0.11280491183317341,0.4978673479126651,0.7331540106980626,0.7509747703462025,0.020564894727995064
9,500,522,1657,0.3779644730092272,0.5271685587350653,1.0,0.1104017607487863,0.4978673479126651,0.735288546828881,0.7509747703462025,0.019426588446462795
10,500,519,1778,0.3779644730092272,0.5274713969096116,1.0,0.11003298948750054,0.4978673479126651,0.7372665956648597,0.7509747703462025,0.01834515973480059
11,500,484,1874,0.3779644730092272,0.5301689450202407,1.0,0.1093571441389192,0.4978673479126651,0.7385624796663838,0.7509747703462025,0.016812229592773065
12,500,543,1977,0.3779644730092272,0.5331087636705069,1.0,0.1082976427769188,0.4978673479126651,0.7392954782224435,0.7509747703462025,0.016336579820266185
13,500,564,2074,0.3779644730092272,0.5341322546106616,1.0,0.10798091239508191,0.4978673479126651,0.740086980918731,0.7509747703462025,0.01583536350207411
14,500,531,2151,0.3779644730092272,0.5374882078284514,1.0,0.1065777059132933,0.4978673479126651,0.7404842466495434,0.7509747703462025,0.015574057043345598
15,500,522,2231,0.408248290463863,0.5384846964022577,1.0,0.10646234893411165,0.4978673479126651,0.7408228302130214,0.7509747703462025,0.01538295827791153
16,500,541,2295,0.408248290463863,0.5423381953355261,1.0,0.10536894805177716,0.4978673479126651,0.7409445040372997,0.7511149194960619,0.015337193551189763
17,500,544,2355,0.408248290463863,0.5435355503035676,1.0,0.10505128377542465,0.4978673479126651,0.7411816716082388,0.7511149194960619,0.01507468691807503
18,500,509,2405,0.408248290463863,0.5441332672850129,1.0,0.10513001839184735,0.4978673479126651,0.7413670832134935,0.7511149194960619,0.015010070800287675
19,500,507,2456,0.408248290463863,0.5429359123169716,1.0,0.10545423233108242,0.4978673479126651,0.7416729413142142,0.7511149194960619,0.01484400528314755
20,500,531,2504,0.408248290463863,0.5423381953355261,1.0,0.10536894805177716,0.4978673479126651,0.7419441245258932,0.7511149194960619,0.014642704603932534
21,500,518,2547,0.408248290463863,0.5436134809136397,1.0,0.10496531190011926,0.4978673479126651,0.7419393309297371,0.7511225203396941,0.014666560635616515
22,500,530,2579,0.408248290463863,0.5447329052716089,1.0,0.10471896635448852,0.4978673479126651,0.741998151682544,0.7511270641436872,0.014611736351246895
23,500,564,2620,0.408248290463863,0.5477253321891369,1.0,0.10406869755903073,0.4978673479126651,0.7419116145787552,0.7511270641436872,0.014632714015156905
24,500,551,2643,0.408248290463863,0.5481414667566608,1.0,0.10379916066707909,0.4978673479126651,0.7420807831112746,0.7511270641436872,0.014492206627386615
25,500,529,2678,0.408248290463863,0.5483249701757329,1.0,0.1036326545147893,0.4978673479126651,0.742174433301767,0.7511270641436872,0.014448032107119122
26,500,564,2724,0.408248290463863,0.5490006177672504,1.0,0.10359370166429398,0.4978673479126651,0.7421921758635415,0.7511270641436872,0.014420721033183202
27,500,538,2762,0.408248290463863,0.5495223251437742,1.0,0.10324024167887941,0.4978673479126651,0.7422437277056115,0.7511270641436872,0.014350334536989216
28,500,511,2786,0.408248290463863,0.5495223251437744,1.0,0.10324024167887941,0.4978673479126651,0.7422907582210325,0.7511270641436872,0.01432511623782222
29,500,537,2812,0.408248290463863,0.5495223251437743,1.0,0.10324024167887942,0.4978673479126651,0.7423748861466692,0.7511270641436872,0.014252255737586098
30,500,560,2835,0.408248290463863,0.5495223251437743,1.0,0.10324024167887941,0.4978673479126651,0.7424726361243911,0.7511270641436872,0.014165063959708426
31,500,548,2856,0.408248290463863,0.5501200421252197,1.0,0.10328571659308287,0.4978673479126651,0.7425042802370146,0.7511270641436872,0.014118508605179766
32,500,579,2873,0.408248290463863,0.5507196801118157,1.0,0.10283239083190761,0.4978673479126651,0.7425350798666379,0.7511270641436872,0.014072509340242763
33,500,559,2891,0.408248290463863,0.5518391044697848,1.0,0.10250334682984424,0.4978673479126651,0.7424802638754693,0.7511270641436872,0.014089201367057151
34,500,574,2908,0.408248290463863,0.5525147520613024,1.0,0.10244078983151347,0.4978673479126651,0.7424736697588948,0.7511270641436872,0.014082795198794936
35,500,540,2922,0.408248290463863,0.5530364594378262,1.0,0.1020653770832225,0.4978673479126651,0.7425089448659762,0.7511270641436872,0.014036800099185037
36,500,501,2934,0.408248290463863,0.5540503109867952,1.0,0.10179187702743711,0.4978673479126651,0.7425544378802551,0.7511270641436872,0.01394755300630818
37,500,533,2944,0.408248290463863,0.5543117450159398,1.0,0.10151431428153655,0.4978673479126651,0.7425710702104764,0.7511270641436872,0.013947967341327765
38,500,534,2952,0.408248290463863,0.5542338144058674,1.0,0.1016114116087483,0.4978673479126651,0.7425976721979916,0.7511270641436872,0.01393396554675108
39,500,573,2961,0.408248290463863,0.5538956104484161,1.0,0.101815123594893,0.4978673479126651,0.7426780533491717,0.7511270641436872,0.013879732666585043
40,500,546,2969,0.408248290463863,0.5542338144058676,1.0,0.1016114116087483,0.4978673479126651,0.7427120265034598,0.7511270641436872,0.013837174424121116
41,500,554,2978,0.408248290463863,0.5549094619973851,1.0,0.10153237079427453,0.4978673479126651,0.7427114688047043,0.7511270641436872,0.013813463595777007
42,500,517,2984,0.408248290463863,0.5554311693739089,1.0,0.10114123501947933,0.4978673479126651,0.7426991267491342,0.7511270641436872,0.013809392251236846
43,500,535,2993,0.408248290463863,0.555509099983981,1.0,0.101042762407742,0.4978673479126651,0.742727826315332,0.7511270641436872,0.01378456614259164
44,500,558,2995,0.408248290463863,0.5561068169654264,1.0,0.10105382126000202,0.4978673479126651,0.7427228792263135,0.7511270641436872,0.013772391484647145
45,500,550,3000,0.408248290463863,0.5561068169654264,1.0,0.10105382126000202,0.4978673479126651,0.7427403442571899,0.7511270641436872,0.013765904669462588
46,500,546,3003,0.408248290463863,0.5565229515329502,1.0,0.10074160552482948,0.4978673479126651,0.7427467578768451,0.7511270641436872,0.01374321432771391
47,500,527,3012,0.408248290463863,0.5564450209228781,1.0,0.10084115573583029,0.4978673479126651,0.7428224137978718,0.7511270641436872,0.013679458362731756
48,500,570,3016,0.408248290463863,0.5567064549520225,1.0,0.10055474304121727,0.4978673479126651,0.7428480623689665,0.7511270641436872,0.013663272716042152
49,500,578,3020,0.408248290463863,0.5576423758909194,1.0,0.10034098835502892,0.4978673479126651,0.7428316449782273,0.7511270641436872,0.013644499295180726
50,500,536,3023,0.408248290463863,0.5577203065009916,1.0,0.10024001055686378,0.4978673479126651,0.7428879461430629,0.7511270641436872,0.013599202393876613
51,500,559,3024,0.408248290463863,0.5579038099200638,1.0,0.10005001520911468,0.4978673479126651,0.7429378103950298,0.7511270641436872,0.013549529020973089
52,500,549,3026,0.408248290463863,0.5579038099200638,1.0,0.10005001520911468,0.4978673479126651,0.7429586750317335,0.7511270641436872,0.013533357039696943
53,500,539,3030,0.408248290463863,0.5588397308589605,1.0,0.09982395444056065,0.4978673479126651,0.7429278922200543,0.7511270641436872,0.013516788297642454
54,500,514,3031,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7429293947013146,0.7511270641436872,0.013515231601343086
55,500,552,3033,0.4472135954999579,0.559023234278033,1.0,0.09963110393175864,0.4978673479126651,0.7429687764875582,0.7511270641436872,0.013482674034855329
56,500,546,3033,0.4472135954999579,0.559023234278033,1.0,0.09963110393175864,0.4978673479126651,0.7429722446533269,0.7511270641436872,0.013483140145836025
57,500,527,3035,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7429798584384941,0.7511270641436872,0.013485762619398283
58,500,533,3038,0.4472135954999579,0.5590232342780331,1.0,0.09963110393175863,0.4978673479126651,0.7429940767914593,0.7511270641436872,0.01347677694027089
59,500,548,3038,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7430184791454725,0.7511367719448769,0.013462018321112481
60,500,535,3038,0.408248290463863,0.5585794575115813,1.0,0.0999449330685031,0.4978673479126651,0.7430564704017498,0.7511367719448769,0.013452658208029818
61,500,552,3041,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7430552985958451,0.7511367719448769,0.013433650781251904
62,500,545,3042,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7430609292874101,0.7511367719448769,0.013432334054956365
63,500,562,3042,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7430682412931398,0.7511367719448769,0.01342862033656877
64,500,532,3042,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7430816163999634,0.7511367719448769,0.013416223422082239
65,500,528,3045,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431046116945017,0.7511367719448769,0.013398788168700985
66,500,553,3045,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431139937262121,0.7511367719448769,0.013398073552787056
67,500,560,3045,0.4472135954999579,0.559023234278033,1.0,0.09963110393175864,0.4978673479126651,0.7431218351784575,0.7511367719448769,0.013399482745039482
68,500,558,3045,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431387972229913,0.7511367719448769,0.01338774038064339
69,500,547,3047,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431409077956357,0.7511367719448769,0.013388757220556777
70,500,544,3048,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431468913844814,0.7511367719448769,0.013385446447891669
71,500,554,3048,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431515564398125,0.7511367719448769,0.013386220388600194
72,500,556,3048,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431545473373833,0.7511367719448769,0.013387174948966506
73,500,546,3048,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7431782172367627,0.7511367719448769,0.013368118729142106
74,500,574,3048,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7432037686028363,0.7511367719448769,0.013344638303073697
75,500,556,3048,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7432298093428074,0.7511367719448769,0.0133242012825986
76,500,554,3048,0.4472135954999579,0.5587629609306537,1.0,0.09975279524241713,0.4978673479126651,0.7432537498411973,0.7511367719448769,0.013321699446591668
77,500,552,3049,0.4472135954999579,0.5587629609306536,1.0,0.09975279524241713,0.4978673479126651,0.7432548269356655,0.7511367719448769,0.013321994085982223
78,500,520,3049,0.4472135954999579,0.5587629609306537,1.0,0.09975279524241713,0.4978673479126651,0.7432604467651313,0.7511367719448769,0.013319846125987262
79,500,528,3050,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7432511155953452,0.7511367719448769,0.013310762636608901
80,500,537,3050,0.4472135954999579,0.5587629609306537,1.0,0.09975279524241713,0.4978673479126651,0.7432699406083527,0.7511367719448769,0.013316166571109768
81,500,559,3050,0.4472135954999579,0.5587629609306538,1.0,0.09975279524241713,0.4978673479126651,0.7432876985072892,0.7511367719448769,0.013304256886578507
