gen,0_AAGAB,0_ABAT,0_ABCA2,0_ABCA4,0_ABCC10,0_ABCD1,0_ABCD3,0_ABCE1,0_ABHD10,0_ABTB2,0_ACAD8,0_ACADL,0_ACAT1,0_ACBD5,0_ACBD6,0_ACIN1,0_ACTR3,0_ACTR3B,0_ACVRL1,0_ADAL,0_ADAM17,0_ADAM33,0_ADCY4,0_ADPGK,0_AEBP1,0_AFAP1,0_AFG3L2,0_AFP,0_AGL,0_AGPAT4,0_AHI1,0_AIMP2,0_AK3,0_AKAP1,0_AKR1C3,0_AKTIP,0_ALDH1A2,0_ALDH1L2,0_ALDH6A1,0_ALG13,0_ALG6,0_ALKBH5,0_ALKBH7,0_ALOX5,0_AMBRA1,0_AMFR,0_AMIGO1,0_AMPD2,0_AMZ2,0_ANAPC4,0_ANAPC5,0_ANAPC7,0_ANGPTL4,0_ANK3,0_ANKRD13D,0_ANP32B,0_ANP32E,0_ANXA2,0_ANXA4,0_ANXA5,0_ANXA6,0_ANXA7,0_AP1B1,0_AP1G1,0_APEH,0_APOBEC3G,0_APOL2,0_APOO,0_AQP1,0_ARFGEF2,0_ARFIP1,0_ARHGAP33,0_ARHGAP5,0_ARHGAP6,0_ARHGEF2,0_ARHGEF5,0_ARID5A,0_ARPC2,0_ARSB,0_ATAD3B,0_ATP10D,0_ATP2B3,0_ATP6AP1,0_ATP6V1B1,0_ATP6V1D,0_ATP8A1,0_ATRN,0_ATXN1,0_AURKB,0_AWAT2,0_B3GALNT2,0_B4GALNT1,0_B4GALT6,0_BAG1,0_BAMBI,0_BCAT2,0_BCKDK,0_BCL2L11,0_BCL2L2,0_BCL7A,0_BEX2,0_BHMT2,0_BICD1,0_BIK,0_BIRC5,0_BLK,0_BNIP3,0_BNIP3L,0_BRCA1,0_BRD3,0_BRD8,0_BRDT,0_BRIP1,0_BST2,0_BTF3,0_BTN3A1,0_C11orf45,0_C12orf57,0_C17orf75,0_C17orf97,0_C1orf116,0_C1orf174,0_C1orf35,0_C1orf54,0_C2orf49,0_C3orf14,0_C4BPA,0_C6orf62,0_CA9,0_CAB39L,0_CACYBP,0_CALU,0_CAMK4,0_CAMLG,0_CAP1,0_CAPN1,0_CAPZA1,0_CARD11,0_CARHSP1,0_CASP2,0_CASP4,0_CBLB,0_CBR1,0_CBX3,0_CCDC102A,0_CCDC134,0_CCDC152,0_CCDC25,0_CCDC57,0_CCNA2,0_CCNT2,0_CCNY,0_CCT5,0_CD101,0_CD300C,0_CD86,0_CD9,0_CDC20,0_CDC25C,0_CDC27,0_CDC42BPB,0_CDC45,0_CDC6,0_CDCA7L,0_CDH16,0_CDH2,0_CDK4,0_CDK5RAP3,0_CDK7,0_CDKN1A,0_CDKN2A,0_CDKN2C,0_CES2,0_CFB,0_CFI,0_CHCHD10,0_CHCHD3,0_CHCHD6,0_CHDH,0_CHI3L2,0_CHMP1B,0_CHP2,0_CHRD,0_CHRDL1,0_CHST11,0_CHUK,0_CIB2,0_CIDEB,0_CIR1,0_CISH,0_CLDN7,0_CLN5,0_CLPTM1L,0_CLVS1,0_CMAS,0_CMTM1,0_COG8,0_COL6A2,0_COMT,0_COPB2,0_COPS3,0_COQ9,0_CPSF7,0_CPT1A,0_CRHBP,0_CRISP3,0_CRISPLD2,0_CROT,0_CRYL1,0_CS,0_CSAD,0_CSF1R,0_CSNK2B,0_CTBP2,0_CTDP1,0_CTDSPL,0_CTNNA2,0_CTSZ,0_CTTNBP2,0_CUL5,0_CUTC,0_CYB5D2,0_CYP1B1,0_DBI,0_DCAF11,0_DCPS,0_DCTN5,0_DDIT4,0_DDRGK1,0_DEDD,0_DERL2,0_DLD,0_DLST,0_DMXL2,0_DNAJA2,0_DNAJB7,0_DNAJC10,0_DNAJC12,0_DNAJC2,0_DNASE1L3,0_DNMT3B,0_DPP9,0_DPYSL3,0_DTX4,0_DUSP7,0_DUSP8,0_DVL3,0_DYNC2LI1,0_DYRK1A,0_EBPL,0_ECD,0_EDAR,0_EEA1,0_EEF1B2,0_EEF2,0_EFHC1,0_EFHC2,0_EFS,0_EIF2AK2,0_EIF2B1,0_EIF2B4,0_EIF3B,0_EIF3E,0_EIF3H,0_EIF4E,0_EIF5A,0_ELAC1,0_ELF4,0_ELMOD3,0_EME1,0_ENO2,0_ENPP3,0_ENTPD2,0_ENY2,0_EPHA3,0_EPS15,0_EPS8,0_EPSTI1,0_ERGIC3,0_ESRP1,0_ETFA,0_EZH2,0_F2,0_FAAH,0_FABP3,0_FADS1,0_FAM120A,0_FAM122A,0_FAM156A,0_FAM160A1,0_FAM193B,0_FAM83H,0_FARSA,0_FASTKD5,0_FBXO5,0_FCN3,0_FCRL1,0_FGG,0_FH,0_FIGN,0_FILIP1L,0_FKBP5,0_FLAD1,0_FLNB,0_FLRT3,0_FOXJ2,0_FRK,0_FSTL3,0_FUCA1,0_FXR2,0_FXYD2,0_FXYD3,0_FZD3,0_G3BP2,0_GABARAPL1,0_GABPA,0_GALNT2,0_GAS1,0_GBP1,0_GBP4,0_GCDH,0_GCHFR,0_GCK,0_GCLC,0_GEM,0_GEMIN6,0_GGA3,0_GHITM,0_GIMAP2,0_GLB1L,0_GLI2,0_GLOD4,0_GLOD5,0_GLRX5,0_GMPR,0_GNE,0_GOT2,0_GPD2,0_GPR143,0_GPR160,0_GRAMD1B,0_GRB7,0_GREM2,0_GRINA,0_GRSF1,0_GRTP1,0_GSTA2,0_GSTZ1,0_GTF2B,0_GTF3A,0_GTSF1,0_GYS1,0_HADHA,0_HADHB,0_HAPLN3,0_HDAC10,0_HDHD2,0_HDHD3,0_HEPH,0_HEXIM1,0_HHAT,0_HINT1,0_HIP1R,0_HIRA,0_HIVEP3,0_HLA-DRB1,0_HMGA2,0_HMGB2,0_HMGN1,0_HMOX2,0_HNRNPA1,0_HNRNPA2B1,0_HNRNPA3,0_HNRNPAB,0_HOXC13,0_HP,0_HP1BP3,0_HPCAL1,0_HS2ST1,0_HSD17B6,0_HSD17B8,0_HSD3B7,0_HSPA6,0_HTRA3,0_HUS1,0_IDUA,0_IFI35,0_IFIT3,0_IFT20,0_IGF1R,0_IK,0_IKBKE,0_IL15RA,0_IL17RD,0_IL20RA,0_IL4I1,0_IL7,0_ING1,0_IQCG,0_IRF2,0_IRF9,0_ITFG1,0_ITSN1,0_JDP2,0_JMJD6,0_JPH2,0_KAT5,0_KCMF1,0_KCNJ15,0_KCNK6,0_KCTD10,0_KCTD16,0_KDELR2,0_KHDRBS1,0_KIAA1614,0_KIAA1671,0_KIAA1841,0_KIF16B,0_KIF18A,0_KIF21A,0_KIF21B,0_KIF4A,0_KIF7,0_KLC2,0_KLF5,0_KLHL8,0_KPNA1,0_KRT4,0_LAGE3,0_LARS2,0_LBP,0_LENG8,0_LGI4,0_LMAN2,0_LMNB1,0_LNX2,0_LOXL2,0_LPAR2,0_LPCAT1,0_LPIN3,0_LRBA,0_LRCH2,0_LRG1,0_LRP4,0_LRPPRC,0_LRRN4CL,0_LSR,0_LSS,0_LTV1,0_MACC1,0_MAF,0_MAGEA4,0_MAGOHB,0_MANEA,0_MAP3K12,0_MAP3K8,0_MAP3K9,0_MAPK12,0_MAVS,0_MBD4,0_MBNL1,0_MCAT,0_MCL1,0_MCM5,0_MCM9,0_MDC1,0_MED15,0_MERTK,0_MGST1,0_MGST3,0_MICALL2,0_MIER2,0_MIPEP,0_MIS12,0_MKKS,0_MLPH,0_MMGT1,0_MMP11,0_MMP2,0_MORF4L2,0_MPHOSPH10,0_MPV17L,0_MPZL1,0_MRPL16,0_MRPL24,0_MRPL49,0_MRPS18C,0_MRPS2,0_MRPS28,0_MRPS30,0_MRPS36,0_MSH6,0_MST1R,0_MT1A,0_MTMR11,0_MTRR,0_MYC,0_MYD88,0_MYO3A,0_MYOCD,0_N4BP1,0_NAAA,0_NAP1L1,0_NAV1,0_NBEA,0_NCL,0_NCSTN,0_NDRG2,0_NDUFA13,0_NDUFA4L2,0_NDUFA5,0_NDUFS3,0_NDUFV1,0_NEUROD1,0_NFIX,0_NFS1,0_NGEF,0_NIT1,0_NKX2-2,0_NKX3-2,0_NME7,0_NNT,0_NOL3,0_NOL7,0_NOP2,0_NPR3,0_NR1H3,0_NR3C2,0_NR5A2,0_NRSN2,0_NT5DC2,0_NTRK3,0_NUBP1,0_NUCKS1,0_NUDT1,0_NUDT14,0_NUP62,0_NXF3,0_NXN,0_NXPH2,0_OCLN,0_OGDH,0_OGG1,0_OGT,0_ONECUT2,0_OPTN,0_OSBP,0_OSBPL1A,0_OSMR,0_P2RY1,0_P4HB,0_PABPC1,0_PADI1,0_PAICS,0_PAK1IP1,0_PANK2,0_PARP16,0_PAX9,0_PCDHGA1,0_PCDHGB3,0_PCDHGB5,0_PCNA,0_PCYOX1L,0_PDCD1LG2,0_PDCD6IP,0_PDCL3,0_PDE10A,0_PDHX,0_PDIA4,0_PDIA5,0_PDIA6,0_PDK1,0_PDP2,0_PDZRN3,0_PEA15,0_PELI1,0_PELI2,0_PEPD,0_PEX12,0_PFDN2,0_PFDN5,0_PGK2,0_PGLYRP2,0_PGP,0_PGS1,0_PHC2,0_PHF12,0_PHLDB2,0_PICALM,0_PIGR,0_PIK3C3,0_PJA1,0_PKD2L2,0_PKIB,0_PKNOX1,0_PKP4,0_PLA2G15,0_PLCG1,0_PLCL1,0_PLEC,0_PLEK2,0_PLEKHA2,0_PLEKHB2,0_PLEKHJ1,0_PLIN2,0_PLK1,0_PLOD2,0_PLTP,0_PML,0_PMPCA,0_PMPCB,0_PNCK,0_PNPLA8,0_POC5,0_PODNL1,0_POGZ,0_POLD3,0_POLG2,0_POLR2H,0_POU3F3,0_POU5F1,0_PPA2,0_PPARA,0_PPIE,0_PPM1A,0_PPM1F,0_PPP1R12A,0_PPP1R9B,0_PPP2CB,0_PPP2R2C,0_PPP3R2,0_PPT1,0_PQBP1,0_PRC1,0_PRCC,0_PRDM11,0_PRDX5,0_PRKAA2,0_PRKACB,0_PRKCB,0_PRKCI,0_PRRT3,0_PSKH1,0_PSMA1,0_PSMA4,0_PSMB2,0_PSMB9,0_PSMC5,0_PSMD12,0_PSMD9,0_PTGIS,0_PTHLH,0_PTK2B,0_PTMA,0_PTPN2,0_PTPN21,0_PTPN22,0_PTPN23,0_PTPN9,0_PTPRE,0_PTPRU,0_PUS1,0_PXDN,0_PYCR1,0_QSER1,0_RAB13,0_RAB21,0_RAB23,0_RAB9A,0_RABGAP1,0_RAC2,0_RACGAP1,0_RALGAPB,0_RALGDS,0_RANBP1,0_RAPGEF3,0_RARG,0_RASGRF1,0_RAVER2,0_RBM26,0_RBM39,0_RBM45,0_REM1,0_RFC2,0_RFC3,0_RFC4,0_RFFL,0_RGP1,0_RHOA,0_RHOT1,0_RIC3,0_RIN3,0_RIOK1,0_RNASE3,0_RNASET2,0_RNF123,0_RNF141,0_RNF17,0_RNF19A,0_RNF38,0_RNF7,0_RNH1,0_RPGR,0_RPL10A,0_RPL10L,0_RPL19,0_RPL24,0_RPL37A,0_RPS10,0_RPS14,0_RPS25,0_RRP1B,0_RUFY3,0_RUNX1,0_S100A1,0_S100A10,0_S100A13,0_SAA4,0_SACM1L,0_SAMD9L,0_SAMM50,0_SCARA5,0_SCARB1,0_SCD,0_SCFD2,0_SCGB1D2,0_SCYL3,0_SDC3,0_SDCBP2,0_SDCCAG8,0_SDF4,0_SDHA,0_SDHD,0_SDR16C5,0_SEC14L2,0_SEC24B,0_SEC63,0_SECISBP2,0_SEMA3A,0_SERPINA3,0_SERPINB6,0_SESTD1,0_SETD3,0_SETD4,0_SF3A3,0_SF3B1,0_SFXN3,0_SGSM1,0_SH3GL1,0_SH3GLB1,0_SH3RF1,0_SHC1,0_SHISA5,0_SHMT2,0_SIKE1,0_SIL1,0_SIRPA,0_SKA1,0_SLA,0_SLC12A9,0_SLC13A5,0_SLC15A4,0_SLC16A1,0_SLC16A3,0_SLC17A4,0_SLC25A4,0_SLC26A2,0_SLC27A2,0_SLC2A5,0_SLC2A9,0_SLC36A1,0_SLC38A10,0_SLC39A6,0_SLC43A2,0_SLC44A3,0_SLC46A2,0_SLC48A1,0_SLC6A2,0_SLC7A1,0_SLC9A2,0_SLC9A6,0_SMAD2,0_SMAP1,0_SMARCA2,0_SMARCB1,0_SNAI1,0_SNAI2,0_SNRPA,0_SNRPA1,0_SNX10,0_SNX12,0_SNX15,0_SOCS3,0_SOCS6,0_SOD2,0_SOS2,0_SOX30,0_SPAG5,0_SPARC,0_SPTA1,0_SPTBN1,0_SRCAP,0_SREBF2,0_SRPX2,0_SSC5D,0_ST3GAL2,0_ST6GALNAC6,0_STAP2,0_STAT3,0_STAT4,0_STEAP3,0_STOM,0_STRADA,0_STRADB,0_STX10,0_STX4,0_STX6,0_SUCLA2,0_SULT1C2,0_SUMO4,0_SYNGR1,0_SYNGR3,0_SYNJ2BP,0_SYTL1,0_TAF15,0_TAF7,0_TAF9B,0_TAP2,0_TBC1D1,0_TBC1D20,0_TBC1D4,0_TBCE,0_TBL1X,0_TCEA1,0_TDRD3,0_TFAM,0_TFAP4,0_TGFBI,0_TGM2,0_THBS2,0_TIGD1,0_TJP2,0_TMCO1,0_TMEM132E,0_TMEM165,0_TMEM176A,0_TMEM184C,0_TMEM53,0_TMEM72,0_TMEM87B,0_TMLHE,0_TMPRSS2,0_TNC,0_TNFAIP3,0_TNFAIP8L3,0_TNFRSF18,0_TNFRSF6B,0_TNFSF4,0_TNIK,0_TNKS1BP1,0_TOP2B,0_TOPBP1,0_TPCN2,0_TPM3,0_TPST1,0_TRA2B,0_TRAF6,0_TRAP1,0_TRAPPC6A,0_TRIB2,0_TRIB3,0_TRIM17,0_TRIM35,0_TRIM5,0_TRIM65,0_TRIP10,0_TSEN34,0_TST,0_TTC17,0_TTC9C,0_TTLL11,0_TUBA1B,0_TUBD1,0_TUSC3,0_TXNDC5,0_U2AF1,0_UBC,0_UBE2C,0_UBE2F,0_UBE2G2,0_UBE2Z,0_UBXN11,0_UBXN8,0_UGT1A6,0_UPK3B,0_UROC1,0_USF1,0_USP10,0_USP2,0_USP22,0_UTP3,0_VGLL4,0_VIM,0_VPS18,0_VPS35,0_VPS37C,0_VPS41,0_VRK3,0_VTI1B,0_WDFY1,0_WDFY3,0_WDR17,0_WDR24,0_WDR54,0_WDR61,0_WSB1,0_XKR9,0_XPO1,0_XRN2,0_YIPF1,0_ZBTB1,0_ZBTB12,0_ZBTB42,0_ZC3H12C,0_ZC3H18,0_ZDHHC15,0_ZDHHC17,0_ZDHHC5,0_ZFP36,0_ZIC1,0_ZKSCAN4,0_ZNF134,0_ZNF143,0_ZNF24,0_ZNF304,0_ZNF511,0_ZNF7,0_ZNF700,0_ZNF763,0_ZNF83,0_ZNF853,0_ZNHIT6,0_ZXDB
0,0,0,0,71,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,57,0,0,73,0,0,73,0,0,0,0,0,0,0,0,86,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,196,0,0,0,0,0,0,204,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,81,0,0,0,0,0,0,62,73,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,7,0,166,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,8,0,78,8,0,41,0,0,0,0,0,0,0,0,143,0,0,0,0,11,87,0,0,0,0,0,0,0,0,0,0,0,0,0,45,86,0,0,0,0,0,0,31,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,75,106,0,56,0,61,0,0,196,0,0,69,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,232,0,0,0,76,0,100,0,239,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,104,64,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,196,0,31,0,0,0,0,0,0,285,0,0,0,51,0,131,0,0,101,0,0,0,0,14,0,0,0,0,0,0,0,0,278,0,0,0,88,0,0,0,28,0,275,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,223,0,0,44,0,0,0,0,0,0,0,0,0,0,24,102,0,0,0,0,0,60,0,0,0,0,27,0,0,0,0,156,0,0,0,218,0,0,180,0,196,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,49,0,0,0,0,170,0,0,0,0,0,0,0,183,0,0,0,0,91,84,0,20,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,34,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,51,57,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,83,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,83,171,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,313,0,0,0,0,0,40,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,53,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,138,0,0,68,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,282,80,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,118,0,0,0,0,263,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,8,0,6,2,6,1,0,5,1,1,28,1,0,0,1,0,0,1,0,1,0,0,2,8,1,2,6,0,0,1,4,1,0,0,1,4,3,2,1,1,0,0,0,1,0,2,1,0,2,2,0,3,1,3,5,1,0,5,0,0,2,1,1,8,0,2,2,1,4,0,0,1,0,6,0,1,7,6,4,1,2,2,21,1,38,2,0,0,1,1,1,0,0,2,0,1,1,0,2,4,1,1,2,2,1,0,3,0,2,1,1,0,1,0,0,0,0,0,1,8,0,3,4,6,60,0,1,0,0,0,1,55,8,0,0,0,30,0,0,0,0,0,19,0,0,0,1,1,1,0,0,3,2,7,1,0,0,1,2,3,1,1,3,0,13,1,5,0,16,0,20,2,1,1,0,3,0,8,3,0,0,0,10,6,2,2,1,0,0,0,1,2,1,6,0,0,27,0,2,2,0,2,1,0,1,35,0,1,0,2,1,0,0,1,0,0,0,12,0,1,4,2,1,1,2,1,0,0,2,8,0,0,0,0,79,0,1,3,26,1,1,5,0,0,0,1,1,0,2,0,67,2,0,1,1,0,16,0,2,0,0,0,0,2,2,0,0,0,3,0,3,15,1,1,0,0,0,0,1,1,5,6,2,1,0,1,1,1,0,0,1,0,1,0,0,7,11,0,0,1,11,6,2,34,0,5,4,2,2,47,0,2,0,0,2,1,2,1,0,1,2,2,0,1,1,0,4,2,0,0,0,24,14,61,3,3,0,1,4,25,3,19,1,0,1,2,0,0,3,2,1,0,0,13,2,1,1,1,0,1,0,0,0,1,1,1,0,2,3,4,14,1,1,38,30,1,0,1,47,3,0,0,1,0,0,0,0,1,3,0,1,2,0,1,0,1,0,2,0,0,0,0,2,1,1,0,6,4,10,0,4,0,0,0,0,0,1,130,3,0,1,13,0,29,0,0,27,0,0,1,0,0,6,2,1,3,0,0,2,0,47,0,4,1,11,0,1,2,10,2,40,0,2,0,0,8,17,0,0,0,1,0,1,3,0,1,1,0,0,0,0,4,3,3,10,0,2,16,0,0,4,2,0,1,1,0,0,0,1,0,0,0,4,0,2,0,8,2,1,2,0,1,8,0,0,0,0,3,8,0,4,1,29,1,2,39,0,73,0,1,3,1,2,2,6,1,2,4,0,0,18,0,0,3,8,1,2,9,15,0,2,0,2,13,0,1,8,1,1,5,5,72,0,0,0,11,3,5,1,1,0,0,2,1,1,0,0,0,0,1,1,0,42,0,0,2,1,1,2,1,4,7,1,0,1,0,0,0,0,0,2,1,1,3,0,1,11,1,1,0,2,0,1,1,7,1,0,0,3,0,2,6,0,0,1,2,3,1,2,0,1,0,2,0,0,1,1,0,40,0,0,1,1,0,1,1,0,0,7,0,0,0,2,2,0,0,2,3,0,0,18,0,2,0,6,0,3,1,3,0,0,12,0,2,0,0,1,1,1,0,1,0,0,1,1,0,0,2,2,0,3,0,4,0,0,1,0,4,1,0,1,1,1,157,0,2,0,0,2,2,0,2,3,0,0,0,1,1,1,0,3,1,2,7,0,0,0,8,2,1,0,1,3,1,3,1,1,0,2,1,0,3,4,0,1,1,0,24,68,1,1,22,1,0,0,0,1,2,1,1,1,0,2,1,0,0,0,3,3,37,0,1,0,4,2,1,1,5,112,1,2,0,1,2,1,0,0,1,5,0,2,0,1,1,0,0,0,0,1,2,1,10,2,1,0,0,201,0,1,4,0,0,11,41,0,0,3,0,4,2,0,11,0,0,1,5,0,0,3,1,36,0,62,3,1,0,0,0,0,0,1,1,1,2,2,0,2,2,0,3,2,0,2,2,11,2,0,5,2,0,1,2,1,2,2,0,0,5,3,7,0,0,1,0,0,0,1,0,2,18,0,0,8,1,0,0,0,0,1,7,1,1,0,2,2,0,4,2,0,3,1,0,0,43,32,6,0,88,16,0,0,3,1,0,1,4,0,1,1,0,13,0,0,0,0,17,2,0,1,0,94,0,2,0,1,0,0,0,14,1,0,1,1,11,0,1,1,1,2,0,0,1
200,0,2,0,3,1,5,0,0,5,0,0,30,1,0,0,1,2,1,1,0,2,0,1,0,7,0,2,7,1,0,0,4,2,0,0,0,10,0,1,1,0,1,1,0,1,0,4,1,1,2,1,0,4,2,2,8,3,1,8,0,0,1,0,1,11,0,2,2,1,4,1,0,1,2,8,1,0,10,4,4,1,1,1,31,0,34,1,0,1,0,0,3,0,2,1,1,1,0,1,2,3,0,0,2,2,4,3,0,1,3,0,1,1,0,0,0,0,1,0,1,11,0,1,0,8,62,1,0,0,2,0,0,42,8,0,0,0,29,0,0,1,0,2,20,1,0,0,1,2,2,0,1,3,2,2,0,1,2,0,1,2,0,0,2,0,11,0,6,0,17,2,13,2,0,3,1,1,0,5,2,0,0,0,18,5,1,2,1,0,1,0,0,1,1,9,0,1,26,1,0,1,0,1,1,0,3,37,2,1,0,0,1,0,0,4,0,0,0,11,0,0,5,0,1,1,1,1,0,0,4,10,0,0,1,0,63,1,1,2,29,0,1,2,0,0,0,1,1,1,1,1,53,0,1,2,0,0,7,1,0,0,1,1,0,3,0,0,0,1,1,0,1,13,6,2,1,1,0,1,1,0,8,10,3,1,1,1,0,0,0,1,0,0,1,1,1,9,9,0,0,1,16,4,1,44,1,1,1,1,1,51,0,1,0,1,1,1,2,2,1,5,3,2,0,1,1,1,2,0,1,4,0,23,10,53,2,4,3,0,3,25,0,16,0,0,0,3,0,1,6,5,0,0,1,57,7,0,1,1,1,1,0,0,1,2,1,1,3,3,2,1,15,0,0,25,19,0,0,0,50,3,1,2,1,2,0,2,4,0,8,0,1,3,0,1,2,3,0,4,0,1,0,0,1,1,1,1,4,1,9,5,3,0,0,0,1,2,2,121,2,1,2,11,1,22,0,0,23,1,2,0,1,0,7,1,3,3,2,2,1,0,43,7,1,0,9,1,2,3,5,1,40,0,5,0,0,7,13,0,1,0,3,0,2,9,0,3,3,1,0,1,0,3,2,1,12,0,0,15,1,1,5,2,0,0,0,0,0,0,1,1,1,0,3,1,1,0,7,3,5,1,0,1,8,0,1,0,1,2,8,0,4,0,32,1,1,29,1,59,0,0,4,0,0,2,8,0,1,2,1,0,27,1,0,3,8,1,3,10,18,0,4,1,0,10,0,0,7,2,3,4,4,72,0,1,1,9,4,4,0,0,0,2,2,0,1,1,0,1,2,3,0,0,42,3,0,2,0,0,0,0,3,2,0,0,0,0,1,1,0,3,1,1,4,2,1,0,11,0,0,0,1,0,0,0,7,2,0,3,6,0,2,3,0,0,0,3,6,1,3,2,1,0,2,2,1,0,0,0,35,0,0,2,2,2,3,0,0,5,6,3,0,0,3,2,2,4,1,2,0,1,13,0,2,2,3,2,3,2,4,1,1,9,0,2,0,0,1,1,0,0,1,0,0,1,2,1,0,1,1,1,6,0,4,1,0,0,0,6,0,0,0,1,1,149,2,3,2,0,0,2,2,0,2,0,0,1,1,1,1,0,3,0,1,7,0,0,0,5,1,2,0,0,3,2,4,1,1,0,3,1,0,1,4,0,1,0,0,21,66,1,2,21,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,4,2,34,1,2,0,3,1,1,0,7,113,2,1,0,1,2,3,0,0,3,5,1,3,0,3,2,0,0,0,1,1,2,1,9,3,6,2,1,192,0,1,0,0,0,9,35,0,1,7,0,1,7,0,8,1,1,0,2,2,0,5,0,31,0,53,6,1,0,1,1,2,2,2,0,3,0,1,0,3,1,1,0,2,0,2,1,12,4,1,3,2,0,1,1,1,2,0,1,0,7,2,6,0,1,1,1,0,0,0,0,1,23,0,0,10,0,1,0,0,1,1,5,1,1,0,1,0,0,5,2,1,2,0,1,1,53,32,4,0,62,16,0,0,0,0,0,1,4,1,0,1,0,16,0,0,0,0,19,2,3,1,0,96,0,1,1,0,3,0,0,10,0,0,1,2,18,1,0,0,0,5,1,0,0
