0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.1248,1_hsa.miR.425.3p,1_hsa.miR.92b.3p,2_ABCG2.9429,2_ADAM22.53616,2_ARHGEF3.50650,2_AUP1.550,2_BARX1.56033,2_BCL2L12.83596,2_C14orf34.645687,2_C19orf36.113177,2_C1orf35.79169,2_C1orf77.26097,2_C20orf72.92667,2_C2orf68.388969,2_C5orf23.79614,2_C6orf186.728464,2_C9orf80.58493,2_CCDC28B.79140,2_CDK4.1019,2_CENPM.79019,2_CLTB.1212,2_CORO6.84940,2_CRYZ.1429,2_CTTNBP2NL.55917,2_CYP3A7.1551,2_DDX60.55601,2_EIF2B4.8890,2_ETV3.2117,2_FAT4.79633,2_FBF1.85302,2_FOXA2.3170,2_FUCA1.2517,2_GRAMD1A.57655,2_HEATR5B.54497,2_HERC3.8916,2_HOXA3.3200,2_HTR3A.3359,2_IGFN1.91156,2_JTB.10899,2_KCND1.3750,2_KCNIP2.30819,2_KCNJ3.3760,2_KLHDC4.54758,2_LIMCH1.22998,2_LOC100286793.100286793,2_LOC285359.285359,2_LOC91450.91450,2_MAML2.84441,2_MCRS1.10445,2_MRPL9.65005,2_NR3C2.4306,2_NUDC.10726,2_OIT3.170392,2_PGM5.5239,2_PIK3C3.5289,2_PIPSL.266971,2_PLAUR.5329,2_PLCL2.23228,2_PMM2.5373,2_PNKD.25953,2_POLR2G.5436,2_PRSS53.339105,2_PSMA4.5685,2_PTPRH.5794,2_PYCARD.29108,2_RDM1.201299,2_RDX.5962,2_ROR1.4919,2_RORA.6095,2_RSF1.51773,2_SAA1.6288,2_SCO2.9997,2_SCP2.6342,2_SEMA3G.56920,2_SFRS9.8683,2_SHARPIN.81858,2_SIM2.6493,2_SOS2.6655,2_ST6GALNAC3.256435,2_TARBP2.6895,2_TMCC3.57458,2_TMEM38B.55151,2_TMEM47.83604,2_UPK3B.80761,2_USP53.54532,2_WDR45.11152,2_YARS2.51067,2_ZYG11B.79699
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
