0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.194.3p,1_hsa.miR.21.3p,1_hsa.miR.222.3p,1_hsa.miR.34c.5p,1_hsa.miR.3922.3p,1_hsa.miR.4326,1_hsa.miR.671.5p,1_hsa.miR.7702,2_ACADM.34,2_ANGPTL6.83854,2_ANK3.288,2_ANO4.121601,2_AOX1.316,2_ATP11A.23250,2_BARX1.56033,2_BCL3.602,2_BOLA3.388962,2_C11orf73.51501,2_C21orf125.284836,2_C6orf129.154467,2_CDC20.991,2_CENPO.79172,2_CENPW.387103,2_CEP55.55165,2_CLDN10.9071,2_CNNM2.54805,2_CNTNAP1.8506,2_COBL.23242,2_COX6B2.125965,2_DDAH1.23576,2_DDX47.51202,2_DIP2C.22982,2_DOCK9.23348,2_DUSP9.1852,2_EGOT.100126791,2_FAM160A1.729830,2_FGF5.2250,2_FNBP1L.54874,2_FREM2.341640,2_GIPR.2696,2_GNAQ.2776,2_HHIPL2.79802,2_HMGB3.3149,2_IGFN1.91156,2_ITGA6.3655,2_JTB.10899,2_KCNK12.56660,2_KCNN4.3783,2_LCTL.197021,2_LGALS3BP.3959,2_LNX2.222484,2_LOC653501.653501,2_LRP5.4041,2_MAD2L1.4085,2_METRNL.284207,2_MOBKL2B.79817,2_MSTO1.55154,2_MUC20.200958,2_NCSTN.23385,2_NFKBIZ.64332,2_NUMBL.9253,2_PFDN2.5202,2_PKHD1.5314,2_PMAIP1.5366,2_PVRL4.81607,2_QRFPR.84109,2_RGS17.26575,2_SAA1.6288,2_SAA4.6291,2_SEC61A1.29927,2_SERPINA4.5267,2_SGCB.6443,2_SHE.126669,2_SLAMF9.89886,2_SLC16A12.387700,2_SLC20A1.6574,2_SPATA18.132671,2_STK32C.282974,2_SYN3.8224,2_TAF6.6878,2_TJP2.9414,2_TLL1.7092,2_TREM1.54210,2_TTC39B.158219,2_TYW3.127253,2_YIF1B.90522,2_ZNF304.57343,2_ZNF404.342908,2_ZNF570.148268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
