0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.34c.3p,1_hsa.miR.34c.5p,1_hsa.miR.4326,1_hsa.miR.590.3p,1_hsa.miR.616.5p,2_ACTN2.88,2_ADAMTSL4.54507,2_ANKHD1.54882,2_ANXA8L2.244,2_AR.367,2_ARHGAP5.394,2_ATXN2L.11273,2_AUP1.550,2_AVPR1B.553,2_B3GAT3.26229,2_B4GALNT4.338707,2_C2orf55.343990,2_C7orf29.113763,2_CABLES2.81928,2_CACNA1G.8913,2_CBX4.8535,2_CBX8.57332,2_CCNB1.891,2_CCT2.10576,2_CDK5RAP1.51654,2_CLIP3.25999,2_CMA1.1215,2_CYP3A7.1551,2_DHRS12.79758,2_DNAJC9.23234,2_DONSON.29980,2_DUS1L.64118,2_EIF3B.8662,2_ELL3.80237,2_ELOVL3.83401,2_EXOSC7.23016,2_F2RL1.2150,2_FAM64A.54478,2_FBF1.85302,2_FKBP11.51303,2_FNIP2.57600,2_G6PC.2538,2_GNAQ.2776,2_GPSM1.26086,2_HERPUD1.9709,2_HOXA2.3199,2_HOXA3.3200,2_IGDCC4.57722,2_IGF2BP2.10644,2_IGF2BP3.10643,2_IQGAP2.10788,2_KCNAB1.7881,2_KHK.3795,2_KLRAQ1.129285,2_KPNA2.3838,2_MYLIP.29116,2_NAT9.26151,2_NEK2.4751,2_NR3C2.4306,2_NRBP1.29959,2_PFN1.5216,2_PIP5K1A.8394,2_POP7.10248,2_PPIF.10105,2_PPP1R1A.5502,2_RDX.5962,2_RNPS1.10921,2_ROBLD3.28956,2_RPL39.6170,2_SEC61A2.55176,2_SLC23A3.151295,2_SLC30A4.7782,2_SLC4A3.6508,2_SLC5A12.159963,2_SNX30.401548,2_SPC25.57405,2_STARD3.10948,2_STON1.GTF2A1L.286749,2_TAGLN2.8407,2_TREM1.54210,2_TRIM65.201292,2_TRPM3.80036,2_ZCWPW1.55063,2_ZIC5.85416,2_ZNF613.79898,2_ZNF658.26149,2_ZNF746.155061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
